# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 12 12:24:14 AEDT 2019 [seed=1576113849040]
# -overwrite subset1_aln_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-60105.45478563834	-243.83931078515909	-59861.615474853184	3.1644483675929074	2016.722689085117	26.92476154406358	1.0	0.0	0.5	0.25	0.25	-59861.615474853184	0.0	-226.3624903551695
5000	-35360.267466843965	-379.7405982595652	-34980.5268685844	1.8646000128054836	2018.0225374399045	33.60360203967495	1.8155188230855155	-0.15194336078083515	0.029942351096500414	0.0015378430325477658	0.0015378430325477658	-34980.5268685844	0.0	-372.38778843693075
10000	-34336.770414574574	-526.0035320530366	-33810.76688252154	1.8346901524912018	2018.0524473002188	46.6407519027554	5.977970186529447	0.9049148447777491	0.00984119163598887	9.53724967511496E-4	9.537249675114959E-4	-33810.76688252154	0.0	-518.3479071305178
15000	-33784.674440790885	-573.9346751752108	-33210.739765615675	1.8664829276207053	2018.0206545250894	52.56966165487973	6.309657392607825	0.5432801340435529	0.004223467500930322	7.539068982642094E-4	7.539068982642097E-4	-33210.739765615675	0.0	-566.8341523978496
20000	-33492.246179613234	-590.4084184582204	-32901.83776115502	1.8026635891847473	2018.0844738635253	54.203391115971954	8.803835991648592	0.9066490709819783	0.0035388431280272436	6.975566776121915E-4	6.975566776121909E-4	-32901.83776115502	0.0	-583.0018384485903
25000	-33269.58939974678	-578.8510856541914	-32690.73831409259	2.2291324579679377	2017.658004994742	54.302915169735655	9.073608130087655	1.0266118817809933	0.009533974050625211	6.296781609842359E-4	6.296781609842355E-4	-32690.73831409259	0.0	-571.3682711388617
30000	-33005.81048901522	-610.7221378354517	-32395.088351179762	2.021714694475526	2017.8654227582344	58.13996376736847	8.928123968089713	0.7878488687680734	0.017085231948781518	5.780005142506971E-4	5.780005142506976E-4	-32395.088351179762	0.0	-603.5405284204659
35000	-32870.034349441565	-620.0872570531284	-32249.947092388433	1.9673241901601481	2017.91981326255	57.91220503582089	7.423749616291363	0.515857540586093	0.023435647198988743	4.914248646985543E-4	4.914248646985544E-4	-32249.947092388433	0.0	-613.2492689036908
40000	-32719.740670290445	-628.423009725227	-32091.31766056522	1.928000186239478	2017.9591372664706	59.875240983380785	12.475056505922119	1.1572929433927854	0.00295769507638006	4.778873421514989E-4	4.7788734215149857E-4	-32091.31766056522	0.0	-621.0149719232701
45000	-32655.086099896474	-628.4315493319742	-32026.6545505645	2.376502311439397	2017.5106351412705	61.73039884280716	12.268860782183253	1.1218442196612253	0.003996234952867244	4.7314844224109374E-4	4.7314844224109363E-4	-32026.6545505645	0.0	-621.0765308462644
50000	-32598.48767664085	-626.1646693974977	-31972.32300724335	2.0342447460662685	2017.8528927066438	60.32060046657026	12.719566417635528	1.0485775816703415	0.0028683253994829074	4.6561008600468664E-4	4.656100860046862E-4	-31972.32300724335	0.0	-618.8827695203765
55000	-32564.31260306241	-636.9610492852747	-31927.351553777138	1.9359993220711544	2017.9511381306388	62.03910243336005	14.643165938995534	1.3609479594270448	0.0134738973088495	4.7989932022959566E-4	4.79899320229596E-4	-31927.351553777138	0.0	-629.3427937167214
60000	-32445.71294281061	-636.320017146593	-31809.392925664015	2.0351572432712692	2017.8519802094388	61.301103530882614	12.670706391593777	1.0437964745205683	0.00544490297707659	4.6834733060911857E-4	4.683473306091188E-4	-31809.392925664015	0.0	-629.0422526543706
65000	-32434.793107206006	-633.1159789153272	-31801.677128290678	2.065042201981729	2017.8220952507284	60.38301654580162	14.34958824532658	1.1327063675647058	0.0043323465959873115	4.463074287409818E-4	4.463074287409817E-4	-31801.677128290678	0.0	-625.7698297737892
70000	-32392.29208551541	-639.8244484600159	-31752.467637055397	1.8100755848395953	2018.0770618678705	61.11656505504482	16.126628997604733	1.2610115603844114	0.004208429169104106	4.507480886953382E-4	4.5074808869533797E-4	-31752.467637055397	0.0	-632.3507126319479
75000	-32354.320298968596	-660.745029217755	-31693.57526975084	1.8721670110014996	2018.0149704417086	64.92294166108968	19.335648937296554	1.445217766361521	0.00798608961513583	4.231807513863984E-4	4.231807513863989E-4	-31693.57526975084	0.0	-653.1413374763849
80000	-32259.918537094647	-653.3350807242163	-31606.58345637043	1.847189641439908	2018.0399478112702	63.38416650789049	19.964360248218732	1.4618606594624493	0.03476240367802642	4.3992793814715106E-4	4.3992793814715133E-4	-31606.58345637043	0.0	-645.6293775962447
85000	-32200.241076459348	-637.1289386552683	-31563.11213780408	1.9004912108704322	2017.9866462418395	61.89813043053088	12.536375280333884	0.9850852251423328	0.045397874160800204	4.058041478832018E-4	4.05804147883202E-4	-31563.11213780408	0.0	-629.9100883347435
90000	-32171.942147686736	-641.5869175284719	-31530.355230158264	1.886430831234686	2018.0007066214753	61.55357484290902	10.40742105455406	0.7960198977727431	0.0388972772170751	4.190872194127609E-4	4.19087219412761E-4	-31530.355230158264	0.0	-634.5505819926775
95000	-32122.218330068856	-640.9351334564335	-31481.28319661242	1.9351916556830848	2017.9519457970268	62.29947692290885	12.462621010402511	1.0322373455282685	0.07837579589434777	4.03464681628113E-4	4.034646816281132E-4	-31481.28319661242	0.0	-633.6092811632922
100000	-32075.3973284132	-637.1124249723065	-31438.284903440894	2.0481786200834438	2017.8389588326265	62.29561072510121	12.81994355632944	1.0658780220156987	0.06571050891335173	4.1891392695014336E-4	4.1891392695014374E-4	-31438.284903440894	0.0	-629.7584788529965
105000	-32056.99076068485	-639.175833843119	-31417.814926841733	2.0269855939866717	2017.8601518587234	62.626250129366674	14.042610896265007	1.2221227848724554	0.02118489348383725	3.7960216058303763E-4	3.796021605830375E-4	-31417.814926841733	0.0	-631.8089230378574
