# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jan 04 11:16:08 AEDT 2020 [seed=1578096965193]
# -overwrite subset1_aln_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-60733.23890193466	-2934.862548573226	-57798.37635336143	2.6157811073207426	2017.2713563453892	23.20153685334706	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.21333970702273714	1.196696833752959	0.07226704159194097	-57798.37635336143	-2720.7422526009486	-197.5984800803631
10000	-37802.17985211022	-3174.0465846350066	-34628.13326747521	2.654810119983646	2017.2323273327263	44.075391599523854	2.066795436050332	-0.12791521664153005	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.053710585539840795	0.005121634561791682	0.021096766085394805	0.0011003933793340827	2.043115858194623	-0.004951546019501541	-34628.13326747521	-2720.7422526009486	-446.3233601387794
20000	-37073.460686108265	-3170.837336923521	-33902.623349184745	2.6982353458338144	2017.1889021068762	45.32285326591782	2.24045010610905	-0.34899948858928465	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03065213557655098	0.0037532995876175214	0.011689215798870707	0.0010854186293882218	1.7657570105287406	-0.01539888012594365	-33902.623349184745	-2720.7422526009486	-443.1923678093583
30000	-36728.75730250865	-3229.7967680648926	-33498.96053444376	2.813682207619651	2017.0734552450904	50.86523610915644	3.7647414687389005	0.009010707087009795	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022796113092797544	0.002653590593367008	0.008187807999447742	8.305863612472564E-4	1.605779725018461	0.02441564391740272	-33498.96053444376	-2720.7422526009486	-502.78416848862804
40000	-36388.81104485444	-3232.0751116782617	-33156.735933176176	2.686141768869467	2017.2009956838406	50.24090531157239	4.014130364320588	0.12842721503182308	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04095377787566421	0.0021362682455036437	0.005814941827768762	8.453665759263688E-4	1.427370941226558	0.13321133254878642	-33156.735933176176	-2720.7422526009486	-505.0437953320857
50000	-36144.87855963458	-3252.5948354285597	-32892.28372420602	3.5828753101848503	2016.3042621425252	54.43247061062082	5.812502564727398	0.5272152176586076	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02696117504719368	0.001589162119130102	0.0036357406297326776	6.623752856898027E-4	1.4554927347844067	0.12751607804677662	-32892.28372420602	-2720.7422526009486	-525.4080543897662
60000	-35797.507858917204	-3250.8086193802746	-32546.69923953693	2.885692253830793	2017.0014451988793	53.93895073454159	5.112433590693276	0.4591900786143519	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03354876988656103	0.001373697149149396	0.002806201659087553	6.528511885232454E-4	1.3559915781417151	0.029958096589513924	-32546.69923953693	-2720.7422526009486	-523.7598867245623
70000	-35503.204716934684	-3259.652160371987	-32243.552556562696	2.6176442094118	2017.2694932432983	53.098423009565906	4.612108128443502	0.22255798924418846	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014498645671256345	0.0010781317439538753	0.001921347306938325	6.362463441196335E-4	1.2303481043477265	0.13094303709034666	-32243.552556562696	-2720.7422526009486	-533.010953528737
80000	-35321.9636349657	-3284.531018119301	-32037.432616846403	3.3269984412394606	2016.5601390114705	55.43745886158381	6.7753171399566305	0.6965101427289324	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06656609133086545	0.0010285017710315112	0.001879716106157658	5.644895840155702E-4	1.3475330738229743	0.10221794207190014	-32037.432616846403	-2720.7422526009486	-557.3571744700938
90000	-35167.55172573268	-3257.2141056158525	-31910.33762011683	2.5746042646720455	2017.312533188038	50.23038777172532	5.233958283881886	0.4900725917397437	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0321733578749027	9.304420750411869E-4	0.0016208694448621394	6.070509223075656E-4	1.280376122531124	0.05689330013171236	-31910.33762011683	-2720.7422526009486	-530.3273396305066
100000	-35078.68206039314	-3262.7967842350636	-31815.88527615808	2.0812932734322835	2017.8058441792778	50.60393262570124	5.100000091576403	0.3376733199472204	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.011817912087022911	9.010852081492131E-4	0.0015424796966535456	5.901701016564143E-4	1.17438756757098	0.06725731483593277	-31815.88527615808	-2720.7422526009486	-536.1242374901905
110000	-34984.354335194505	-3280.446514413032	-31703.907820781475	2.204625308325005	2017.682512144385	51.82743833424399	7.24805081868311	0.7129490523981248	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05116973480950283	7.990549178672467E-4	0.0014963266005697583	5.626742547994025E-4	1.2671506941037702	0.05492228516048777	-31703.907820781475	-2720.7422526009486	-553.3963210350125
120000	-34920.59647899411	-3270.4721373284474	-31650.12434166567	2.6575910416218376	2017.2295464110882	50.83149156634921	9.048639801976185	1.1384123628679685	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026870411548019908	9.682088981988796E-4	0.002296044093658815	5.924989828167726E-4	1.6647239000493088	-0.010930147819742391	-31650.12434166567	-2720.7422526009486	-542.92914868384
130000	-34840.12683311275	-3280.826623871463	-31559.30020924129	2.284442147231837	2017.6026953054782	51.83538090459837	8.650296641340873	0.9495847774893815	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02109287451963339	7.862144963540239E-4	0.0015980683324573483	4.932013112054252E-4	1.4186043297677047	0.07264835209265266	-31559.30020924129	-2720.7422526009486	-553.6084651148117
140000	-34766.41731605091	-3280.748867791888	-31485.66844825902	2.669526256921654	2017.2176111957883	54.491568139021375	5.819738086882432	0.3736810153016048	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03953197231931695	0.0010245404928323045	0.0040591047766380586	5.125040863716763E-4	1.6816067398740675	-0.003166257346231043	-31485.66844825902	-2720.7422526009486	-553.9399063036152
150000	-34727.41642599877	-3292.22759210803	-31435.188833890734	2.9280468063183993	2016.9590906463916	56.72020019126779	7.891952883964812	0.5735813426421401	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0321021575390608	9.175832553314584E-4	0.0031076657592192716	4.947633334444636E-4	1.5277856652528945	0.016650746897137556	-31435.188833890734	-2720.7422526009486	-565.3153771335689
160000	-34682.97236899911	-3285.0768999775573	-31397.895469021547	2.521130776556757	2017.3660066761533	54.697204861191054	7.307987419202983	0.7809827115404695	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05707876766943933	7.926766527231643E-4	0.0021688423951328915	4.769846769186822E-4	1.4036720152434559	0.09217853055162738	-31397.895469021547	-2720.7422526009486	-557.9738460962413
170000	-34540.8799194957	-3277.767350701123	-31263.11256879458	2.327263487571846	2017.5598739651382	53.67449991830906	6.503178330331945	0.7354554454089768	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02925144816147448	7.768325232111276E-4	0.002004407435307118	4.5501433263409903E-4	1.3315763207375209	-0.005888272703687116	-31263.11256879458	-2720.7422526009486	-550.7682991882075
180000	-34525.58125306011	-3262.090881878304	-31263.490371181808	2.2926341591239234	2017.594503293586	51.2224821763493	6.032216477441372	0.5739113011896038	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05231059329924981	9.75349397030159E-4	0.002827093088814395	5.1722063442131E-4	1.5128893808246882	-0.039714030755662086	-31263.490371181808	-2720.7422526009486	-535.059363919768
190000	-34502.52002278738	-3287.5162235892935	-31215.003799198083	2.7710508371344993	2017.1160866155756	55.48364953408571	6.124154240097277	0.6998454769270226	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.043809509314715236	9.149809186732289E-4	0.002557775333851278	4.948620219412032E-4	1.5151519738514634	0.03318592479948092	-31215.003799198083	-2720.7422526009486	-560.4476751859934
200000	-34468.495865801044	-3284.2939726345403	-31184.201893166504	3.213684398573426	2016.6734530541366	57.13630570735445	4.83128892854097	0.27213601609198235	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07885521234646058	0.001042878806732526	0.004508598143990647	4.5380944492132564E-4	1.8027819554353852	-0.028223455497154416	-31184.201893166504	-2720.7422526009486	-557.5176401478913
210000	-34482.3304908961	-3301.407540910565	-31180.922949985536	3.5042166091890934	2016.3829208435209	59.60817892350404	8.209023760037745	0.6457616160980681	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05094160254508876	9.78308555973643E-4	0.00460022593574301	4.321654518025498E-4	1.9312746035141488	0.0628013131336247	-31180.922949985536	-2720.7422526009486	-574.3675065275696
220000	-34503.55382907076	-3318.666177680705	-31184.887651390054	3.5937822663138075	2016.2933551863962	60.701970763766624	7.812931347950596	0.6299999709313062	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0261769287876225	6.871424865528291E-4	0.0018315578577718264	4.133938810286041E-4	1.6138597054525112	0.005839293534510263	-31184.887651390054	-2720.7422526009486	-591.9020819500462
