# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 03:30:13 AEDT 2019 [seed=1576859410627]
# -overwrite subset1_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-39865.08415369708	-215.44245616760355	-39649.64169752947	1.427201121959527	1.427201121959527	9.311608693040014	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.004999999999999998	-39649.64169752947	0.0	-202.9295207026333
10000	-34478.547754222775	-438.03215748140366	-34040.515596741374	0.48573684222689206	0.48573684222689206	13.32209559921431	4.043430321711368	8.274227103319435	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02704474349993811	0.005	0.0050000000000000044	-34040.515596741374	0.0	-418.1908749918109
20000	-33419.426847718	-415.83811561121735	-33003.588732106786	0.39452597553285085	0.39452597553285085	11.385501483054943	3.7699933454448296	10.89440348703832	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03296031887775674	0.005	0.005000000000000006	-33003.588732106786	0.0	-393.36482832151984
30000	-32823.06735225765	-371.2605740443744	-32451.80677821327	0.2596240733763991	0.2596240733763991	9.046493140657633	2.9566391612832694	15.58500606350547	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02855546810099046	0.005	0.0049999999999999906	-32451.80677821327	0.0	-344.1055020133051
40000	-32497.200989178837	-348.80719419518994	-32148.393794983647	0.22628631738936128	0.22628631738936128	8.047076988917723	2.652585795787373	17.585142645248652	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05567575383079601	0.005	0.0050000000000000044	-32148.393794983647	0.0	-319.5977480514515
50000	-32096.881177827243	-344.04335681660683	-31752.837821010635	0.19131285716865654	0.19131285716865654	7.870370724772455	3.5157083766496275	24.99061584242746	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03954206415888583	0.005	0.005	-31752.837821010635	0.0	-307.4606962238076
60000	-31838.219702813913	-307.1845867333099	-31531.035116080602	0.1908450738255073	0.1908450738255073	6.812952455679537	2.312427847595486	20.38028091723463	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010823488688343328	0.005	0.005000000000000002	-31531.035116080602	0.0	-275.2697102494499
70000	-31709.28201005811	-294.00396765022595	-31415.27804240788	0.18554835086789623	0.18554835086789623	6.411149706309012	2.0763208690286494	18.86490535569567	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01729900918518187	0.005	0.004999999999999986	-31415.27804240788	0.0	-263.59151804798097
80000	-31684.410230338453	-295.8401440878439	-31388.57008625061	0.18075878774210302	0.18075878774210302	6.310778323893734	2.349696466537166	21.799380360218503	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023449504938886662	0.005	0.004999999999999999	-31388.57008625061	0.0	-262.48091575581276
90000	-31674.282181159928	-303.3820971656453	-31370.900083994282	0.16413517565780106	0.16413517565780106	6.441035022916464	2.923626605238446	29.224317349468897	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05078301754924836	0.005	0.005000000000000001	-31370.900083994282	0.0	-262.5432590798416
100000	-31628.41531064505	-297.9317635660963	-31330.483547078955	0.13670072560220245	0.13670072560220245	6.021635684724258	2.3327119271378254	21.104841014782654	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.027685061339202482	0.005	0.005	-31330.483547078955	0.0	-265.2586036365458
110000	-31560.48062337729	-283.868701285046	-31276.611922092245	0.13097737946452828	0.13097737946452828	5.828028232826223	2.159031131381524	27.79485312433794	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.038428580769087534	0.005	0.0050000000000000044	-31276.611922092245	0.0	-244.4840439438883
120000	-31460.15082700409	-282.868313592359	-31177.28251341173	0.1481509363360946	0.1481509363360946	5.79469695325579	2.0916918881856406	28.136400226969528	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07164733389535652	0.005	0.0049999999999999975	-31177.28251341173	0.0	-243.07567231570965
130000	-31420.90504987149	-282.9594933820242	-31137.945556489467	0.15100805325752825	0.15100805325752825	5.82450578276756	2.1749277715502147	23.494734442538565	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03330390935020667	0.005	0.005000000000000002	-31137.945556489467	0.0	-247.88520390653733
140000	-31368.21194638585	-280.74701242393377	-31087.464933961917	0.14826298706720387	0.14826298706720387	5.77082113561212	1.9880195025043268	25.309076346950928	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09551672151746314	0.005	0.005000000000000004	-31087.464933961917	0.0	-243.73395728878268
150000	-31363.601588716927	-273.8894214762737	-31089.712167240654	0.1423808249661158	0.1423808249661158	5.501372205962301	2.1559650805788766	33.221095735192804	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07758761137319933	0.005	0.005	-31089.712167240654	0.0	-229.00020349371349
160000	-31317.308849721725	-259.6409886720952	-31057.66786104963	0.12695693449555007	0.12695693449555007	5.323654444279595	1.9045323292589893	26.88574427568359	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08209615779059867	0.005	0.005000000000000002	-31057.66786104963	0.0	-221.0781075705369
170000	-31249.14183090986	-254.58800849806755	-30994.55382241179	0.14525709812107077	0.14525709812107077	5.114603925309906	1.7844213912613562	22.727494422855802	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07875666776192973	0.005	0.004999999999999996	-30994.55382241179	0.0	-220.19005743050374
180000	-31258.544467013897	-259.2081275471916	-30999.336339466707	0.1411010030581024	0.1411010030581024	5.3884048113662875	1.5310857884783866	21.776462338522983	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09683549573561619	0.005	0.004999999999999998	-30999.336339466707	0.0	-225.7250534413693
190000	-31249.259779143635	-252.6384116550241	-30996.62136748861	0.1371301461167722	0.1371301461167722	5.181007500123145	1.7980037032166212	28.928311399015367	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09941873220777099	0.005	0.0049999999999999975	-30996.62136748861	0.0	-211.99831934658593
200000	-31274.565875439923	-272.81748872988373	-31001.748386710038	0.11154517178821195	0.11154517178821195	5.434341812420621	2.176566277897629	32.21040203557549	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023104190093914678	0.005	0.005	-31001.748386710038	0.0	-229.0479310834874
210000	-31217.17300222349	-266.92966338521086	-30950.24333883828	0.1277545044501285	0.1277545044501285	5.269510417044898	1.8612080142219773	30.368757364168438	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06063904154755549	0.005	0.0049999999999999975	-30950.24333883828	0.0	-224.92668386089696
220000	-31203.025606774016	-260.59830791911327	-30942.427298854902	0.10632083887348409	0.10632083887348409	5.089146056619694	1.9370994513878732	28.002600622860374	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.18094524717770716	0.005	0.004999999999999995	-30942.427298854902	0.0	-220.72087196593273
230000	-31219.22320805241	-265.58495961947426	-30953.638248432937	0.1208181372137573	0.1208181372137573	5.208468797885237	2.329964111398841	36.63361669146313	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13567189995403087	0.005	0.004999999999999987	-30953.638248432937	0.0	-217.1670503634917
240000	-31214.434879469263	-261.34723008935214	-30953.08764937991	0.15277487883723287	0.15277487883723287	5.199026423714785	1.9234173811352546	32.333594949644564	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10863888241383066	0.005	0.004999999999999995	-30953.08764937991	0.0	-217.28341267573586
250000	-31183.82315353395	-239.55670676057193	-30944.266446773378	0.15328347733875808	0.15328347733875808	4.806826174966666	1.3356202479733241	18.71046029138835	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.061450053025650105	0.005	0.004999999999999994	-30944.266446773378	0.0	-209.21040754195957
260000	-31177.282063148406	-228.87054443245887	-30948.411518715948	0.1222871680936187	0.1222871680936187	4.443884995161162	1.6583547671551249	37.24059460661528	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05358167201634684	0.005	0.004999999999999998	-30948.411518715948	0.0	-180.00984443329298
270000	-31153.420639696233	-228.71111225899716	-30924.709527437237	0.10547738416836233	0.10547738416836233	4.396059152141731	1.37951463992682	29.479435873869694	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08367210712349464	0.005	0.005000000000000001	-30924.709527437237	0.0	-187.55139291076384
280000	-31149.794740039182	-226.6240016980659	-30923.170738341116	0.13148936463011418	0.13148936463011418	4.508950092002495	1.4074306283203295	28.334106987539265	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08882431974913037	0.005	0.005000000000000001	-30923.170738341116	0.0	-186.59930653175186
290000	-31152.8785533603	-222.93606934374833	-30929.942484016552	0.13443333397733262	0.13443333397733262	4.411015157514068	1.4243764786624182	30.26865994781079	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07224079327971256	0.005	0.0050000000000000044	-30929.942484016552	0.0	-181.00998810064308
300000	-31142.52371927006	-228.97192385885535	-30913.551795411204	0.12046307927651992	0.12046307927651992	4.451580894630671	1.5019085248502198	26.251197818124275	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02007305264376497	0.005	0.005000000000000005	-30913.551795411204	0.0	-191.16763945138808
310000	-31142.975197788375	-221.02228274039706	-30921.95291504798	0.10309491873997591	0.10309491873997591	4.391827951553907	1.2307825092237599	25.245495634814333	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.16925162596645535	0.005	0.005000000000000001	-30921.95291504798	0.0	-183.9253460808545
320000	-31159.129884479156	-232.41899432514614	-30926.71089015401	0.11783031095814282	0.11783031095814282	4.621850315346628	1.4102474483596068	23.612160254707394	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.12311270097518075	0.005	0.005000000000000004	-30926.71089015401	0.0	-197.04766910104368
