# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 12 12:27:10 AEDT 2019 [seed=1576114027813]
# -overwrite subset2_aln_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-35972.70781879122	-1127.7216268876177	-34844.986191903605	2.6082632713514915	2017.0617661527785	18.951634390590325	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.006442160011265102	6.153182196731696	-0.04383421081374135	-34844.986191903605	-1021.9644828582857	-93.34282085302993
5000	-31370.949011683773	-1287.3912763263859	-30083.557735357386	3.5036427441487827	2016.1663866799813	46.33145623194078	7.778601725638731	0.43122343219573	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05765438880057863	0.005	0.15351402413976292	4.893712934634544E-4	2.9818275967710797	-0.07299095108013018	-30083.557735357386	-1021.9644828582857	-254.0053282235647
10000	-30977.076849044435	-1290.5173489502772	-29686.559500094158	2.6870648061444213	2016.9829646179855	47.17102357444044	8.660754982201869	0.4909420669596163	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05339260088520527	0.005	0.1694682641580222	4.594952340098408E-4	3.1745246232952264	-0.07359962225888106	-29686.559500094158	-1021.9644828582857	-257.03233424693553
15000	-30687.6920059571	-1295.200853884361	-29392.491152072736	2.6735442926564557	2016.9964851314735	46.87441100471612	8.127227281365517	0.3989896431955844	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05944533126996802	0.005	0.20397619414375673	3.870800822804983E-4	3.7103775070319562	-0.039138406933695184	-29392.491152072736	-1021.9644828582857	-261.69216768933364
20000	-30542.348882913808	-1306.3553744647716	-29235.993508449035	3.317819499597286	2016.3522099245326	50.3369547110679	22.004605726018287	1.2605239433948605	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.053713912069195915	0.005	0.21158008155250715	3.371620131515458E-4	3.6911562370494893	0.09189012586879691	-29235.993508449035	-1021.9644828582857	-271.97366637193585
25000	-30414.677311764015	-1316.758596233604	-29097.91871553041	4.365410060683179	2015.3046193634468	58.35075610795169	18.719289125036802	0.8876166412740156	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.042520101433071875	0.005	0.19315816051166976	3.0832404631711546E-4	2.744125808894314	-0.08209285584386831	-29097.91871553041	-1021.9644828582857	-282.82748168044986
30000	-30313.636143970216	-1320.2866972871518	-28993.349446683063	3.3821041849380173	2016.287925239192	57.75423656510537	16.642334180925353	0.7594098245197536	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0635308400731277	0.005	0.2403858051674057	2.8322741752727284E-4	3.0507356851455154	-0.03513787128404798	-28993.349446683063	-1021.9644828582857	-286.30010590905397
35000	-30257.617279750786	-1326.6403495898708	-28930.976930160916	4.232246253495184	2015.437783170635	62.299409073519236	15.846946772140742	0.708922330306317	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08736817754238796	0.005	0.26544239427914207	2.624283152162036E-4	3.2158610018909046	-0.025320764144556047	-28930.976930160916	-1021.9644828582857	-292.58140921758684
40000	-30151.15601306285	-1338.1096769783164	-28813.04633608453	4.869082747375875	2014.8009466767542	70.62611353446619	14.218269736161284	0.4093916940902227	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10381693403877229	0.005	0.3739616025791694	2.2124687130747084E-4	3.2303827082438703	0.023998091978936528	-28813.04633608453	-1021.9644828582857	-303.9918283911259
45000	-30121.65508548072	-1345.5591823062318	-28776.09590317449	5.335020895114468	2014.3350085290156	72.70315974015452	16.445730444866697	0.45071844587504395	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03175926695552208	0.005	0.5142995591889677	1.8763315329273347E-4	2.924712233081395	-0.05421184040147657	-28776.09590317449	-1021.9644828582857	-311.12308615698646
