# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 12 12:28:59 AEDT 2019 [seed=1576114137198]
# -overwrite subset3_aln_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-57713.30407518571	-1628.4068463750868	-56084.89722881062	4.584898535574656	2015.1292670802254	25.331154006267855	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.26332833006525347	1.1716479924004162	-0.028164039653539148	-56084.89722881062	-1472.0505632306274	-139.34597121516111
5000	-32178.434258274636	-1740.1035217657547	-30438.33073650888	3.5577177153433373	2016.1564479004567	39.73586809246266	2.018209488928742	-0.28370247686013306	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08423533901419977	0.014081130866811953	0.3284910608892112	6.759570555667617E-4	5.4603987615690714	0.02456008134353603	-30438.33073650888	-1472.0505632306274	-259.0416748737609
10000	-31610.30669400863	-1740.429244496247	-29869.87744951238	7.571695290365145	2012.142470325435	45.78399312261171	2.104129651075917	-0.2942145421253646	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02433977872709985	0.009544655914545874	0.2203379800759384	4.789265061903397E-4	5.265610505439879	-0.009857158388839025	-29869.87744951238	-1472.0505632306274	-260.1889358076061
15000	-31479.129827680605	-1743.9172699962528	-29735.212557684354	4.260653061535561	2015.4535125542645	39.886782213930225	3.269770805287514	0.15294137378829586	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05483622677831055	0.008464964574573302	0.23777685574069407	4.671062701852676E-4	5.972780540218403	-0.007391798973287764	-29735.212557684354	-1472.0505632306274	-263.7953435779567
20000	-31256.309300527908	-1736.2899906648672	-29520.01930986304	3.4613247796433564	2016.2528408361568	35.02476367077982	3.3756571752041378	0.12898901508071292	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012977851733920404	0.005558680272444738	0.0883884652850756	4.8617434958239295E-4	5.134398724389447	-0.007351982119558531	-29520.01930986304	-1472.0505632306274	-257.01213893354543
25000	-31103.88999473365	-1731.7895015236709	-29372.10049320998	3.8740286999565	2015.8401369158437	35.34570321366267	3.270809166388567	0.29360110492572633	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010628615547346643	0.005633841939280606	0.07306359095634796	5.0162815385331E-4	5.217376047331019	9.658058678309462E-5	-29372.10049320998	-1472.0505632306274	-252.3911165016311
30000	-30903.145250116984	-1723.9582066151704	-29179.187043501814	2.8195775879187863	2016.8945880278814	33.221497851146474	2.585335776923688	0.02341174538933366	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07330303280760626	0.005029345593127061	0.07970794378090129	4.664041273229934E-4	2.7080331341813766	-0.0026278609057570155	-29179.187043501814	-1472.0505632306274	-244.7425466738619
35000	-30823.723608661636	-1706.615303962043	-29117.108304699592	2.329766101598135	2017.384399514202	28.33436180638649	2.082053577456036	0.12000924686358116	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06411281633260613	0.0051149714081698255	0.07474558699504971	5.593093198984302E-4	2.931211716353155	0.018490395307723513	-29117.108304699592	-1472.0505632306274	-227.27047006844504
40000	-30785.607389949055	-1714.876484615968	-29070.730905333086	2.4142928230625973	2017.2998727927375	30.596575377353844	3.5450686776549336	0.5027700221077402	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0523365227888749	0.0028255281500530497	0.028150164430577718	5.190854455720457E-4	2.5023532773271944	0.029369280916007035	-29070.730905333086	-1472.0505632306274	-235.70583680094114
45000	-30616.389327956007	-1724.6001041687266	-28891.78922378728	2.61122129813373	2017.1029443176662	32.03807524805078	10.149633924439215	1.5633661280715272	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.045918398929120426	0.0016726268956233363	0.009979226063200692	4.829855470785525E-4	1.8241456344430893	-0.006585940323008385	-28891.78922378728	-1472.0505632306274	-244.75417544408378
