# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 23 10:42:28 AEDT 2019 [seed=1577058144201]
# -overwrite subset3_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-39909.3372886728	-1630.3438867488499	-38278.99340192395	2.682514390101612	2.682514390101612	12.251660225537918	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.00979376548304597	5.0951035653152275	-0.02690709397623638	-38278.99340192395	-1472.0505632306274	-145.8790003419204
16000	-31214.89763828623	-1853.6087111922102	-29361.28892709402	4.7407870938473184	4.7407870938473184	45.57347077236184	8.089218110771286	0.5529233350336631	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024091875312973687	0.005	0.07183857697315162	3.7542370098396396E-4	3.778592485712801	-0.007559514165560669	-29361.28892709402	-1472.0505632306274	-370.3271310765204
32000	-30811.065857055917	-1854.5028242395485	-28956.563032816368	4.400222579785926	4.400222579785926	44.780074063821644	6.742883867725879	0.605450560457671	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03909614545405034	0.005	0.11883557780849263	3.2152039483658525E-4	3.2873507810456934	0.019291866055822553	-28956.563032816368	-1472.0505632306274	-370.9977308189891
48000	-30582.66780523632	-1833.4173071575199	-28749.2504980788	3.308899065348099	3.308899065348099	38.66269361877303	5.5605986377012595	0.40152624668983083	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02273885295995656	0.005	0.09135299033401309	3.2793126318250595E-4	3.1668379110421996	0.00993635274826043	-28749.2504980788	-1472.0505632306274	-350.2313122209922
64000	-30416.673823484103	-1838.3048125673681	-28578.369010916736	3.198861465923936	3.198861465923936	35.9263990413915	6.883210543929339	0.7663818849696893	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03732692630749574	0.005	0.17054375000136363	3.207219556268697E-4	3.0646586234124746	0.07889078331225488	-28578.369010916736	-1472.0505632306274	-354.4872003407444
80000	-30374.819813951402	-1849.297834623093	-28525.52197932831	3.8975101910024432	3.8975101910024432	40.823568887226074	6.042349302925354	0.5283323107192524	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02080874226613722	0.005	0.16592781748397303	2.9606222721810814E-4	2.9345741340387326	0.04665911032429059	-28525.52197932831	-1472.0505632306274	-365.7651645449671
96000	-30233.962034611603	-1840.689961655737	-28393.272072955864	4.825528961726263	4.825528961726263	41.97230961163984	5.812611278558021	0.3413292671130148	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05163182582572748	0.005	0.15328917884419288	2.698485801636388E-4	2.717957049057977	-0.04627243782487637	-28393.272072955864	-1472.0505632306274	-357.3205666673978
112000	-30207.291231430256	-1841.4072414083228	-28365.883990021932	1.8289928635685229	1.8289928635685229	32.73375727321091	8.841147062398178	1.7084610339610324	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03180486237918068	0.005	0.1266491875583188	3.233061030479229E-4	3.0483645669697883	0.08071126268299196	-28365.883990021932	-1472.0505632306274	-356.7902582685283
128000	-30104.2268627047	-1839.58844798979	-28264.63841471491	2.7390516111026573	2.7390516111026573	35.07254236168943	7.604726136867974	1.105567099498888	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0647171784408074	0.005	0.17265623516117296	2.4667245665111257E-4	3.6443205726401855	-0.010897393019883787	-28264.63841471491	-1472.0505632306274	-355.37052537373506
144000	-29932.41134959969	-1788.4794853913113	-28143.931864208378	1.349729413955383	1.349729413955383	23.34725949947655	4.8907982302685715	1.3470101596957773	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03406726266372312	0.005	0.12789262962473197	4.0524570623478185E-4	3.261833263610525	-0.020608016686490965	-28143.931864208378	-1472.0505632306274	-304.215737502502
160000	-29946.729668217562	-1795.6925562662227	-28151.03711195134	1.3368947739963737	1.3368947739963737	23.612727645496427	5.506026158535242	2.1903106635505694	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1453978244372425	0.005	0.2105510517817076	3.202506393555046E-4	3.481282039513104	0.03732595950166396	-28151.03711195134	-1472.0505632306274	-310.1148653312615
176000	-29902.13282426499	-1779.817850337246	-28122.314973927743	1.9134843942316113	1.9134843942316113	23.06720979700658	4.080070290626004	1.1372257322392765	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06578186110231896	0.005	0.11533572721791793	4.3060353115152695E-4	4.043246071398518	0.04651801336418507	-28122.314973927743	-1472.0505632306274	-295.73813649351604
