# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jan 06 10:47:38 AEDT 2020 [seed=1578268056095]
# -overwrite Democratic_Republic_of_the_Congo_subset_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-46295.73081333647	-188.37008657178174	-46107.36072676469	5.286004363665205	2012.139594627505	11.219204242658227	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.24867945338418707	1.0316909829882595	-0.21974935247406213	-46107.36072676469	-156.9821239679015	-17.498434091792188
40000	-29208.110737598297	-165.38324221221475	-29042.727495386083	3.079626571516473	2014.3459724196537	5.932052339586528	1.441460202675142	0.49239575471299935	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03978665566778613	0.02168780785723616	0.25703626516013517	0.0038627592095412775	2.0003995457521437	-0.02324214719285314	-29042.727495386083	-156.9821239679015	1.2516177255099898
80000	-29211.728884355773	-163.88229620671405	-29047.84658814906	3.0301193398140946	2014.395479651356	4.9509693280952884	1.5577517026847962	0.5923072478696052	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05869187777180758	0.010988719698176908	0.09079972526202677	0.0045429101583927475	1.9715440257735075	-0.19774981035822245	-29047.84658814906	-156.9821239679015	2.0677817534998466
120000	-29224.05866353991	-189.85904627868354	-29034.199617261223	4.592980548094859	2012.8326184430753	10.563049394456462	1.5275692272524704	-0.02513338296527534	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014034722374271114	0.009128675977093567	0.09774614808193477	0.002161510258778293	1.6422716579794445	0.07693055673707265	-29034.199617261223	-156.9821239679015	-24.97420929808047
160000	-29202.672009398022	-162.8956731536139	-29039.77633624441	3.0689123332414856	2014.3566866579285	4.868035745724212	0.5895919635506367	0.21956869498492937	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03538454378655203	0.012399179832934978	0.18199891817236186	0.004911751581024795	1.2820017624507025	0.008933427190982612	-29039.77633624441	-156.9821239679015	2.9834212825616335
200000	-29220.09543865435	-172.45761432348988	-29047.63782433086	3.089469965758892	2014.3361290254113	6.41565306646333	3.28252108767202	0.7090054592257713	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.31210554736337165	0.029854138895091375	0.9526453977204868	0.003240446954957689	2.3638165174662147	-0.07727651077452093	-29047.63782433086	-156.9821239679015	-2.7911791604103575
240000	-29226.302012650238	-186.12338190504792	-29040.17863074519	3.6658767915130923	2013.759722199657	9.23605489648433	5.726429208518366	0.5523502801846334	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07094011939417368	0.018431850879640565	0.5715159143802138	0.0023207865416346256	1.531855096553899	-0.0755177804368859	-29040.17863074519	-156.9821239679015	-18.683901664968648
280000	-29216.187957831822	-175.00017984803213	-29041.18777798379	3.0663272875520216	2014.359271703618	6.50065716884318	5.5439437800313405	0.8082739081601704	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09778005665972848	0.02484512835875864	0.8872742460615501	0.003468754296393823	1.5732721301324066	-0.1690007137896526	-29041.18777798379	-156.9821239679015	-5.987654331160979
320000	-29222.896835136584	-177.32317706511213	-29045.573658071473	3.0843923413596226	2014.3412066498104	6.2325109512378365	4.004366141421752	0.72384090818293	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.798400989468854	0.011844622959632659	0.23622849061629067	0.0033160304393372816	1.6579429936269428	-0.15236621437580394	-29045.573658071473	-156.9821239679015	-9.384015116351216
360000	-29244.424551895812	-210.60982976341612	-29033.814722132396	6.721614191439455	2010.7039847997307	21.683351133154304	11.490533387956207	0.44115313061013617	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5837362046364086	0.01798512170284864	0.6438471730938695	9.478839649429205E-4	1.8986123050535033	-0.10442101265863966	-29033.814722132396	-156.9821239679015	-42.25814558881366
400000	-29228.17201231708	-188.937751039308	-29039.234261277772	3.500591370783484	2013.9250076203866	10.929604298865979	6.848170302853023	0.7057516528211145	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02179149903973239	0.02701353656299051	0.5188041769339097	0.0019302337526086893	1.6379898563918367	-0.14858373569916208	-29039.234261277772	-156.9821239679015	-21.369332164812533
440000	-29229.489363914552	-188.2601014253805	-29041.22926248917	3.457387462688031	2013.968211528482	9.32001498675421	53.22613481348676	1.3361826020932654	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04236189116936958	0.020944035848781874	0.48821823224862404	0.0024128289230994425	2.1715331486418132	-0.03294055277076918	-29041.22926248917	-156.9821239679015	-20.25904006518513
480000	-29210.560267867942	-170.46168182829675	-29040.098586039647	3.460946404650475	2013.9646525865196	6.302296638187858	5.599659178447882	0.8264730605246016	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1502166632876569	0.014525608196852483	0.23850547520177362	0.00336154072951524	1.3756853390898034	-0.06997946047048255	-29040.098586039647	-156.9821239679015	-3.5952343488830643
520000	-29211.154695049197	-170.1728104343066	-29040.981884614892	3.1575510283363557	2014.2680479628336	5.274599749145961	8.293503077317022	0.9921844261055264	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7874419855645466	0.009761161268810789	0.14099526610111612	0.004186081945465103	1.6376347883567242	-0.03982297021698375	-29040.981884614892	-156.9821239679015	-2.308508349200026
560000	-29223.368659921056	-183.62035269983116	-29039.748307221224	3.4818778248837456	2013.9437211662864	8.407480310555668	0.823431210642855	0.0663091830935092	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08299294941879448	0.008831822543013406	0.1021130674881355	0.002767048655850463	1.5126580293943268	-0.258620533319764	-29039.748307221224	-156.9821239679015	-18.467912572314965
600000	-29229.465912885564	-182.68739155763564	-29046.778521327928	4.165806181532739	2013.2597928096372	8.469502588164968	3.1704453522354643	0.41643127861712426	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10191473377329055	0.010139157375195872	0.09472693637786267	0.0029172764098813584	2.0585848969374285	-0.10809737407202538	-29046.778521327928	-156.9821239679015	-17.092153673134206
640000	-29211.26418467972	-169.99575114933225	-29041.268433530386	3.2707418681083333	2014.1548571230617	5.465002470882103	0.36962607511631307	-0.06429073234734473	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.35552182816175953	0.016560200208180675	0.4753769797845804	0.004023953229934354	1.7848458292392029	0.021508054766072152	-29041.268433530386	-156.9821239679015	-2.634537309867866
680000	-29230.510004411994	-191.71935694240415	-29038.79064746959	3.961830076196064	2013.463768914974	9.562902096852316	1.0263078255621059	-0.22625842417725206	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019629916155546562	0.012008560299825945	0.23966856743319176	0.002306384251144957	2.7825350506362443	-0.05298838586654182	-29038.79064746959	-156.9821239679015	-25.991197333352606
720000	-29218.251247096316	-179.10537784793695	-29039.14586924838	3.893004731626078	2013.532594259544	7.668156305121691	0.3923465405041264	-0.12978595643320667	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.23645506019341272	0.01245660715879124	0.3154875030661106	0.0029910780345841397	3.86438885070912	-0.06675422146711159	-29039.14586924838	-156.9821239679015	-12.703184195815757
760000	-29223.815598820667	-182.3959096534157	-29041.41968916725	3.3460648654158174	2014.0795341257542	7.285557545147908	2.8005826911661256	0.36388529131851977	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08479161574382178	0.012428282415336049	0.3008028118229912	0.0031027521343477494	1.507409857055468	0.1878743840091851	-29041.41968916725	-156.9821239679015	-16.087492902280985
800000	-29210.07496722046	-173.06534383081095	-29037.009623389647	3.4963325690359786	2013.929266422134	6.368554567925402	4.349834399492172	0.7469663660520831	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02897793644756694	0.0072079328203637815	0.06951677616327048	0.0034066204685685325	1.2545275250670098	-0.10217169111254795	-29037.009623389647	-156.9821239679015	-7.429094369569389
