# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jan 13 16:46:13 AEDT 2020 [seed=1578894371174]
# -overwrite Democratic_Republic_of_the_Congo_subset_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-39238.01731011119	-194.66541052173983	-39043.35189958945	1.3236473048158253	1.3236473048158253	7.288112697490299	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0053016410308626685	2.9910436168907193	-0.08149080123664856	-39043.35189958945	-156.9821239679015	-25.268963377536217
400000	-29236.325183905654	-194.82110187189377	-29041.50408203376	1.4695283384528535	1.4695283384528535	7.132339771152523	1.593651100959077	0.7569057863451518	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02131973735257209	0.005	0.05226516651183526	0.0031114181721921316	1.6428679930113175	-0.18370135212913855	-29041.50408203376	-156.9821239679015	-26.46830803059336
800000	-29287.433969867063	-240.6043371123526	-29046.82963275471	6.330703786319404	6.330703786319404	80.44409667950163	738.3260549447824	1.160150086269219	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0510144899726839	0.005	0.722394735493527	2.848666310749379E-4	3.1686733212694014	0.07137106843180645	-29046.82963275471	-156.9821239679015	-69.77115343490439
1200000	-29283.904779693166	-240.69487589197652	-29043.20990380119	9.402487879114567	9.402487879114567	151.40711655077826	47023.62839748426	1.2598364741896189	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3976574067248831	0.005	0.564160495736245	1.334061505159147E-4	3.570673091230832	-0.05648462541293539	-29043.20990380119	-156.9821239679015	-69.08056968894995
1600000	-29275.20253540084	-236.5365259228452	-29038.666009477995	4.902245875334893	4.902245875334893	49.40911066421478	140.97436141114235	1.2655487244788446	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.15221768926457122	0.005	0.5217299360101535	4.5129014671418005E-4	2.908185343675022	-0.08265977242264198	-29038.666009477995	-156.9821239679015	-66.00350512398903
2000000	-29260.856054764117	-221.17311419651404	-29039.682940567604	2.6373873279928217	2.6373873279928217	25.58537446723217	42.05220696495225	2.119372265678833	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06000824738453345	0.005	0.10562672694223248	0.0010111400533163307	2.49362116785658	-0.07632744713465871	-29039.682940567604	-156.9821239679015	-51.21998758896618
2400000	-29292.385385894486	-250.89544680777425	-29041.48993908671	10.315440996733946	10.315440996733946	97.49664120777993	328.3101900580757	0.6443020208599928	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03825909956462574	0.005	0.23015937626623298	2.3444323768632736E-4	3.4091810715309543	-0.07606576394471731	-29041.48993908671	-156.9821239679015	-82.08442821288212
2800000	-29298.369203469414	-263.6275252294305	-29034.741678239985	16.284419436675655	16.284419436675655	219.96013454209185	2256.228059732198	0.4762977030287803	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04007396291465804	0.005	2.086657445218373	9.524213671838921E-5	3.970189132507678	-0.03261840670120123	-29034.741678239985	-156.9821239679015	-89.39210784011638
3200000	-29299.47331681925	-263.55285726945215	-29035.920459549798	21.562219495149925	21.562219495149925	275.5415236520115	1405.2013784413327	0.351870881224168	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.250901382926456	0.005	1.052971457962021	8.185855250469086E-5	4.788873226998718	-0.022797550857560633	-29035.920459549798	-156.9821239679015	-92.12978009050099
3600000	-29294.935130636462	-245.83846720375487	-29049.09666343271	9.524166572849147	9.524166572849147	156.06556180344137	259632.88934620543	1.410666125718739	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6113949721396723	0.005	0.4296905213494318	1.4062756175527952E-4	4.236163579394088	-0.028549197287371757	-29049.09666343271	-156.9821239679015	-71.92317353204285
