# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 10 13:04:28 AEDT 2019 [seed=1575943467057]
# -overwrite ebola_2018Public_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-50684.491010518475	-92.48392195680869	-50592.007088561666	3.5848771009324474	2015.1210917935575	15.53719517451235	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005000000000000001	-50592.007088561666	0.0	-79.97098649183846
10000	-31836.07758596735	-6.055118621077928	-31830.02246734627	2.618233950274273	2016.0877349442158	9.032205816303593	0.3000679750566572	-0.2636981086933117	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014780507081828284	0.005	0.005000000000000002	-31830.02246734627	0.0	5.75106896742902
20000	-31628.28577779956	24.241669532179884	-31652.52744733174	2.5746227643555546	2016.1313461301345	8.113972296841395	0.14754532743852708	-1.2809086343004517	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08805963879711087	0.005	0.004999999999999999	-31652.52744733174	0.0	37.21162438449806
30000	-31557.368644986567	50.75380960105247	-31608.12245458762	2.5792742848723345	2016.1266946096177	7.6424403606524045	0.14630420199614605	-1.01489525950003	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08640120426455916	0.005	0.0049999999999999975	-31608.12245458762	0.0	63.45443419709386
40000	-31542.849583979812	61.70566399141563	-31604.555247971228	2.4332777310843916	2016.2726911634056	7.044040503909684	0.11616863581432726	-1.3882619156065963	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05037593821507665	0.005	0.0049999999999999975	-31604.555247971228	0.0	74.70760441010897
50000	-31545.542609348766	48.408769389502545	-31593.951378738268	2.509740870433352	2016.1962280240566	7.619440528218898	0.15572320134278603	-0.991528685338704	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.043605525575878504	0.005	0.005	-31593.951378738268	0.0	61.00043614819525
60000	-31552.264315625733	40.46506303447061	-31592.729378660202	2.496443618508292	2016.2095252759818	7.608578760707662	0.15516673983610954	-0.7717434195779349	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0035885792531616654	0.005	0.005000000000000002	-31592.729378660202	0.0	52.7569106291925
70000	-31557.883256765723	40.967252466343375	-31598.850509232067	2.5556757165190342	2016.150293177971	7.771954263943015	0.17837057150603317	-0.4933521968778487	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.00862168192388088	0.005	0.005000000000000002	-31598.850509232067	0.0	52.99077527574493
80000	-31569.73816047994	31.82920163470699	-31601.56736211465	2.353979175403721	2016.3519897190863	7.255584922826566	0.19166543861561972	-0.42586194155694534	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06053804755285253	0.005	0.004999999999999998	-31601.56736211465	0.0	43.88906705299426
90000	-31534.509182472102	37.84040577214083	-31572.349588244244	2.628923702387762	2016.0770451921023	7.954664046692244	0.15495883761627932	-1.2000071731733835	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.11513132707593364	0.005	0.005000000000000001	-31572.349588244244	0.0	50.78360261402468
