# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Dec 11 11:50:02 AEDT 2019 [seed=1576025400051]
# -overwrite ebola_2018Public_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-77827.1969010027	-924.5067526483663	-76902.69014835433	2.2094929840278925	2016.496475910462	12.725314640166157	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	7.137993851884252E-4	4.2719896720456845	-0.026579974258939532	-76902.69014835433	-836.3780941631686	-75.71433530889551
20000	-33197.827949673745	-1022.6603067570634	-32175.167642916684	7.6070703061834575	2011.0988985883066	36.49939494306111	2.8643996713313857	0.15682161271991957	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012338463983741277	0.005	0.04887236230031131	0.001166978432802174	4.960808001748244	-0.04004325059893537	-32175.167642916684	-836.3780941631686	-175.53975514600762
40000	-32644.167364684272	-945.0794975487408	-31699.08786713553	5.903530541965338	2012.8024383525246	23.88505705900599	1.3245937274957524	-0.17383090527393685	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04054806511303344	0.005	0.04314016165800984	0.0015557757275015903	4.9254367943357265	0.005158674875996738	-31699.08786713553	-836.3780941631686	-97.90272944285884
60000	-32591.78570730448	-917.4676661457979	-31674.318041158684	3.474284586923405	2015.2316843075666	16.282873109223665	0.7773274524978879	-0.17666178265342403	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06490723421692682	0.005	0.02676021208641018	0.0025227458040153732	3.513737305849183	0.02892628222996374	-31674.318041158684	-836.3780941631686	-70.28849414570611
80000	-32534.206229508556	-903.3134689526897	-31630.892760555867	3.602285653582497	2015.1036832409077	15.80091550881513	0.6058711026609367	-0.4616682157826657	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0122946952394207	0.005	0.026603450556445668	0.002588456867369139	3.4421287027364165	-0.008735215068083214	-31630.892760555867	-836.3780941631686	-55.954987596577155
100000	-32399.19833624441	-887.4837756227005	-31511.714560621713	2.7966405856040573	2015.909328308886	12.867165202706683	0.5123724807861672	-0.03845448420156483	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013144238639523784	0.005	0.02282925506362337	0.002730568393991163	3.121099889136171	-0.048537002994715896	-31511.714560621713	-836.3780941631686	-40.55813243283346
120000	-32360.282265458914	-853.156851188522	-31507.12541427039	3.0895982231539088	2015.6163706713362	12.292050846900523	0.2890629963822257	-0.9292698413416651	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.018601889038192036	0.005	0.015399617744165765	0.003061936429519363	2.4040076229232725	-0.06736595050054893	-31507.12541427039	-836.3780941631686	-5.3517684857706875
140000	-32339.662774654043	-836.218936639347	-31503.443838014697	2.911215029417872	2015.7947538650722	11.45762377901864	0.29718563973495155	-0.7825082960105452	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05696691066357084	0.005	0.013983779584152057	0.003172612643727146	1.5416066596764655	0.014396780454370778	-31503.443838014697	-836.3780941631686	11.511867128070204
160000	-32325.85486214441	-830.2886350719857	-31495.566227072424	2.5231470975016186	2016.1828217969885	10.5771943744623	0.26912909251050227	-0.9492108695425239	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016596313383342606	0.005	0.014527721183347098	0.0035378118436026535	1.5495346321067227	-0.05468203688192981	-31495.566227072424	-836.3780941631686	17.529761618635213
180000	-32334.655010739618	-841.1002021623506	-31493.554808577268	3.4003216700004213	2015.3056472244896	12.901345944887243	0.24837744592556238	-1.446392452133378	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06497557236001056	0.005	0.01791698695165321	0.002880673907850441	1.6139174254155642	-0.0846468112901271	-31493.554808577268	-836.3780941631686	7.322302218603018
