# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:50:01 AEDT 2019 [seed=1575866998546]
# -overwrite ebola_liberia_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-48154.248012070595	-3280.5651957323057	-44873.68281633829	3.232970503015159	2012.6732926327547	26.056960879911223	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0012443725804524156	3.622578411861668	-0.0134084553696365	-44873.68281633829	-3020.873918056336	-247.2769544996674
5000	-42296.413768307844	-3642.5748702359924	-38653.83889807185	3.2683316316777886	2012.6379315040922	56.719019713474616	4.620234118346877	0.1327234346061401	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05417236186595356	0.005	0.01695447669753448	0.0015605101200625324	1.7554704963039272	-0.012926589316711614	-38653.83889807185	-3020.873918056336	-610.9946612125823
10000	-41548.00895291524	-3680.7183880588555	-37867.29056485638	3.9637251707375536	2011.9425379650324	60.26113223358429	5.281798331170165	0.04208058955199778	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0217742399879514	0.005	0.02268778805442621	0.0012170163198136359	2.1561225274792144	-0.05210934510050184	-37867.29056485638	-3020.873918056336	-649.2764115745427
15000	-41309.35222205194	-3693.0162293550056	-37616.33599269693	3.6821730235549617	2012.224090112215	62.2885114699296	6.85270192235487	0.11141235117282422	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.00654079418289774	0.005	0.021676020082717396	0.001195923749500105	2.104806834054344	-0.0033872507553354926	-37616.33599269693	-3020.873918056336	-661.5384075955614
20000	-41126.65634087924	-3696.0162044068893	-37430.64013647236	3.839204914574665	2012.0670582211953	62.68288458294484	9.499639492392307	0.3764139842794416	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.020122014514887744	0.005	0.02143437936665792	0.001094793714523703	1.938644212363768	-0.034602748788687666	-37430.64013647236	-3020.873918056336	-664.246917026447
25000	-40888.904174590294	-3720.985614018052	-37167.918560572245	3.696335554239659	2012.2099275815303	66.25992997148892	9.594824284083096	0.3657509815049733	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025670712974548114	0.005	0.026472986926022	0.0010358862992317125	2.186001531799403	0.04971885209246741	-37167.918560572245	-3020.873918056336	-689.2007754689388
30000	-40658.2809197252	-3712.740267299562	-36945.54065242564	4.137930052794228	2011.7683330829757	64.2618937577272	7.304325677661355	0.11762597329630675	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.018920061592384407	0.005	0.027225844039983436	9.954970662953847E-4	2.249019590312186	-0.02386101489841418	-36945.54065242564	-3020.873918056336	-681.214819395066
35000	-40526.96519395097	-3705.8581495566614	-36821.10704439431	5.9799649643745685	2009.9262981713953	67.2799021989828	6.732056492710457	0.10295915488605822	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05498510904651032	0.005	0.028544670069248452	0.001010239355155533	2.125345949563979	0.03227115529058655	-36821.10704439431	-3020.873918056336	-674.2712876202716
40000	-40274.20817589134	-3689.3768534430774	-36584.83132244826	5.165175385831378	2010.7410877499385	64.13004812128575	7.581219074520256	0.19454737802914335	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.035950017967904355	0.005	0.028292067184421406	9.927922516330331E-4	2.1703972306848622	0.03643236430666658	-36584.83132244826	-3020.873918056336	-657.7372227827302
45000	-40110.364430243244	-3684.9001782646355	-36425.46425197861	5.911390791173382	2009.9948723445966	70.63127047722304	6.443258598077097	0.14238903270978054	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02788591093000227	0.005	0.02527386679391945	9.166420592663265E-4	2.0683952453515317	0.026649920445543155	-36425.46425197861	-3020.873918056336	-653.3379001444597
