# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 03:14:16 AEDT 2019 [seed=1576858453092]
# -overwrite ebola_liberia_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-43222.05605450599	-236.2292443355605	-42985.82681017043	2.295695192627073	2.295695192627073	11.539252556428398	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005000000000000006	-42985.82681017043	0.0	-223.71630887059027
10000	-38382.843491080894	-465.6104603421415	-37917.23303073875	0.2880981463979109	0.2880981463979109	11.461483563174214	4.587495700005604	16.55996170870034	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04187536725685159	0.005	0.005000000000000002	-37917.23303073875	0.0	-437.45377655900023
20000	-37397.935268022244	-466.1562621289464	-36931.779005893295	0.21045608157509102	0.21045608157509102	11.691948777284521	7.268887289189453	27.970694491486295	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016179192966885435	0.005	0.004999999999999991	-36931.779005893295	0.0	-426.6402110976832
30000	-36700.62902507634	-469.372527258609	-36231.25649781773	0.2070148941085227	0.2070148941085227	12.338062442515561	11.695089939131208	33.59440255940998	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02208710833109907	0.005	0.0050000000000000105	-36231.25649781773	0.0	-424.2209080666672
40000	-36153.84536487096	-470.809941621635	-35683.03542324933	0.20260744869975864	0.20260744869975864	12.35158789984664	10.8703181041974	34.19254197601282	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03175921403229108	0.005	0.005000000000000001	-35683.03542324933	0.0	-425.04084704940635
50000	-35443.580577622655	-476.30114276062085	-34967.27943486204	0.23323272212190177	0.23323272212190177	12.277903501320312	9.605874390082862	29.536919897487405	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008626205614757371	0.005	0.005000000000000002	-34967.27943486204	0.0	-435.2339489281898
60000	-34970.560014483366	-457.6821403327276	-34512.87787415064	0.23868196370033987	0.23868196370033987	11.281718897116313	7.4487440560794616	27.898110576708508	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014185882734930903	0.005	0.0049999999999999975	-34512.87787415064	0.0	-418.2426580381385
70000	-34550.747234947055	-438.7418636333774	-34112.00537131368	0.17999768900292135	0.17999768900292135	10.375229412462662	6.797931844343983	32.44705894338582	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06747459091530243	0.005	0.004999999999999996	-34112.00537131368	0.0	-394.64686206387233
80000	-34341.388127398444	-429.7995499428076	-33911.58857745564	0.16667379720813144	0.16667379720813144	9.919517718673287	7.420378765083293	34.172833351602954	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005210970081722773	0.005	0.005000000000000003	-33911.58857745564	0.0	-384.1032949822833
90000	-34181.64107138232	-423.7736944997026	-33757.86737688262	0.19145094018851166	0.19145094018851166	9.537257516689419	6.317432824611603	34.80181191064998	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.006036944846596812	0.005	0.004999999999999993	-33757.86737688262	0.0	-377.44682006006093
100000	-33937.729081466205	-408.5799604688647	-33529.14912099734	0.15845294171110255	0.15845294171110255	8.9199778021399	6.723586140056411	42.26018812321254	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009775314740843529	0.005	0.004999999999999989	-33529.14912099734	0.0	-354.7872290153389
110000	-33763.90695478309	-402.82467947245067	-33361.08227531064	0.13878321679206657	0.13878321679206657	8.727207949882375	6.868898256356217	43.942300622018315	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.045697313957838125	0.005	0.005000000000000003	-33361.08227531064	0.0	-347.2779900685639
120000	-33702.222469208435	-404.29001923887574	-33297.93244996956	0.14060761349840048	0.14060761349840048	8.564128264848057	9.560863649559767	54.05124012773786	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.019526051369476216	0.005	0.005000000000000005	-33297.93244996956	0.0	-338.6867059347922
130000	-33622.38787722685	-393.427849316425	-33228.96002791043	0.15820532602454596	0.15820532602454596	8.285574808547464	6.800796822308292	45.02458283656043	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004449685385252532	0.005	0.0050000000000000044	-33228.96002791043	0.0	-336.8813736361556
140000	-33570.09722584584	-389.8533930151341	-33180.24383283071	0.1373427270653163	0.1373427270653163	7.971535371185569	6.3925727088609925	50.37074285781746	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015813792147912748	0.005	0.005000000000000005	-33180.24383283071	0.0	-327.93803318232347
150000	-33412.061622698486	-368.83954958300507	-33043.22207311548	0.13096551157836422	0.13096551157836422	7.299306102349928	4.9361002187602905	44.9364142412446	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.027849022928955545	0.005	0.004999999999999999	-33043.22207311548	0.0	-312.33446246993014
160000	-33385.38458507656	-369.71946327158844	-33015.66512180497	0.15422304970297687	0.15422304970297687	7.314282697688427	4.670752636971837	42.24675415825597	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024695081134306643	0.005	0.005000000000000009	-33015.66512180497	0.0	-315.91034677856726
170000	-33328.959940035034	-364.9640876860429	-32963.99585234899	0.15826124782821988	0.15826124782821988	7.1121049925121165	4.546226963872911	38.78588436760843	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.011002734753894622	0.005	0.005000000000000004	-32963.99585234899	0.0	-314.6432269216868
180000	-33309.65654141623	-365.17193480685756	-32944.484606609374	0.15718791922258332	0.15718791922258332	7.180543006763367	4.413088706947728	42.3420008129903	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03897563319550129	0.005	0.0049999999999999975	-32944.484606609374	0.0	-311.23901313161895
190000	-33265.97410780286	-363.9122278329596	-32902.0618799699	0.13007772995808492	0.13007772995808492	7.152164287874833	4.364813902301853	44.901304934104154	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0330142439978532	0.005	0.005000000000000003	-32902.0618799699	0.0	-307.4319252977505
200000	-33237.8406422444	-362.3178215510466	-32875.52282069335	0.12905064036640063	0.12905064036640063	7.072451487644323	4.820482221584335	46.97918617481009	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03393600783991439	0.005	0.004999999999999999	-32875.52282069335	0.0	-303.75778969076424
210000	-33163.4982406904	-363.02674231900136	-32800.4714983714	0.1576773736307532	0.1576773736307532	7.034014961989598	4.206102758465235	45.52629332138699	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008578741375937358	0.005	0.004999999999999996	-32800.4714983714	0.0	-305.97032398886466
220000	-33110.24376418474	-352.83837848326544	-32757.40538570148	0.15455936922951627	0.15455936922951627	6.782219006218698	4.166120862830251	43.504543964415554	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03904852886574107	0.005	0.005000000000000001	-32757.40538570148	0.0	-297.74277033493956
230000	-33126.32164201865	-366.84418136950484	-32759.47746064915	0.1508688963214751	0.1508688963214751	7.157524502446589	3.852299340139817	42.87137024610969	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06153730156411722	0.005	0.0050000000000000105	-32759.47746064915	0.0	-312.33677253230326
240000	-33113.25516707128	-363.8704866892429	-32749.384680382038	0.1666345102605301	0.1666345102605301	6.995386583147453	3.3358633795817574	39.147122555667636	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.058575918912777775	0.005	0.004999999999999998	-32749.384680382038	0.0	-313.0932534721457
250000	-32996.124907388155	-352.8436693878636	-32643.281238000294	0.14462984904037873	0.14462984904037873	6.808420049078153	3.9917607620274	42.037141442526334	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.053727438388986845	0.005	0.005000000000000005	-32643.281238000294	0.0	-299.1861076859814
260000	-32982.396265483214	-330.019694599908	-32652.376570883305	0.12369584937368447	0.12369584937368447	6.172346924847139	2.824104221192942	38.01195862277691	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0844502993769606	0.005	0.0050000000000000044	-32652.376570883305	0.0	-280.32588167236474
270000	-32964.867084766556	-335.62866701551076	-32629.238417751047	0.1782452155146207	0.1782452155146207	6.248729189701269	2.9958962873046313	35.95894582471373	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022734375182447763	0.005	0.0050000000000000044	-32629.238417751047	0.0	-288.111297016499
280000	-32911.814113811946	-333.640472665787	-32578.17364114616	0.17434570077579492	0.17434570077579492	6.34602164402603	2.791909167423512	33.484812678671474	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04118611374375264	0.005	0.0049999999999999975	-32578.17364114616	0.0	-288.56033437556613
290000	-32905.52707253182	-334.97309152669675	-32570.55398100512	0.1956209514457818	0.1956209514457818	6.284187394901286	2.788154822732445	31.63163715146645	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07032997146641501	0.005	0.005000000000000004	-32570.55398100512	0.0	-291.687841085779
300000	-32901.43954805301	-329.3537840786773	-32572.085763974334	0.17238053295979874	0.17238053295979874	6.172156761819637	2.877966551367067	34.552338090845225	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08483051812471593	0.005	0.005000000000000001	-32572.085763974334	0.0	-283.1188307069469
310000	-32925.96862986469	-348.7522767170834	-32577.21635314761	0.13906781752546993	0.13906781752546993	6.637858512630006	3.67928938979692	42.938526913907516	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05837320345261832	0.005	0.005000000000000006	-32577.21635314761	0.0	-294.18404113840654
320000	-32908.68752598181	-341.9752467054827	-32566.71227927633	0.17112654727924725	0.17112654727924725	6.4716717606631775	3.2047147508759726	38.74030929703115	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10764997135890116	0.005	0.005	-32566.71227927633	0.0	-291.50667995361596
330000	-32925.10606877705	-350.1976393664159	-32574.908429410636	0.17365336503468298	0.17365336503468298	6.70830991602086	3.3225788711614612	34.29727132861567	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06571829165531247	0.005	0.004999999999999998	-32574.908429410636	0.0	-304.25597276373065
340000	-32928.778307187815	-357.8901540513083	-32570.888153136508	0.1781556628109407	0.1781556628109407	6.982440224079761	2.8220177351939526	31.923039974464313	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015803562253917085	0.005	0.005000000000000006	-32570.888153136508	0.0	-314.42255326718856
350000	-32943.934119173886	-350.94237372487885	-32592.991745449006	0.1987924373394811	0.1987924373394811	6.827792840012823	2.8132617562924067	26.310091863224876	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1501845853969396	0.005	0.005000000000000003	-32592.991745449006	0.0	-312.8189590932723
360000	-32916.87312736635	-355.00064305027746	-32561.87248431607	0.17914362638177384	0.17914362638177384	6.982366337648623	3.3114281047891194	33.719367877991175	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024019691414633518	0.005	0.005000000000000001	-32561.87248431607	0.0	-309.7202772102057
370000	-32920.828983375235	-348.16455436995557	-32572.66442900528	0.15238554240967284	0.15238554240967284	6.789115812172143	3.0328621969310885	33.15891208390368	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05403948161287993	0.005	0.004999999999999999	-32572.66442900528	0.0	-303.38460752923396
380000	-32871.17163057017	-340.8045459171288	-32530.367084653044	0.14525304540947817	0.14525304540947817	6.526458104527125	3.337826747415667	37.9634556226533	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07233321504515966	0.005	0.005000000000000002	-32530.367084653044	0.0	-291.18346502114747
390000	-32864.158506111344	-343.0640271432288	-32521.094478968116	0.16475790856613698	0.16475790856613698	6.633680763607881	2.7263859351692386	31.151399815504174	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04522436785951996	0.005	0.005000000000000004	-32521.094478968116	0.0	-300.30922586317604
400000	-32867.07991471334	-342.2920610806252	-32524.787853632708	0.13980997054735664	0.13980997054735664	6.560572865666016	3.3491236171623906	35.42666393651235	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033131303148745996	0.005	0.005000000000000006	-32524.787853632708	0.0	-295.286175581609
410000	-32874.0107791192	-344.3097394524193	-32529.701039666776	0.1369739777762201	0.1369739777762201	6.60660456817571	3.138764568048364	36.03724506045216	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009058159457903897	0.005	0.005	-32529.701039666776	0.0	-296.7414212204354
420000	-32888.671529595216	-346.08640556316897	-32542.585124032048	0.150548709953974	0.150548709953974	6.58620025981569	3.645158319208571	43.296753608602764	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03335663981847266	0.005	0.005000000000000005	-32542.585124032048	0.0	-291.20997675837583
430000	-32888.171322349415	-346.0776748933367	-32542.09364745608	0.1605372254139127	0.1605372254139127	6.573917946258257	3.6784625536911566	43.198365265085414	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0692004909857734	0.005	0.005000000000000007	-32542.09364745608	0.0	-291.22794639668393
440000	-32883.5320365689	-335.7743809859063	-32547.75765558299	0.15659467121283518	0.15659467121283518	6.357263315796946	3.14773624231172	35.76403466428189	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030221702163950637	0.005	0.005	-32547.75765558299	0.0	-288.43694597496386
450000	-32866.741521181946	-339.26045237109633	-32527.481068810852	0.16278430571520142	0.16278430571520142	6.45721669254323	3.3509389240487906	39.375074684332105	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0075509878674438705	0.005	0.0050000000000000044	-32527.481068810852	0.0	-288.3573167366699
460000	-32890.845433968774	-346.7245338794445	-32544.120900089332	0.14495110507886244	0.14495110507886244	6.622931223933122	3.670329871765177	43.18714521067283	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009752574998450655	0.005	0.005000000000000003	-32544.120900089332	0.0	-292.0049213505058
470000	-32874.59939132722	-343.85040532224707	-32530.74898600497	0.16202582945541422	0.16202582945541422	6.545511013236859	3.1018251195389133	34.871100962637236	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007583883246201197	0.005	0.004999999999999997	-32530.74898600497	0.0	-297.45118010989603
480000	-32879.28157631674	-347.96024493009486	-32531.321331386644	0.17756087350010413	0.17756087350010413	6.734194416899878	3.0959601375402253	32.66454423485255	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0066959224585653255	0.005	0.005000000000000003	-32531.321331386644	0.0	-303.7693524257536
