# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 03:14:15 AEDT 2019 [seed=1576858452220]
# -overwrite ebola_liberia_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-50606.3146055455	-3307.5938144239835	-47298.720791121516	0.7163890884004323	0.7163890884004323	10.039626415024474	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.003183510600411489	8.58800537198716	0.01921789429713034	-47298.720791121516	-3020.873918056336	-274.3055731913455
10000	-41897.706107370184	-3672.093251074907	-38225.61285629528	1.6409364875333416	1.6409364875333416	34.342196131070835	5.891442898519	0.9965574437696918	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02325540778480478	0.005	0.010271215628351066	0.0019326136187502417	1.6684887743592212	0.09863612856348543	-38225.61285629528	-3020.873918056336	-639.7310790216153
20000	-41056.33594563053	-3672.756826063428	-37383.579119567104	1.4566793058400545	1.4566793058400545	33.2105218210563	5.873069720158352	1.0455897565707355	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04257375782189393	0.005	0.01167510622953143	0.001959368130585526	1.794733830561699	0.05067214602554739	-37383.579119567104	-3020.873918056336	-640.3027735091893
30000	-40628.86619405743	-3689.1161193803327	-36939.7500746771	1.4146127964337838	1.4146127964337838	33.655874324216974	6.390054705792092	1.366137580851726	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03452397223817309	0.005	0.012811212695265655	0.002033578565247814	1.9553872783493151	0.017497818048838234	-36939.7500746771	-3020.873918056336	-656.3542050837336
40000	-40178.41626688695	-3696.506369239726	-36481.90989764722	1.4090538544956293	1.4090538544956293	33.77801384624022	7.2581975978741164	2.126091425796101	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.021540620952831	0.005	0.014784066784289215	0.0017912271980399593	2.5034775724112874	-0.019627244048056366	-36481.90989764722	-3020.873918056336	-663.004540557057
50000	-39736.724273305175	-3682.942208261035	-36053.78206504414	1.2492851755409033	1.2492851755409033	30.764993423554778	6.775033253086539	2.5006916422824093	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016423027343598517	0.005	0.016711633203588212	0.0019310914430657237	2.50290638340201	0.0032810237904717	-36053.78206504414	-3020.873918056336	-649.0702366814838
60000	-39494.90232674418	-3683.659970739395	-35811.24235600478	1.3574311434724267	1.3574311434724267	31.043786514822504	6.815017896566792	3.0000617557948024	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009377183432462511	0.005	0.01615996919320028	0.0018682551393223992	2.4697428941842117	-0.01831420122921175	-35811.24235600478	-3020.873918056336	-649.3043753263381
70000	-39176.25254475894	-3675.709744777563	-35500.54279998138	0.9738007342581854	0.9738007342581854	28.661561309239318	7.774873579023343	4.118833385081587	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.031985944195659075	0.005	0.01705568330829101	0.0019603556602893757	1.9945020803361642	-0.049622631038573395	-35500.54279998138	-3020.873918056336	-640.1874634727916
80000	-38871.27326377541	-3674.075667114914	-35197.197596660495	0.835903964380169	0.835903964380169	28.080504933757293	8.143192851695606	4.463972707955105	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0032666806232668336	0.005	0.019104196505597255	0.0018699082437731618	2.182988931162178	-0.008840674385124961	-35197.197596660495	-3020.873918056336	-638.2595357916283
90000	-38635.720668659924	-3666.558414148203	-34969.16225451172	0.8112789447853067	0.8112789447853067	26.915426333475803	8.168092085230578	5.1699263994093965	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007542414353136513	0.005	0.019222282837365753	0.0018868974160056718	1.9755699076577522	-0.01434533580676179	-34969.16225451172	-3020.873918056336	-630.0274231580164
100000	-38529.11232113609	-3652.864377970953	-34876.24794316514	0.6947604440925423	0.6947604440925423	24.800231083469967	8.609952497710173	7.36388072529418	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.034156563407854515	0.005	0.020621638248779262	0.0019384158596048805	2.0619765191306225	0.02260066547075637	-34876.24794316514	-3020.873918056336	-614.0820018719335
110000	-38257.56149554552	-3635.9182601509146	-34621.6432353946	0.5152800125224173	0.5152800125224173	22.845765832121103	9.304843308624472	8.667550564457956	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.018616410624959008	0.005	0.01870809655813595	0.0020172364294879655	2.006375776557147	0.03786539947500226	-34621.6432353946	-3020.873918056336	-595.8690281944611
120000	-38143.917857629	-3639.975449966647	-34503.942407662355	0.5081220745133134	0.5081220745133134	23.32635496715067	8.870375540262117	7.244467161459454	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.037983735735492234	0.005	0.018022816445420052	0.0018987054567446728	2.02520884986731	-0.005083665387080112	-34503.942407662355	-3020.873918056336	-601.3126269479865
130000	-37998.25678117081	-3631.8104223920764	-34366.44635877873	0.5528789729653445	0.5528789729653445	22.511328895881142	9.223932539753594	9.333478824604367	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.031466396583084436	0.005	0.014032778633361394	0.002150598627803604	1.7568026189999584	0.0385802472568314	-34366.44635877873	-3020.873918056336	-591.0835889664421
140000	-37898.9948488247	-3629.680354609702	-34269.314494215	0.5131225231620332	0.5131225231620332	21.974355847759487	9.299454558484795	10.012013288407424	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.054587132138394924	0.005	0.014403379568301488	0.0021141769946061584	1.7651891668002608	0.0352689989318231	-34269.314494215	-3020.873918056336	-588.2276326911293
150000	-37710.420389303305	-3607.8356805576723	-34102.584708745635	0.39843187684916165	0.39843187684916165	19.94056930993126	9.922919746825672	12.182055733588312	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.040192139306225054	0.005	0.014918279971180878	0.002227249919418857	1.837725426102751	-0.0026277619064409576	-34102.584708745635	-3020.873918056336	-564.2401552437224
160000	-37559.76909791115	-3623.6187078293165	-33936.150390081835	0.4940440435287099	0.4940440435287099	21.405573000924647	12.152999727256516	12.906053667652081	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012583160924466052	0.005	0.019386304801018512	0.0020266411365676197	1.6788957786274992	-0.033259785620960526	-33936.150390081835	-3020.873918056336	-579.340976162777
170000	-37350.60506264364	-3614.6518038109502	-33735.95325883269	0.4178408580264663	0.4178408580264663	20.55000809629206	9.605010083528045	10.356522920897334	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.035710288950243446	0.005	0.016825471854576907	0.0020116522534398087	2.096666368869617	-0.011020748011667228	-33735.95325883269	-3020.873918056336	-572.8850566138497
180000	-37301.7534830477	-3613.648071465167	-33688.10541158253	0.42808045589295984	0.42808045589295984	20.4559744381793	9.466742657101738	11.870550177060712	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026075282656660457	0.005	0.01623003386972824	0.0020003327760413463	2.051749971639815	-0.01929861481383112	-33688.10541158253	-3020.873918056336	-570.3883547211191
190000	-37249.04352620829	-3611.319326869004	-33637.72419933929	0.37384857833307167	0.37384857833307167	20.236886874583885	10.885420215086123	13.34968210152715	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.038216095213799865	0.005	0.016786969067686522	0.0019421763725911672	1.6388932443818678	-0.02128401679776536	-33637.72419933929	-3020.873918056336	-566.5545115830058
