# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 12:55:30 AEDT 2019 [seed=1576720527055]
# -overwrite 2012-2014.5_large2014_max200_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-52924.83850819085	-1591.2058295994902	-51333.632678591355	2.0358400974598574	2012.4639497302	14.162800888219056	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.2323231211427815	1.2951469156006656	-0.09204220201835475	-51333.632678591355	-1458.9062599854074	-117.79063788914482
5000	-33211.659964003404	-1709.550554042891	-31502.10940996051	1.253127799671138	2013.2466620279888	21.4676572435434	2.3216155875565114	0.3342642312503534	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04001410969664026	0.006072593715048037	0.01731463789517055	0.0017222058916340926	2.092346823651132	-0.029398929181416917	-31502.10940996051	-1458.9062599854074	-243.14625047371567
10000	-32357.99456748382	-1700.847098419165	-30657.147469064654	1.1684822016928578	2013.3313076259672	19.043247962162663	2.8320267663604284	1.656355697860081	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014865346075899222	0.004340199633940717	0.010958944249266727	0.0014136381136542506	2.0145079550525757	-0.001843002686060218	-30657.147469064654	-1458.9062599854074	-233.34579104087325
15000	-31961.41856132004	-1701.8373481536269	-30259.581213166413	1.0260704418915516	2013.4737193857684	19.33014122832829	2.829940044713042	0.6212016015686368	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05472537713739144	0.003042520621320962	0.006215883535545781	0.00124032137151086	1.5760907269622122	0.026880447075218417	-30259.581213166413	-1458.9062599854074	-235.51463666722123
20000	-31691.535909252678	-1696.7938248103108	-29994.74208444237	0.9681877509207149	2013.5316020767393	18.565797630020143	3.266462002982244	1.8361893116701793	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026652379499915436	0.0026106724679551357	0.005619486344507698	0.0011036512872857106	1.6350303654149654	0.05903580489614164	-29994.74208444237	-1458.9062599854074	-229.38076654022706
25000	-31395.054348068068	-1687.0494605608408	-29708.004887507228	1.2911937591701204	2013.20859606849	19.446417974581177	2.165477157103953	0.3763853581829084	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033784495980215296	0.0017517998095218775	0.0030347217099813226	9.339625732269889E-4	1.367170008430936	-0.057696628401567154	-29708.004887507228	-1458.9062599854074	-221.326763276989
30000	-31095.582226091134	-1680.1249734214605	-29415.457252669672	1.6426559069045361	2012.8571339207554	17.773710419194742	2.0287495098644164	1.0283258639273491	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.042372347210623634	0.0013761000317613296	0.001830800360912735	9.193169324845193E-4	1.051060914487875	-0.020568616787964386	-29415.457252669672	-1458.9062599854074	-213.82210480014504
35000	-30738.13781733258	-1667.7946787368103	-29070.34313859577	1.1604569340449968	2013.339332893615	16.411432070044714	2.782211749895036	2.1422876517316247	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.051723843490123926	0.0012737922534024739	0.0017013190562141878	9.099830200563326E-4	1.102296588683321	-0.02615472661835757	-29070.34313859577	-1458.9062599854074	-200.36183624462987
40000	-30611.881918025938	-1661.4145314495147	-28950.467386576423	1.0615187154611225	2013.438271112199	16.097981453221866	2.048208815370273	1.4959932656716945	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04379488591549017	8.272080670431626E-4	6.506488974887625E-4	7.449806174508075E-4	0.6949094704456645	-0.04462247735927437	-28950.467386576423	-1458.9062599854074	-194.86079559377856
45000	-30493.44412528994	-1673.268622294725	-28820.17550299522	0.7850023289082932	2013.7147874987515	15.844248800041028	2.5637612201803486	1.52207000038353	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02448192899900578	0.0010506379202539385	0.0012184094372648764	8.284557704467593E-4	1.073931012229724	0.0368855266300859	-28820.17550299522	-1458.9062599854074	-206.59490506665765
