# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:31:50 AEDT 2019 [seed=1576855907024]
# -overwrite 2012-2014.5_sierra_leone_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-28932.424940018846	-640.5367319279699	-28291.888208090877	2.6573153468972874	2.6573153468972874	11.530665388508293	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.002896927420331793	4.755105838679413	-0.04790919961531857	-28291.888208090877	-562.9407856869485	-65.18162306471925
10000	-27565.553047887468	-683.4223722655623	-26882.130675621906	1.7773363680330074	1.7773363680330074	15.029104238216767	2.4733623133230718	0.08530881220198316	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07707864769641258	0.005	0.41466676392869417	1.6519866421712284E-4	2.348132812849691	-0.010608243042015955	-26882.130675621906	-562.9407856869485	-108.58378226930768
20000	-27482.20537846532	-661.1011513568268	-26821.104227108495	1.2103952829679843	1.2103952829679843	10.754785961413743	1.8893618330275992	1.1225703634299138	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07450600210671621	0.005	0.3676618062279633	2.3127827648129577E-4	2.5419945810705844	-0.07266777093974694	-26821.104227108495	-562.9407856869485	-85.37146581363056
30000	-27440.32358397897	-659.2031592983498	-26781.12042468062	1.42536570733892	1.42536570733892	9.66161592930827	1.5712329257637185	0.5774255247009432	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02174526141538349	0.005	0.6538266663973463	2.586041660324386E-4	4.237776990723066	-0.023748403922266004	-26781.12042468062	-562.9407856869485	-83.2656486760461
40000	-27406.10019669217	-652.2713782340744	-26753.828818458092	1.042095590460012	1.042095590460012	8.4605599858035	1.5301994182571905	1.7540474226745661	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05253312626433078	0.005	0.18906982880303014	4.0342946053152374E-4	3.7284651850963306	0.004316341268092328	-26753.828818458092	-562.9407856869485	-76.48994090721732
50000	-27359.74074837127	-613.2293354489482	-26746.511412922322	1.5609152427367767	1.5609152427367767	7.437086670741018	0.861750435688811	0.08605136548705339	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.12099975358628405	0.005	0.18788347220699608	2.2796433931653978E-4	3.366981003837683	-0.08469619364895777	-26746.511412922322	-562.9407856869485	-38.98252667891257
60000	-27323.164532796163	-590.4570682486527	-26732.70746454751	0.6360520026863449	0.6360520026863449	3.7472575811789497	0.5164212174592694	0.01173624962208919	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03793163366591664	0.005	0.09002943122367002	4.985789940463055E-4	3.4547238647978564	0.15735832985900775	-26732.70746454751	-562.9407856869485	-16.74427641056496
70000	-27284.6929417297	-570.459508163669	-26714.23343356603	0.48440920360404816	0.48440920360404816	2.9076255146938217	0.22815371048622982	-0.9312257104615795	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.42067883105317033	0.005	0.059597237192312746	6.259262922714274E-4	4.470402215870604	-0.050730289031455086	-26714.23343356603	-562.9407856869485	4.846968065263545
80000	-27260.265468630227	-547.5754077783814	-26712.690060851844	0.2869074745437082	0.2869074745437082	1.8662980779691425	0.25767422136601353	1.7948033282865956	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.186313637408949	0.005	0.06306630301259823	7.805447498439241E-4	2.9317780175672725	0.09740234748999556	-26712.690060851844	-562.9407856869485	28.136323173753734
90000	-27282.152063415535	-571.439239560732	-26710.712823854803	0.3325581392141512	0.3325581392141512	2.736225249840133	0.34953813404556355	-0.8173142675011262	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08594835566926379	0.005	0.040138575759921136	8.162676397372486E-4	1.6218123893404426	0.04697419044640231	-26710.712823854803	-562.9407856869485	3.025489504019416
