# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:34:12 AEDT 2019 [seed=1576856048317]
# -overwrite 2014.5-2015_large2014_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-58573.041380452756	-2615.9012035679643	-55957.14017688479	0.9514218647966436	0.9514218647966436	9.365946874611282	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0021327258955470014	3.691219154877889	-0.013476342033301338	-55957.14017688479	-2382.607898103206	-220.87898228845637
10000	-44756.83192202506	-2947.1774363981526	-41809.65448562691	1.5770503785878853	1.5770503785878853	36.57202582151847	8.864510751240925	1.901772250545847	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0662223621810137	0.005	0.007357825519912145	0.002346022348942536	1.3038939917498815	0.1126239253505981	-41809.65448562691	-2382.607898103206	-552.0988460220693
20000	-42464.73634483403	-2969.198474290311	-39495.537870543725	15.921347737977051	15.921347737977051	63.3539232702926	6.50256564388428	-0.08272560854571731	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.008834003916585911	0.005	0.009379591531895	0.0018553980659356572	1.542144548755258	0.1309824232556991	-39495.537870543725	-2382.607898103206	-576.0476655941718
30000	-41976.08983534166	-2952.941017143249	-39023.14881819842	16.591236526033164	16.591236526033164	62.981182217890535	6.143454178283994	0.0018178693586774486	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009486571625463545	0.005	0.010077095690299001	0.0016918339152517873	1.6239886953944151	0.1197652231917906	-39023.14881819842	-2382.607898103206	-559.8677221295187
40000	-41558.309068340284	-2939.7128638515996	-38618.596204488684	17.128884522655678	17.128884522655678	64.12440052807116	5.935752179041185	0.029483238433774872	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012382234910961942	0.005	0.012908152548040074	0.0015921799270616614	1.762342768022356	0.017389241301103635	-38618.596204488684	-2382.607898103206	-546.5976210486701
50000	-41268.426616745506	-2946.314566691785	-38322.11205005372	17.30198556362385	17.30198556362385	63.70061563168764	5.814143625408158	0.03715942093228275	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0122842718431944	0.005	0.015012476167508216	0.0015125550698101091	1.9401376414961273	0.09570771980985927	-38322.11205005372	-2382.607898103206	-553.1855318777193
60000	-40990.95854169274	-2938.1921413069344	-38052.7664003858	17.83286589490941	17.83286589490941	62.639327220022786	5.5027944114176055	0.06372063504339365	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.041892260825611836	0.005	0.014423612024249636	0.0015423871911576978	1.8581430755814752	0.10936396150982698	-38052.7664003858	-2382.607898103206	-544.9790990067148
70000	-40849.1283622902	-2936.0668016048867	-37913.06156068531	16.957909936353204	16.957909936353204	61.32127939144223	5.586349128891043	-0.09177621218650622	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03692998572263115	0.005	0.015708932482738993	0.0014858926321051147	1.9350170726300517	0.05518985590223438	-37913.06156068531	-2382.607898103206	-542.8317714808073
80000	-40721.38342774338	-2948.383606945459	-37772.99982079792	16.65201294188414	16.65201294188414	62.65172888180077	5.57689196348244	-0.037757939979987665	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0042425800701207965	0.005	0.016916470003145275	0.0014404908979843234	1.9151696453519624	0.219938864460502	-37772.99982079792	-2382.607898103206	-555.2643473869015
90000	-40467.012530406406	-2933.6768686939895	-37533.335661712415	14.783277862611136	14.783277862611136	58.23182990911315	5.260247414810041	0.021759210597364964	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024688284631228637	0.005	0.014939163832412837	0.001568113245110041	1.8188086458897574	0.13648939488217343	-37533.335661712415	-2382.607898103206	-540.53865154065
100000	-40257.537220824	-2932.2118909972087	-37325.325329826795	21.80406280402053	21.80406280402053	73.35169112047129	5.6553742482819755	-0.019497035776309568	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05076305217604599	0.005	0.01753360801140317	0.001248961840978809	1.9849723251789506	0.10364017019513176	-37325.325329826795	-2382.607898103206	-539.0159991997955
110000	-39979.67989163557	-2927.740285924743	-37051.939605710824	22.554484541848936	22.554484541848936	74.40662789590218	5.329737925257829	-0.022223340722071994	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013950279368433445	0.005	0.017972366655335498	0.0011837968939885214	1.9982502248817193	0.03092666145877565	-37051.939605710824	-2382.607898103206	-534.6139803484308
120000	-39785.01143513138	-2913.001918677614	-36872.00951645377	19.02412266379015	19.02412266379015	65.08334439824436	5.433094451896416	-0.029112089754925297	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030519888702907352	0.005	0.015917160127651323	0.001393986109359312	1.7408323218165827	0.2257580037543826	-36872.00951645377	-2382.607898103206	-519.8417497196177
130000	-39683.20393632328	-2920.3903734189234	-36762.81356290436	13.218703804497947	13.218703804497947	51.97174232785811	5.705276023473341	0.07847309615351272	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.025583487802867073	0.005	0.019472828814957138	0.0015360119568699618	1.976536632291356	0.002711918330264406	-36762.81356290436	-2382.607898103206	-527.180046528451
140000	-39597.429479339015	-2910.4019759604084	-36687.02750337861	13.032197970337553	13.032197970337553	48.94084024068986	4.790672951308496	0.08875309339661097	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.032472372683107216	0.005	0.015986731428313975	0.0017508856098689344	1.8742504869059469	0.020897215780486	-36687.02750337861	-2382.607898103206	-517.178058741123
150000	-39553.480693310994	-2909.1551486663034	-36644.32554464469	11.636621554147405	11.636621554147405	45.20090067678934	4.772101145135943	-0.12206451945521413	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028333359905139643	0.005	0.014734096833479687	0.0018472651708694547	1.7282959666343272	-0.008578295406078155	-36644.32554464469	-2382.607898103206	-515.9099561360177
160000	-39505.99324467239	-2901.4113451693875	-36604.581899503006	11.164647088412384	11.164647088412384	44.394544070189966	4.81450814513294	-0.06000424627788137	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04257882624946234	0.005	0.015581313169989971	0.0017917301363507556	1.8483739859972572	0.06610139313248445	-36604.581899503006	-2382.607898103206	-508.19717990651094
170000	-39462.634446009935	-2924.993153319843	-36537.641292690096	12.602131096801488	12.602131096801488	49.6669953622928	5.0635720871781436	0.1593124769441101	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013130227511107241	0.005	0.01789214821209804	0.0015731247231208318	1.9527747792258445	-0.059473574729200916	-36537.641292690096	-2382.607898103206	-531.7316420280113
180000	-39409.81902827578	-2904.7867233616844	-36505.03230491409	10.383625390008799	10.383625390008799	42.99408018020961	4.714959530365175	-0.07328650315924534	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033775271900820344	0.005	0.014816355655577228	0.0017391890717517208	1.8354713455779907	0.045671181798395584	-36505.03230491409	-2382.607898103206	-511.57917881865325
190000	-39337.920744507326	-2897.1293156451447	-36440.79142886218	11.890654864466448	11.890654864466448	44.97546864218971	5.081600081188175	0.08980122514989008	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.031452120655865605	0.005	0.013322228723411867	0.0018504264286448191	1.704756689745826	-0.04218759198736812	-36440.79142886218	-2382.607898103206	-503.914381397004
200000	-39082.974533126224	-2900.664306762586	-36182.31022636364	11.621196382245081	11.621196382245081	44.270525719133154	4.093418879408345	0.06911932020247447	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02154043554982327	0.005	0.011977429478646842	0.0019241377507625394	1.6915248360430064	-0.021070517237339156	-36182.31022636364	-2382.607898103206	-507.4939220691508
210000	-38976.86504937083	-2885.9132196151268	-36090.9518297557	11.928468872111452	11.928468872111452	43.26984586948444	4.391023845096585	-0.04624187511134292	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03660704173205083	0.005	0.012636035594599956	0.0018406185303785887	1.597334494230981	-0.016200083662877722	-36090.9518297557	-2382.607898103206	-492.7336003600211
220000	-38759.337421299184	-2892.731556054421	-35866.60586524476	7.466000299247907	7.466000299247907	35.51918621082146	4.537323051288618	0.24776076429137817	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04427838859898266	0.005	0.013110529805851666	0.002148629594540402	1.601033953664608	0.008662535162896121	-35866.60586524476	-2382.607898103206	-499.3336502707756
230000	-38725.543792952754	-2879.2524438153855	-35846.29134913737	7.103438813072555	7.103438813072555	33.88764736020025	4.4192032445175995	0.3314896061221795	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05141587435296338	0.005	0.01415778685264425	0.0022221410651501075	1.6250906900859028	-0.03756043304228983	-35846.29134913737	-2382.607898103206	-485.7533936284589
240000	-38752.850014949814	-2887.6873525776496	-35865.16266237217	9.066745587059053	9.066745587059053	39.52508780136483	4.612281592820215	0.1889045644888694	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02955863927585774	0.005	0.016180818457782083	0.001803205162807968	1.719010780853078	-0.0469057658473264	-35865.16266237217	-2382.607898103206	-494.3685308769114
250000	-38654.30916379625	-2892.669288480276	-35761.639875315974	9.788301542127254	9.788301542127254	40.285195647995955	4.32276126152682	0.07272213910776437	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06048676473937746	0.005	0.015683860945226197	0.0019240612008699267	1.736532074788447	0.15574788903492146	-35761.639875315974	-2382.607898103206	-499.4062867217329
260000	-38634.58948593457	-2886.6863758778204	-35747.90311005675	8.718803524205232	8.718803524205232	38.85953407179019	4.4265730278831485	0.04911476196727227	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07911276829119122	0.005	0.01507072450973797	0.001942257660895929	1.8091659605119104	-0.007064577272918447	-35747.90311005675	-2382.607898103206	-493.41156786050294
