# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 13:02:14 AEDT 2019 [seed=1576720930297]
# -overwrite 2014.5-2015_large2014_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-58732.48328911945	-2627.926241754099	-56104.55704736536	2.9812331602616666	2012.0183464950585	25.183927052642282	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0032273392804608963	8.060476431669471	-0.012723922375930397	-56104.55704736536	-2382.607898103206	-232.90402047459094
5000	-44615.36950289498	-3045.0923994690925	-41570.27710342589	3.803025377186131	2011.196554278134	81.8655681694979	9.813863720991865	0.008426499212472738	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04854309605151261	0.005	0.020069499335974864	0.0019177884417525656	3.4778261162968076	-0.022862799424017265	-41570.27710342589	-2382.607898103206	-651.9043688616235
10000	-43222.65956851046	-3044.3380540559897	-40178.321514454474	3.6786824690835767	2011.3208971862366	80.13218763385417	10.482605383203879	0.4132634050725916	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013640385756645305	0.005	0.024199607571206594	0.001446803575997768	4.170462122913997	-0.024148329539484942	-40178.321514454474	-2382.607898103206	-650.8025949511282
15000	-42763.282537219464	-3037.376711859215	-39725.90582536025	3.6816081072542413	2011.3179715480658	77.39461628143383	13.106902414228598	0.5512548659902006	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012230839255561718	0.005	0.02446382395770392	0.0015345454526909143	4.319730781741062	-0.027678496499811866	-39725.90582536025	-2382.607898103206	-643.7052614943084
20000	-42530.07184710797	-3054.6987000933686	-39475.3731470146	3.6557544631082646	2011.3438251922119	80.2696453341243	15.894201554826783	0.6763864131510695	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01694836520481931	0.005	0.022855944560466725	0.0014665116814654383	4.206688412597913	-0.023719272722747542	-39475.3731470146	-2382.607898103206	-660.897478894603
25000	-42321.76011721796	-3064.938666865684	-39256.821450352276	3.4015360014691502	2011.598043653851	81.05033060374383	17.120284739732018	0.6622200904491855	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04079989873529622	0.005	0.02840364780087343	0.001312588640732517	4.829752569887474	-0.026933148463374024	-39256.821450352276	-2382.607898103206	-671.087253552006
30000	-42228.771506337616	-3066.192103766334	-39162.57940257128	3.626485603487991	2011.3730940518321	80.27441882579461	18.167475588137243	1.0266614465363428	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.011375872259945961	0.005	0.029961700658105297	0.001393259720851524	5.039293517976222	-0.01998091323743494	-39162.57940257128	-2382.607898103206	-672.0304125190398
35000	-42065.4597274079	-3066.5759695721017	-38998.8837578358	3.5243478539974338	2011.4752318013227	78.7947645423054	20.473969899544556	0.8221494360268478	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03230277329840377	0.005	0.03043813510641401	0.0013599445574942247	5.038518883089239	-0.020832234191276954	-38998.8837578358	-2382.607898103206	-672.5754841649517
40000	-41956.77171296818	-3066.361763879921	-38890.40994908826	3.527886352582139	2011.471693302738	79.16864816134563	22.321999720143097	1.1069975908967007	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03290560462633217	0.005	0.030540484173166918	0.0013467824572245045	5.0853858684137085	-0.021294883521459536	-38890.40994908826	-2382.607898103206	-672.0748991277469
45000	-41843.56491674065	-3055.284165324774	-38788.28075141588	3.6841518561735938	2011.3154277991464	75.46789878735349	21.462070682770165	1.0668972555618395	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05864424081954555	0.005	0.033855210959042856	0.0013544199762636486	5.372185681500647	-0.03135843108072035	-38788.28075141588	-2382.607898103206	-660.9759880544811
50000	-41819.17253517888	-3069.8220666438356	-38749.35046853504	3.7450065482605153	2011.2545731070595	81.9150684783439	19.727254236272234	0.8871748278948068	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03871456281588285	0.005	0.03465840924683155	0.001257966312408637	5.44885711735152	-0.03376577149280696	-38749.35046853504	-2382.607898103206	-675.731078910518
55000	-41702.23416713273	-3085.461601362339	-38616.77256577039	3.8108290550058053	2011.1887506003143	85.1977856999397	22.17406722037785	1.0776518870130496	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022652890307669274	0.005	0.041735482401196254	0.0011255615979072035	5.896943838498937	-0.030332111227714835	-38616.77256577039	-2382.607898103206	-691.1910042273266
60000	-41577.05848653035	-3087.5350493135343	-38489.52343721682	4.03090058550998	2010.9686790698102	86.73781595174552	24.645689739372095	1.00531784379073	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04307717096772765	0.005	0.047219427622698366	0.001141760396718126	6.2793092638800605	-0.03130573002415241	-38489.52343721682	-2382.607898103206	-693.2794611085344
65000	-41436.97016641874	-3085.38703397639	-38351.58313244235	3.936883126340321	2011.0626965289798	84.33071710063369	27.653812958110592	1.3850309329748394	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05108058808589497	0.005	0.046565686957962975	0.001146465448945318	6.38145227249872	-0.020565795753213805	-38351.58313244235	-2382.607898103206	-690.7376569887314
