# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:39:29 AEDT 2019 [seed=1576856365173]
# -overwrite 2014.5-2015_sierra_leone_max200_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-48140.274123635674	-2608.0589642053747	-45532.2151594303	1.7109815574595255	1.7109815574595255	12.077786517296692	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0027460849216405783	7.985127192330501	-0.01075752700302418	-45532.2151594303	-2382.607898103206	-213.0367429258667
10000	-39504.58052745827	-3013.518788558178	-36491.06173890009	3.731024304337649	3.731024304337649	62.69114707040743	8.638038988539517	0.04075783833186408	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.042532916554691394	0.005	0.01905257972576403	9.597176875750236E-4	2.5282745203119545	0.00793439893840014	-36491.06173890009	-2382.607898103206	-620.3135094876618
20000	-38831.67545335521	-3016.167381514236	-35815.50807184097	3.4784335460797933	3.4784335460797933	61.153446232563155	9.364218985177354	0.4435575507331264	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06463699793179555	0.005	0.02306691059125522	9.015290440393361E-4	2.9632485674403855	-0.003955676816601482	-35815.50807184097	-2382.607898103206	-622.5030443141671
30000	-38249.473135765315	-3009.572160974661	-35239.90097479065	3.4639725764573734	3.4639725764573734	55.001147290478926	9.150810083516772	0.6503777933579462	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04160927001609761	0.005	0.02415745577233838	8.961914818126064E-4	3.171810304164905	-0.0038733638133766216	-35239.90097479065	-2382.607898103206	-615.743789486345
40000	-38026.20640405625	-3003.2107450333633	-35022.99565902288	2.368290408972531	2.368290408972531	49.01513845881998	9.310445046696962	1.2756699528080553	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.010835073330884924	0.005	0.026129568383684385	0.001018083723844084	3.4153574244402383	0.02574177897318885	-35022.99565902288	-2382.607898103206	-608.8127118447841
50000	-37805.742361823315	-3010.94555703114	-34794.796804792175	1.8839606291224065	1.8839606291224065	46.3759892914788	12.212803456417216	1.8448639540896015	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03584564923583386	0.005	0.032820138268358626	0.0010786589368499602	3.9217451989584204	0.01700202351211455	-34794.796804792175	-2382.607898103206	-615.9082079562314
60000	-37585.84851773915	-3003.2399070971014	-34582.60861064205	1.3885283227033831	1.3885283227033831	43.02405690032264	12.581762813768684	2.578164619902381	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.047921271416980715	0.005	0.03723960759036144	0.0010727878665750612	4.378345928280245	0.012467977061013758	-34582.60861064205	-2382.607898103206	-607.4318440144575
70000	-37441.25020535469	-3011.216743797691	-34430.033461557	1.5006667396140658	1.5006667396140658	43.9139501967377	17.771451356356966	3.132183098580443	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.041397275424788105	0.005	0.03515254129343679	0.0010640775335283336	4.408935138472271	-0.01611648333045767	-34430.033461557	-2382.607898103206	-614.8739195303588
80000	-37287.63955821475	-3005.8275923835417	-34281.81196583121	1.2768952171023233	1.2768952171023233	42.59970025913771	15.989973440362157	3.63011824908447	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.035433497636314926	0.005	0.039539230327937984	0.001031754026509798	4.747128506998579	-0.015631498362061347	-34281.81196583121	-2382.607898103206	-608.9856182689582
90000	-37146.456347367435	-3012.2389624957714	-34134.21738487166	1.4413887250184885	1.4413887250184885	43.87286742200973	17.521390733870444	3.6582229583805965	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03214475316164484	0.005	0.042113178083974884	0.0010114987163091888	4.97283087373829	-0.010643970634174018	-34134.21738487166	-2382.607898103206	-615.3677240034
100000	-36952.95127109339	-2997.717572397909	-33955.23369869548	1.2214997109231676	1.2214997109231676	39.76457889031796	16.67265577115426	5.010863282004685	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03710668392338159	0.005	0.04088332767485987	0.0010467735716983217	4.695201362603522	-0.02002624634508411	-33955.23369869548	-2382.607898103206	-599.4874677589671
110000	-36883.054392876904	-3007.2315602005424	-33875.822832676364	1.015309702934585	1.015309702934585	41.75130394816186	21.556881006861307	5.4742913349264555	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0473791078179782	0.005	0.04992641371603324	9.811774993851313E-4	5.494629237777152	0.008062787163032025	-33875.822832676364	-2382.607898103206	-608.4903045605138
120000	-36764.949621678235	-3002.7494113617063	-33762.20021031653	0.9423144392918521	0.9423144392918521	41.10851534028588	19.24028495134187	4.539698040926315	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024160012014585754	0.005	0.04813543406107689	9.726843993254879E-4	5.589911199627057	0.033580023564361974	-33762.20021031653	-2382.607898103206	-604.9945833122099
130000	-36706.48089166081	-3009.672710309307	-33696.8081813515	1.2461499760976253	1.2461499760976253	42.23226884365968	27.012643408587408	5.45746977801719	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022846912273361487	0.005	0.05433399405353048	8.89634662477215E-4	5.83919984188668	0.025665247426948635	-33696.8081813515	-2382.607898103206	-610.9840633186402
140000	-36653.90130196517	-3008.094761695216	-33645.80654026995	1.0475789138987708	1.0475789138987708	42.4513043174586	23.14079837951244	4.962478272164878	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024313273151034123	0.005	0.05447809418890067	9.4312464242885E-4	5.788940506124083	-0.007856209005257592	-33645.80654026995	-2382.607898103206	-609.8977799066907
150000	-36596.57554595508	-3001.237610910662	-33595.337935044416	1.022312250265571	1.022312250265571	40.93835708134646	23.891386140514836	5.279058446232613	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014689969347280746	0.005	0.04592405437905404	0.0010242356984371632	5.513196738965475	-0.013689055080091272	-33595.337935044416	-2382.607898103206	-602.7689501692283
160000	-36542.967464494795	-3010.4778014157123	-33532.48966307908	1.142140905485696	1.142140905485696	42.97540804283237	21.332126969668025	5.172034267035331	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015583992169848184	0.005	0.049559847399458144	9.246054759418982E-4	5.729742969586365	-0.009844849752260134	-33532.48966307908	-2382.607898103206	-612.1034950213611
170000	-36480.7364893777	-3031.2833626237716	-33449.45312675393	0.9475313632444806	0.9475313632444806	47.604110906433384	28.88468847598326	5.0222929986267015	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024866378553866208	0.005	0.053795711374584304	7.878655781158713E-4	5.858964454161263	-0.007769178192978579	-33449.45312675393	-2382.607898103206	-633.0274496075206
180000	-36476.04282850107	-3040.1243556276745	-33435.918472873396	1.0050823564276745	1.0050823564276745	50.276344830189764	36.588905927634016	5.394814401000367	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02795453281899983	0.005	0.048492642997749955	7.599825811006598E-4	6.007669588509434	-0.00553230586554767	-33435.918472873396	-2382.607898103206	-641.5055770634754
190000	-36421.40435406414	-3042.2515418606295	-33379.152812203516	1.2115780002446406	1.2115780002446406	50.92655944184027	32.865648041499746	4.8749133488506295	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.037740690887707734	0.005	0.060381940754236224	7.590211834187726E-4	6.193407258490099	-0.007260076486559056	-33379.152812203516	-2382.607898103206	-644.0974613717523
200000	-36286.72795538692	-3055.1717530042315	-33231.55620238269	1.2859021753328383	1.2859021753328383	54.69149264932546	40.73055872392184	5.4239898692124235	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04753907168189847	0.005	0.06034473704799189	7.112546545532292E-4	6.4039786716537455	-0.005799082303439386	-33231.55620238269	-2382.607898103206	-656.4490321954157
210000	-36267.850320286125	-3045.633938161335	-33222.21638212479	1.052589892394741	1.052589892394741	52.536766690436366	40.25203364347919	5.322981876650981	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.058475410193891096	0.005	0.05085642337203633	7.362308564563721E-4	6.017317990352227	-0.003221877087904146	-33222.21638212479	-2382.607898103206	-647.018822394336
