# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 13:05:16 AEDT 2019 [seed=1576721112783]
# -overwrite 2015-2015.5_sierra_leone_max200_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-63790.27667560399	-201.83966422344884	-63588.43701138054	2.0205209294841975	2013.4792688981756	17.38446042205153	1.0	0.0	0.5	0.25	0.25	-63588.43701138054	0.0	-186.52918425460936
5000	-42749.21080550589	-527.4179610546742	-42221.79284445122	1.2551691726385261	2014.2446206550214	34.35198186347716	13.323894159660442	2.14381496939081	0.0423079997446299	0.0035856633543388363	0.0035856633543388393	-42221.79284445122	0.0	-517.564667546024
10000	-40574.06338827842	-614.1281279368042	-39959.93526034161	1.2389385579086707	2014.2608512697514	48.05754614153913	100.37835956664586	4.983876647925318	0.040071857270502796	0.001875406610187289	0.00187540661018729	-39959.93526034161	0.0	-601.9633504206948
15000	-39291.76175389938	-636.9811408827882	-38654.78061301659	1.5058660706918081	2013.9939237569681	53.323483443486566	131.34591515813426	5.15747200334733	0.03911949796340545	0.00151822567873557	0.001518225678735569	-38654.78061301659	0.0	-624.8111638179671
20000	-37708.028631953304	-651.9491049361192	-37056.07952701719	1.5200695251895415	2013.9797203024705	56.8651424538143	154.53939610692578	5.101014779326622	0.018049395752778672	0.0011909942792859367	0.0011909942792859356	-37056.07952701719	0.0	-640.04425417142
25000	-36747.56880614607	-663.6374592531895	-36083.93134689288	1.5197019282786894	2013.9800878993813	61.61949925804649	56.07214041435795	2.9805735199386256	0.033236142593061256	9.589614357409523E-4	9.589614357409528E-4	-36083.93134689288	0.0	-653.9807906271619
30000	-36097.11049486497	-670.4502082173242	-35426.660286647646	1.5777774163272422	2013.9220124113326	63.35453091656322	45.21593751624859	2.5865306691374688	0.006567917139160221	7.766167206104006E-4	7.766167206104013E-4	-35426.660286647646	0.0	-661.3702519768846
35000	-35622.141630785336	-670.836367193952	-34951.305263591385	2.123798078605613	2013.3759917490543	67.23430686885227	32.89378830122115	2.112836936059603	0.013671677628485465	6.561288690874515E-4	6.561288690874526E-4	-34951.305263591385	0.0	-662.3351216759755
40000	-35291.79033994338	-677.0058507062505	-34614.78448923713	2.1918174696962542	2013.3079723579638	67.64368105667587	32.58983645807122	2.04228733076207	0.004893145114893855	6.768037718127293E-4	6.768037718127306E-4	-34614.78448923713	0.0	-668.578570840795
45000	-34881.37506605392	-669.597675046332	-34211.77739100759	1.917826813090689	2013.5819630145693	64.44132920166871	49.06603117815401	2.8259114212438368	0.023921355753333894	6.696176419211733E-4	6.696176419211737E-4	-34211.77739100759	0.0	-660.3322682331046
50000	-34668.88728404635	-672.0963226560381	-33996.79096139031	1.8472902360399555	2013.65249959162	64.96798768477225	48.38239401312789	2.6459411876135537	0.017851858003944378	6.105214454566373E-4	6.105214454566384E-4	-33996.79096139031	0.0	-663.0767850652222
55000	-34264.716356127195	-649.3712175757198	-33615.34513855148	1.9010366729737236	2013.5987531546862	61.25777160559883	29.41014166236634	1.9279717803267498	0.021117139062070526	6.114402259193561E-4	6.114402259193569E-4	-33615.34513855148	0.0	-641.0353635833958
60000	-34183.98998520791	-659.4684727291789	-33524.52151247873	2.523748049308889	2012.9760417783511	65.14534994972084	26.62802506920401	1.7990735552712056	0.02812384538067289	5.401572441393745E-4	5.401572441393744E-4	-33524.52151247873	0.0	-651.3425416595354
65000	-34164.715477095255	-653.8675252519827	-33510.84795184327	2.803300715242332	2012.6964891124176	64.92136613029885	18.996774862133993	1.0552011765896896	0.019497745807173998	5.723940812004588E-4	5.723940812004595E-4	-33510.84795184327	0.0	-646.4701174206143
70000	-34073.13165728362	-651.8914876243863	-33421.240169659235	2.207360285050309	2013.2924295426096	63.261543476477634	21.343348470097528	1.5766417938099426	0.03113076488822839	5.517546832102468E-4	5.517546832102479E-4	-33421.240169659235	0.0	-643.9570179272783
75000	-34029.00974149079	-649.4459029006094	-33379.56383859018	2.7822803581385545	2012.7175094695215	65.02595701369432	20.780426198815533	1.386067230115075	0.06510877786041211	5.463094588174283E-4	5.463094588174279E-4	-33379.56383859018	0.0	-641.6521513558611
80000	-34039.27782428625	-655.1044977926515	-33384.1733264936	2.8417653377111582	2012.6580244899487	65.67657210933181	24.557092199802845	1.7244947992381219	0.010983417662839745	5.381585594590227E-4	5.381585594590231E-4	-33384.1733264936	0.0	-647.0932055668642
85000	-33946.65881841009	-632.491861462759	-33314.16695694733	2.1595942957725636	2013.3401955318873	59.87293457463022	18.168646623884	1.456751915492953	0.0077210886599550005	6.047776911522946E-4	6.047776911522943E-4	-33314.16695694733	0.0	-624.6494225502689
90000	-33886.46823167933	-624.6178875859948	-33261.85034409334	2.1631091782845013	2013.3366806493755	58.45195580893271	15.715170183632567	0.9478669725858273	0.01525674769161421	6.416537278207869E-4	6.416537278207861E-4	-33261.85034409334	0.0	-617.2263870996655
95000	-33872.73157565855	-616.4902747128051	-33256.241300945745	2.3068735468961394	2013.1929162807637	58.074138379193585	11.088209570786237	0.8061056021125486	0.06386497412231665	5.988803888574476E-4	5.988803888574473E-4	-33256.241300945745	0.0	-609.1773429632434
