# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Dec 17 12:41:53 AEDT 2019 [seed=1576546910501]
# -overwrite Democratic_Republic_of_the_Congo_subset_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-32195.147574623392	-187.23821083603502	-32007.909363787356	3.6219393744684254	2013.8036596167017	10.123090421147777	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0011299643870457726	3.671705463095533	-0.06968806895000712	-32007.909363787356	-156.9821239679015	-17.841763691831403
5000	-29262.84340190686	-209.15892434957505	-29053.684477557283	7.08189581944581	2010.3437031717242	23.03758991986626	2.791753720256555	0.13547315649982417	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.14646203892851442	0.005	0.1925202320776604	8.994836269480837E-4	2.5494114316160084	-0.09112453168884435	-29053.684477557283	-156.9821239679015	-40.75650135724439
10000	-29255.440542704462	-207.91412682167058	-29047.526415882792	5.9325685725189885	2011.4930304186512	19.61135609529031	8.707798173309962	0.4572387927286601	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.047858586257145605	0.005	0.15523055847508496	0.0012167468611228383	2.2811530828439954	-0.15228571942054336	-29047.526415882792	-156.9821239679015	-39.49895495881702
15000	-29250.90373907499	-205.6358116757944	-29045.267927399196	4.896468758748412	2012.5291302324217	16.844271036294376	5.942600497846131	0.40230487787739344	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04933285064961247	0.005	0.21369261349034044	0.0013419946376832478	2.36012460647584	-0.07596596551323152	-29045.267927399196	-156.9821239679015	-37.09726668593818
20000	-29246.206766460386	-209.00719684254065	-29037.199569617846	8.28892317378608	2009.136675817384	24.50557721142782	3.0044396638554494	0.08407206154322644	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009595205314389187	0.005	0.2699306119055312	9.463232532595096E-4	2.3967164226053184	-0.10108266064301337	-29037.199569617846	-156.9821239679015	-40.69767534605181
25000	-29253.063945092184	-212.40783047556306	-29040.65611461662	5.104839484708217	2012.3207595064619	19.722939802570323	14.230092968157384	0.4008512266912947	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0035697917901457337	0.005	0.2328124217744381	0.0011369742562457577	2.6608702813172838	-0.10236765541232881	-29040.65611461662	-156.9821239679015	-43.904822954834884
30000	-29251.355663796705	-211.7652222900021	-29039.5904415067	4.689052206874769	2012.7365467842953	16.752409918507738	5.374954752602649	0.08077081845120948	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007906147383748481	0.005	0.2718753443362693	0.0011903611398790955	3.675091192518188	-0.08430308987799509	-29039.5904415067	-156.9821239679015	-43.45652225002345
35000	-29251.653801653454	-214.97342084356842	-29036.680380809885	6.404228214815747	2011.0213707763544	22.982268112103387	10.407964179835583	0.3645405666098056	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03166056848203491	0.005	0.3736573207623957	9.767415720690648E-4	2.7796797442033463	-0.08806680400234748	-29036.680380809885	-156.9821239679015	-46.028045953861955
40000	-29259.29288317347	-222.44355248573947	-29036.84933068773	11.4259172035326	2005.9996817876374	38.8474099628863	4.89169487222771	-0.06249210440706676	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.11990341176586171	0.005	0.4057466408756856	5.790340461802846E-4	2.7970711939763624	-0.07726082497631862	-29036.84933068773	-156.9821239679015	-53.52752757402129
45000	-29258.668801928365	-221.05151406471623	-29037.61728786365	10.615338844977108	2006.810260146193	33.33197134595223	4.192627258817567	0.03946382018931338	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03549527638369031	0.005	0.3759694358795538	7.173193740249294E-4	2.7242158186101495	-0.08063024256250952	-29037.61728786365	-156.9821239679015	-52.416672313644675
