# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 12 12:26:35 AEDT 2019 [seed=1576113992707]
# -overwrite subset2_aln_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-51792.72955069113	-101.39426957475708	-51691.33528111638	2.076186037879875	2017.5938433862502	16.444805721979563	1.0	0.0	0.5	0.25	0.25	-51691.33528111638	0.0	-86.29091974982119
5000	-30352.224816569527	-118.55364869476026	-30233.671167874767	1.2778914573834281	2018.3921379667465	15.63193239123135	2.174018134642667	0.9409426837700856	0.04563449208454641	0.0015767042252714956	0.0015767042252714952	-30233.671167874767	0.0	-110.01234510199136
10000	-29790.769714053036	-157.69775814782201	-29633.071955905216	2.243862716788327	2017.4261667073417	22.333782542807235	3.459063647128581	0.9751901086577974	0.06413720200677893	7.804521244692515E-4	7.80452124469251E-4	-29633.071955905216	0.0	-149.6224069905136
15000	-29466.808726608844	-200.0137607426271	-29266.79496586622	3.9776080448826234	2015.6924213792474	32.456324839241276	5.537650193543665	0.7214913770673723	0.02814066098386769	5.282414652894321E-4	5.28241465289432E-4	-29266.79496586622	0.0	-192.64642367893046
20000	-29348.959258864204	-207.9860122801317	-29140.97324658407	3.612294079859433	2016.0577353442707	32.96895530949419	4.743814585444048	0.5256958906601781	0.0046204952153243535	4.8512777869568646E-4	4.851277786956868E-4	-29140.97324658407	0.0	-200.91307570244885
25000	-29263.673227776017	-245.50863191678468	-29018.16459585923	7.40393418939606	2012.266095234734	54.69999472991085	4.426093380047514	0.07815916896676045	0.007600624491888565	2.581346111731818E-4	2.581346111731818E-4	-29018.16459585923	0.0	-239.4477633548732
30000	-29152.317932840546	-282.2787772113075	-28870.039155629238	10.749039645091461	2008.9209897790386	75.41005114064856	7.203683929816014	9.207784170122135E-4	0.02912472723958399	1.754538218124955E-4	1.7545382181249553E-4	-28870.039155629238	0.0	-276.6065511738318
35000	-29086.78802258728	-291.4368447437555	-28795.351177843524	12.660299251543888	2007.0097301725862	83.1597976817725	7.016164590038492	0.013322604956365947	0.02712452039292701	1.6266610201431941E-4	1.6266610201431941E-4	-28795.351177843524	0.0	-285.84267271940826
40000	-29031.357389611025	-277.96198659619387	-28753.39540301483	11.113086573090456	2008.5569428510396	71.46357915708329	6.319644797939115	0.002066272452457829	0.12457878081485732	1.915555704701845E-4	1.9155557047018462E-4	-28753.39540301483	0.0	-272.02648018296554
45000	-29037.385482510243	-304.35962158167104	-28733.02586092857	18.365146750088503	2001.3048826740414	100.32846929445311	7.884984421810596	5.216057165549071E-4	0.16073357395987395	1.4454872007086934E-4	1.4454872007086937E-4	-28733.02586092857	0.0	-298.6629329385987
