# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 12 12:25:57 AEDT 2019 [seed=1576113955472]
# -overwrite subset1_aln_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-44057.56948767205	-2953.169394249286	-41104.400093422766	2.766666639199811	2017.12047081351	24.617341216169557	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0037822678715073994	7.4096373554898545	-0.020139669397531274	-41104.400093422766	-2720.7422526009486	-220.0128184720353
5000	-38358.832185896055	-3140.334250634618	-35218.49793526144	3.261133384174018	2016.626004068536	44.085572678910204	2.0788523162218504	-0.18200646986903402	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05523862105464694	0.005	0.01566000987081958	0.0015687538430500445	2.2496974806182704	0.007147108477307264	-35218.49793526144	-2720.7422526009486	-408.83820032725305
10000	-37727.676663175174	-3154.5285905583605	-34573.148072616816	2.6294040924323085	2017.2577333602778	43.413463374074766	2.244415676141357	-0.2157452206995638	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03508429870941344	0.005	0.021566718453693404	0.0012330585648518283	2.785838807978586	-0.011679916625853836	-34573.148072616816	-2720.7422526009486	-423.0213883634735
15000	-37457.62568171609	-3155.4204936382594	-34302.20518807783	2.6453775551980474	2017.2417598975119	42.901725992548045	2.577873977096567	0.054134305351836165	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03803997463555099	0.005	0.02027549213208718	0.001285471052201962	2.5491535665448644	0.0679375207264905	-34302.20518807783	-2720.7422526009486	-424.07286135124946
20000	-37141.63507105454	-3180.613350192224	-33961.021720862314	2.904489800338323	2016.9826476523717	46.48895690479596	2.878564030888744	0.1405099649866386	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.032448426079112615	0.005	0.030537103792488172	0.0010245141933883076	2.9915370577964806	-0.022402551266585	-33961.021720862314	-2720.7422526009486	-449.1597375008109
25000	-36916.19151510403	-3189.2475346735473	-33726.943980430486	2.598879488707801	2017.2882579640022	47.27924059704945	2.3532769804829354	-0.17333562408071068	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03939868252520777	0.005	0.030330414810123992	9.636329630304361E-4	2.9920412805168275	-0.024386387783379176	-33726.943980430486	-2720.7422526009486	-457.74782112996536
30000	-36709.130178190164	-3189.0255358557465	-33520.104642334416	2.415743246612639	2017.4713942060973	45.64534510951526	2.836037815125209	0.038197490201847595	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.032905801287030065	0.005	0.033638946122127304	9.268656705388704E-4	3.2963855522086214	-0.01605088955745397	-33520.104642334416	-2720.7422526009486	-457.66401578697537
35000	-36631.66601441023	-3200.4379067294053	-33431.22810768082	2.442506089142856	2017.4446313635672	48.15338878397555	2.61612691235334	-0.2370093936952149	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0071862808039042025	0.005	0.03777253160630033	8.987398851826206E-4	3.4892093035906897	-0.006967355953221823	-33431.22810768082	-2720.7422526009486	-468.9166152407637
40000	-36498.76910898683	-3206.9517437177683	-33291.81736526906	2.4843921523313206	2017.4027453003787	48.54233025728298	2.0205565096168225	-0.42988853378193603	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.009021460297977093	0.005	0.0459691348598477	8.364301428278744E-4	3.7105934531639133	-0.01630634091468076	-33291.81736526906	-2720.7422526009486	-475.209318875995
45000	-36400.9256753566	-3209.750625901928	-33191.17504945467	4.537889295853464	2015.3492481568564	52.71570503117179	2.1735850105686016	-0.4118006091670625	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0057638053198342904	0.005	0.0426281825270174	7.834981275749854E-4	3.642166674653758	-0.0012667864756141494	-33191.17504945467	-2720.7422526009486	-478.0428256214391
