# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jan 04 11:17:15 AEDT 2020 [seed=1578097032487]
# -overwrite subset2_aln_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-52454.71775916137	-111.80810088346757	-52342.9096582779	2.3046586154259594	2017.365370808704	18.010807361492404	1.0	0.0	0.5	0.25	0.25	-52342.9096582779	0.0	-96.35873180911759
10000	-29494.037561186855	-186.97898161110115	-29307.058579575754	3.3919575173825067	2016.2780719067475	31.040189331272277	2.0626173459579777	-0.18861965256831859	0.043420954290562815	5.649279732163017E-4	5.64927973216302E-4	-29307.058579575754	0.0	-180.0577211000788
20000	-29229.254955060627	-220.16098236733202	-29009.093972693296	5.238766129677945	2014.431263294452	40.60650179923847	3.991769637567262	0.1905264899352206	0.033533959644722125	3.958151849301888E-4	3.958151849301886E-4	-29009.093972693296	0.0	-213.57123064100614
30000	-29059.294700727034	-266.8011707673981	-28792.493529959636	11.971143516268354	2007.6988859078617	71.088425147145	6.009507890566377	0.021654600596693108	0.04162742711445568	1.99272262163811E-4	1.992722621638108E-4	-28792.493529959636	0.0	-260.989126380057
40000	-29072.92496856287	-300.76292197360937	-28772.162046589263	14.973577349222424	2004.6964520749075	92.46745180403097	8.678358069606313	0.00567980191886952	0.08150079696027877	1.7950029997173894E-4	1.7950029997173883E-4	-28772.162046589263	0.0	-295.0683606455154
50000	-29045.504134137966	-309.80048608476136	-28735.703648053204	14.143543994725718	2005.5264854294044	93.69765450200768	9.767002522929467	-0.0015913502252569156	0.11081451482849	1.740946337286521E-4	1.740946337286523E-4	-28735.703648053204	0.0	-304.0735577138911
60000	-29038.31979307307	-318.2788764875128	-28720.04091658556	14.361700132434049	2005.308329291696	103.62865241032921	10.277276787994646	0.07392790002698324	0.04838739309179318	1.4373709045516713E-4	1.4373709045516713E-4	-28720.04091658556	0.0	-312.7520546132168
70000	-29030.645781694788	-337.8848996517905	-28692.760882042996	19.236068404639024	2000.4339610194909	121.0081088135805	13.355405950062785	-0.028806353517549566	0.013812287406304474	1.1853517819985281E-4	1.1853517819985266E-4	-28692.760882042996	0.0	-332.6467802124436
80000	-29057.948918691174	-363.62576231806025	-28694.323156373113	21.12393903882962	1998.5460903853004	141.83464022690464	18.625526751392044	0.06081501051536642	0.08715693189377076	1.0274493902520066E-4	1.0274493902520067E-4	-28694.323156373113	0.0	-358.3595454064558
90000	-29076.24590288002	-381.56587414484716	-28694.680028735173	33.52885519271484	1986.141174231415	195.7970750347793	17.66678976627465	0.0303995327950759	0.19456630146191853	7.183584538775796E-5	7.183584538775792E-5	-28694.680028735173	0.0	-376.45591256421403
