# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jan 04 11:18:21 AEDT 2020 [seed=1578097100374]
# -overwrite subset2_ucld_iso.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-35810.9072965358	-1126.5391489331082	-34684.36814760269	2.6198614813703234	2.6198614813703234	11.292887727487482	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.001366961708173485	7.434056364113717	0.019940143207448933	-34684.36814760269	-1021.9644828582857	-92.16034289852044
20000	-30597.96249474073	-1297.6081546097616	-29300.354340130965	1.9093555608059805	1.9093555608059805	31.7067794434436	8.387968927731839	1.5142384920440761	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02760092197872753	0.005	0.07960670607444596	6.050506658749993E-4	2.6119343137966413	-0.06799250063498834	-29300.354340130965	-1021.9644828582857	-263.42101424125957
40000	-30146.597896829833	-1253.5009686886306	-28893.096928141204	1.5017671438552065	1.5017671438552065	21.510273201864642	4.787989335871852	1.5457288968775134	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013841208653564566	0.005	0.09274529837610351	7.311668710444543E-4	1.9013439004903703	0.2063346634659347	-28893.096928141204	-1021.9644828582857	-219.27047756483634
60000	-29981.507344077538	-1265.3742593082295	-28716.13308476931	2.0138701563727297	2.0138701563727297	25.918204078529023	5.377183568440856	1.31906996852425	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.00455514888316702	0.005	0.12444369074774714	5.750551562343479E-4	4.800223228601533	0.10304031029842084	-28716.13308476931	-1021.9644828582857	-231.2938981632721
80000	-29939.854517853935	-1262.279438958068	-28677.57507889587	1.5313105368780673	1.5313105368780673	24.083445991190214	4.758306017769582	0.579861738831494	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08157379459838346	0.005	0.17277455035627048	6.070746672540418E-4	5.510129395929664	-0.04049093990756216	-28677.57507889587	-1021.9644828582857	-228.639262361323
100000	-29957.04973454264	-1304.6758959516715	-28652.37383859097	2.9824684931226937	2.9824684931226937	34.75700556289613	9.053530780937175	0.8598638726295562	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05803466630248881	0.005	0.3682889718470611	4.0560285008340576E-4	6.148954894237453	-0.038603722205811965	-28652.37383859097	-1021.9644828582857	-270.21620926100024
120000	-29930.972146824097	-1289.7207360702375	-28641.25141075386	2.849469687273921	2.849469687273921	29.706018692763504	7.868026576318499	1.4049461975762383	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1080950116731451	0.005	0.2738418029241394	4.7264163229039625E-4	2.68006204919882	0.019537761220597794	-28641.25141075386	-1021.9644828582857	-254.89919972568902
140000	-29878.995072319274	-1268.8776616141877	-28610.117410705087	1.8920342944571096	1.8920342944571096	24.380686156411656	6.406748029237749	1.562894098729453	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.23128426969525734	0.005	0.1896202552168379	6.318069139628797E-4	2.3320231694415656	-0.00931764350888751	-28610.117410705087	-1021.9644828582857	-233.90447810834914
160000	-29862.56230281656	-1259.0704858963475	-28603.491816920214	1.2748306213799097	1.2748306213799097	20.68974732833184	7.163204846958164	2.3736812096082613	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.556095038816655	0.005	0.14456870404532077	6.601307217945022E-4	3.595935119769602	0.00452285455430512	-28603.491816920214	-1021.9644828582857	-222.7720408303336
180000	-29823.37793393094	-1216.3247102614837	-28607.053223669456	1.083575726762906	1.083575726762906	15.533462997331482	2.9462756505935865	1.8000540224492605	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2424223295204241	0.005	0.11458032838855052	8.578367441786156E-4	2.615166998826716	0.010199911855622327	-28607.053223669456	-1021.9644828582857	-181.3172450974836
