# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 12 12:28:20 AEDT 2019 [seed=1576114098786]
# -overwrite subset3_aln_sc_het.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-55770.84042752338	-145.1983114608702	-55625.6421160625	5.087339970144396	2014.6268256456558	25.916231843646862	1.0	0.0	0.5	0.25	0.25	-55625.6421160625	0.0	-127.954535014891
5000	-30259.44023240691	-123.83165102387443	-30135.608581383036	1.3801481521560277	2018.3340174636442	17.182871310158507	2.2455198824214393	1.0865571804863454	0.07782871709094355	0.0011567423595523585	0.0011567423595523576	-30135.608581383036	0.0	-115.28727767545212
10000	-29576.302283171422	-214.98829858384235	-29361.31398458758	1.6114395327034958	2018.1027260830965	25.293530965591092	14.375877251781372	2.2735148463162558	0.015442659317406049	6.476234428216083E-4	6.47623442821608E-4	-29361.31398458758	0.0	-205.86845847225734
15000	-29249.45325176448	-217.19890576533118	-29032.25434599915	1.4427326828225158	2018.2714329329776	24.66259971606375	14.242954849010319	2.318400299516752	0.009194660280782226	6.133596076363007E-4	6.133596076363008E-4	-29032.25434599915	0.0	-208.06247980182314
20000	-29123.454889612276	-218.0806296010835	-28905.37426001119	1.52478668289282	2018.1893789329072	25.256787533641063	8.142035774494946	1.5977198266634622	0.008740486343701016	4.6507235143759454E-4	4.650723514375947E-4	-28905.37426001119	0.0	-209.81951699132378
25000	-29000.715712785164	-221.31892601675298	-28779.39678676841	1.5781688304055541	2018.1359967853946	25.98140063588094	6.268735185661455	1.4535925731195085	0.06808457500293509	4.2835692819082684E-4	4.283569281908269E-4	-28779.39678676841	0.0	-213.13914922913546
30000	-28952.522841268412	-234.8889578231653	-28717.633883445247	1.5645930359510771	2018.149572579849	26.836089804269523	10.293377651614138	1.7997815353149886	0.05581580771955982	4.0764400708114104E-4	4.076440070811412E-4	-28717.633883445247	0.0	-226.4286437156717
35000	-28917.874528608078	-237.1923893497334	-28680.682139258344	1.611231364982415	2018.1029342508177	26.729746039161075	6.519001294680791	1.3560124856509805	0.025973444946361102	4.46792345738303E-4	4.467923457383034E-4	-28680.682139258344	0.0	-229.18672855603276
40000	-28846.328481911547	-238.89701598624922	-28607.4314659253	1.919822938819895	2017.7943426769802	28.58793091098187	7.211652259566764	1.4174189140895583	0.010453813887639498	3.8925844345853765E-4	3.8925844345853765E-4	-28607.4314659253	0.0	-230.9643246707485
45000	-28643.437929406802	-228.8184783452365	-28414.619451061564	1.8359740445957615	2017.8781915712043	27.12122948501431	8.663625147757589	1.5945106934981403	0.09806222904771741	3.1612666477008866E-4	3.1612666477008866E-4	-28414.619451061564	0.0	-220.61373459761032
50000	-28529.637916053573	-210.96928418463398	-28318.66863186894	1.6926456125451073	2018.0215200032549	25.479659486169464	5.261132191421523	1.3809857932069745	0.03196916369317037	3.540862879933509E-4	3.540862879933513E-4	-28318.66863186894	0.0	-203.0219202416823
