PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27380	-0.23011
2.1544e-07	-27413	-0.11225
2.1715e-06	-27360	-0.22700
8.3895e-06	-27378	-0.44583
2.1888e-05	-27416	-0.76611
4.6050e-05	-27398	-1.1870
8.4561e-05	-27351	-1.7392
0.00014136	-27379	-2.3596
0.00022061	-27392	-3.1315
0.00032669	-27369	-3.9777
0.00046416	-27300	-4.9638
0.00063774	-27375	-6.0855
0.00085232	-27366	-7.2786
0.0011130	-27368	-8.6941
0.0014248	-27344	-10.237
0.0017932	-27352	-11.931
0.0022237	-27381	-13.792
0.0027216	-27301	-15.805
0.0032929	-27321	-17.976
0.0039432	-27360	-20.313
0.0046784	-27294	-22.809
0.0055047	-27266	-25.468
0.0064280	-27341	-28.310
0.0074546	-27323	-31.310
0.0085909	-27297	-34.495
0.0098431	-27285	-37.844
0.011218	-27286	-41.375
0.012722	-27293	-45.088
0.014361	-27270	-48.982
0.016143	-27259	-53.057
0.018075	-27261	-57.345
0.020162	-27236	-61.789
0.022413	-27192	-66.440
0.024834	-27245	-71.287
0.027432	-27181	-76.286
0.030215	-27224	-81.525
0.033190	-27152	-86.915
0.036364	-27182	-92.569
0.039745	-27178	-98.374
0.043339	-27146	-104.42
0.047156	-27091	-110.56
0.051201	-27088	-116.98
0.055484	-27097	-123.60
0.060011	-27048	-130.26
0.064790	-27041	-137.25
0.069830	-27036	-144.51
0.075138	-26992	-151.84
0.080722	-26955	-159.54
0.086591	-27000	-167.24
0.092751	-26950	-175.21
0.099213	-26934	-183.28
0.10598	-26953	-191.82
0.11307	-26938	-200.57
0.12048	-26864	-209.40
0.12823	-26928	-218.65
0.13631	-26896	-227.83
0.14475	-26857	-237.38
0.15355	-26867	-247.11
0.16271	-26856	-257.18
0.17226	-26855	-267.38
0.18218	-26826	-277.86
0.19250	-26808	-288.50
0.20322	-26781	-299.41
0.21436	-26800	-310.66
0.22591	-26791	-321.91
0.23789	-26775	-333.59
0.25031	-26782	-345.47
0.26318	-26778	-357.66
0.27650	-26771	-370.00
0.29029	-26752	-382.52
0.30455	-26758	-395.41
0.31930	-26747	-408.50
0.33454	-26752	-421.78
0.35028	-26754	-435.47
0.36653	-26745	-449.18
0.38330	-26751	-463.41
0.40060	-26738	-477.66
0.41844	-26741	-492.37
0.43683	-26741	-507.21
0.45578	-26736	-522.37
0.47530	-26738	-537.76
0.49539	-26737	-553.46
0.51608	-26728	-569.30
0.53735	-26729	-585.55
0.55924	-26730	-602.00
0.58174	-26727	-618.64
0.60487	-26726	-635.65
0.62863	-26717	-652.90
0.65304	-26718	-670.42
0.67811	-26709	-688.14
0.70384	-26712	-706.19
0.73025	-26708	-724.54
0.75734	-26705	-743.07
0.78513	-26704	-761.94
0.81363	-26696	-781.01
0.84284	-26689	-800.33
0.87278	-26643	-819.95
0.90345	-26669	-839.68
0.93488	-26625	-859.42
0.96705	-26194	-865.76
1.0000	-26205	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26831.171915166633
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27379	-0.17350
2.1544e-07	-27391	-0.10734
2.1715e-06	-27349	-0.22012
8.3895e-06	-27381	-0.44382
2.1888e-05	-27438	-0.76985
4.6050e-05	-27349	-1.1875
8.4561e-05	-27431	-1.6892
0.00014136	-27359	-2.3814
0.00022061	-27372	-3.1514
0.00032669	-27324	-4.0276
0.00046416	-27351	-5.0281
0.00063774	-27360	-6.1284
0.00085232	-27309	-7.4686
0.0011130	-27350	-8.7842
0.0014248	-27357	-10.306
0.0017932	-27341	-11.985
0.0022237	-27298	-13.838
0.0027216	-27293	-15.830
0.0032929	-27272	-17.986
0.0039432	-27310	-20.303
0.0046784	-27331	-22.808
0.0055047	-27314	-25.468
0.0064280	-27299	-28.291
0.0074546	-27243	-31.307
0.0085909	-27264	-34.472
0.0098431	-27313	-37.836
0.011218	-27227	-41.358
0.012722	-27246	-45.073
0.014361	-27267	-48.973
0.016143	-27243	-53.049
0.018075	-27183	-57.303
0.020162	-27268	-61.770
0.022413	-27234	-66.415
0.024834	-27216	-71.259
0.027432	-27209	-76.269
0.030215	-27216	-81.482
0.033190	-27167	-86.913
0.036364	-27160	-92.510
0.039745	-27142	-98.339
0.043339	-27136	-104.35
0.047156	-27138	-110.51
0.051201	-27113	-116.92
0.055484	-27068	-123.42
0.060011	-27008	-130.18
0.064790	-26986	-137.21
0.069830	-27019	-144.43
0.075138	-27007	-151.72
0.080722	-26988	-159.29
0.086591	-26942	-167.10
0.092751	-26904	-175.01
0.099213	-26926	-183.22
0.10598	-26916	-191.65
0.11307	-26886	-200.32
0.12048	-26906	-209.30
0.12823	-26883	-218.32
0.13631	-26869	-227.69
0.14475	-26889	-237.28
0.15355	-26843	-247.15
0.16271	-26829	-257.05
0.17226	-26827	-267.32
0.18218	-26807	-277.76
0.19250	-26799	-288.37
0.20322	-26807	-299.35
0.21436	-26791	-310.50
0.22591	-26787	-321.96
0.23789	-26783	-333.58
0.25031	-26795	-345.53
0.26318	-26772	-357.48
0.27650	-26754	-369.83
0.29029	-26763	-382.46
0.30455	-26748	-395.30
0.31930	-26753	-408.51
0.33454	-26752	-421.82
0.35028	-26739	-435.32
0.36653	-26738	-449.16
0.38330	-26740	-463.36
0.40060	-26738	-477.70
0.41844	-26734	-492.33
0.43683	-26730	-507.10
0.45578	-26730	-522.29
0.47530	-26728	-537.72
0.49539	-26732	-553.42
0.51608	-26723	-569.25
0.53735	-26725	-585.42
0.55924	-26722	-601.89
0.58174	-26721	-618.58
0.60487	-26723	-635.54
0.62863	-26709	-652.77
0.65304	-26710	-670.29
0.67811	-26716	-688.10
0.70384	-26696	-706.10
0.73025	-26717	-724.43
0.75734	-26694	-742.99
0.78513	-26710	-761.83
0.81363	-26691	-780.91
0.84284	-26686	-800.27
0.87278	-26679	-819.85
0.90345	-26659	-839.57
0.93488	-26637	-859.46
0.96705	-26564	-878.40
1.0000	-26301	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26838.630654265347
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27405	-0.26409
2.1544e-07	-27413	-0.12539
2.1715e-06	-27400	-0.23665
8.3895e-06	-27404	-0.45280
2.1888e-05	-27416	-0.76025
4.6050e-05	-27379	-1.2186
8.4561e-05	-27409	-1.7710
0.00014136	-27395	-2.4112
0.00022061	-27376	-3.1077
0.00032669	-27392	-4.0827
0.00046416	-27382	-4.9711
0.00063774	-27365	-6.0890
0.00085232	-27357	-7.3405
0.0011130	-27329	-8.6917
0.0014248	-27381	-10.252
0.0017932	-27325	-11.950
0.0022237	-27339	-13.796
0.0027216	-27325	-15.803
0.0032929	-27339	-17.993
0.0039432	-27358	-20.321
0.0046784	-27322	-22.812
0.0055047	-27283	-25.490
0.0064280	-27300	-28.326
0.0074546	-27310	-31.333
0.0085909	-27299	-34.502
0.0098431	-27309	-37.846
0.011218	-27267	-41.391
0.012722	-27274	-45.095
0.014361	-27274	-48.990
0.016143	-27263	-53.068
0.018075	-27230	-57.342
0.020162	-27261	-61.809
0.022413	-27233	-66.444
0.024834	-27210	-71.275
0.027432	-27214	-76.324
0.030215	-27205	-81.544
0.033190	-27212	-86.971
0.036364	-27147	-92.577
0.039745	-27153	-98.382
0.043339	-27090	-104.36
0.047156	-27140	-110.61
0.051201	-27081	-116.97
0.055484	-27099	-123.55
0.060011	-27089	-130.32
0.064790	-26994	-137.32
0.069830	-27015	-144.41
0.075138	-26999	-151.78
0.080722	-27014	-159.45
0.086591	-26983	-167.15
0.092751	-26939	-175.07
0.099213	-26929	-183.28
0.10598	-26929	-191.73
0.11307	-26935	-200.52
0.12048	-26898	-209.38
0.12823	-26880	-218.32
0.13631	-26858	-227.68
0.14475	-26858	-237.27
0.15355	-26858	-246.99
0.16271	-26854	-257.02
0.17226	-26842	-267.33
0.18218	-26829	-277.75
0.19250	-26841	-288.64
0.20322	-26808	-299.42
0.21436	-26812	-310.62
0.22591	-26782	-321.87
0.23789	-26790	-333.67
0.25031	-26785	-345.50
0.26318	-26775	-357.64
0.27650	-26764	-369.95
0.29029	-26773	-382.59
0.30455	-26752	-395.42
0.31930	-26750	-408.44
0.33454	-26756	-421.86
0.35028	-26744	-435.46
0.36653	-26745	-449.35
0.38330	-26746	-463.38
0.40060	-26738	-477.70
0.41844	-26734	-492.36
0.43683	-26735	-507.21
0.45578	-26736	-522.35
0.47530	-26732	-537.75
0.49539	-26734	-553.47
0.51608	-26732	-569.33
0.53735	-26730	-585.55
0.55924	-26728	-602.02
0.58174	-26722	-618.69
0.60487	-26718	-635.67
0.62863	-26722	-652.88
0.65304	-26722	-670.41
0.67811	-26722	-688.21
0.70384	-26703	-706.23
0.73025	-26701	-724.49
0.75734	-26711	-743.15
0.78513	-26688	-761.87
0.81363	-26697	-780.99
0.84284	-26693	-800.37
0.87278	-26665	-819.85
0.90345	-26655	-839.61
0.93488	-26616	-858.87
0.96705	-26548	-878.02
1.0000	3.3192e+131	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26842.29282392185
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27413	-0.27334
2.1544e-07	-27421	-0.11667
2.1715e-06	-27395	-0.22474
8.3895e-06	-27390	-0.45756
2.1888e-05	-27384	-0.75820
4.6050e-05	-27399	-1.2046
8.4561e-05	-27397	-1.6991
0.00014136	-27343	-2.3373
0.00022061	-27349	-3.0482
0.00032669	-27361	-3.9205
0.00046416	-27406	-4.9041
0.00063774	-27363	-6.0281
0.00085232	-27377	-7.3031
0.0011130	-27348	-8.6804
0.0014248	-27294	-10.233
0.0017932	-27371	-11.939
0.0022237	-27378	-13.791
0.0027216	-27373	-15.821
0.0032929	-27339	-18.000
0.0039432	-27344	-20.322
0.0046784	-27352	-22.818
0.0055047	-27292	-25.494
0.0064280	-27351	-28.328
0.0074546	-27335	-31.327
0.0085909	-27273	-34.508
0.0098431	-27315	-37.857
0.011218	-27291	-41.405
0.012722	-27253	-45.117
0.014361	-27301	-49.015
0.016143	-27286	-53.083
0.018075	-27283	-57.361
0.020162	-27280	-61.814
0.022413	-27241	-66.472
0.024834	-27267	-71.300
0.027432	-27243	-76.333
0.030215	-27230	-81.567
0.033190	-27146	-86.970
0.036364	-27205	-92.623
0.039745	-27186	-98.389
0.043339	-27196	-104.45
0.047156	-27068	-110.61
0.051201	-27126	-117.05
0.055484	-27142	-123.64
0.060011	-27059	-130.38
0.064790	-27047	-137.36
0.069830	-26997	-144.56
0.075138	-26974	-151.77
0.080722	-26992	-159.39
0.086591	-26980	-167.11
0.092751	-26944	-175.17
0.099213	-26966	-183.52
0.10598	-26958	-191.95
0.11307	-26909	-200.47
0.12048	-26891	-209.28
0.12823	-26903	-218.40
0.13631	-26889	-227.73
0.14475	-26867	-237.30
0.15355	-26873	-247.17
0.16271	-26837	-257.10
0.17226	-26842	-267.34
0.18218	-26818	-277.79
0.19250	-26820	-288.52
0.20322	-26805	-299.46
0.21436	-26787	-310.63
0.22591	-26802	-322.01
0.23789	-26793	-333.76
0.25031	-26781	-345.52
0.26318	-26778	-357.58
0.27650	-26762	-370.05
0.29029	-26772	-382.61
0.30455	-26765	-395.51
0.31930	-26749	-408.38
0.33454	-26753	-421.82
0.35028	-26749	-435.47
0.36653	-26746	-449.31
0.38330	-26740	-463.41
0.40060	-26737	-477.76
0.41844	-26743	-492.42
0.43683	-26737	-507.28
0.45578	-26737	-522.40
0.47530	-26737	-537.84
0.49539	-26735	-553.47
0.51608	-26731	-569.35
0.53735	-26728	-585.54
0.55924	-26731	-602.04
0.58174	-26726	-618.66
0.60487	-26720	-635.66
0.62863	-26723	-652.94
0.65304	-26722	-670.40
0.67811	-26710	-688.21
0.70384	-26718	-706.25
0.73025	-26717	-724.56
0.75734	-26696	-743.11
0.78513	-26701	-761.94
0.81363	-26700	-781.06
0.84284	-26686	-800.35
0.87278	-26640	-819.63
0.90345	-26630	-839.68
0.93488	-26619	-859.23
0.96705	-26531	-877.71
1.0000	8.9783e+06	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26843.906324012652
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27341	-0.22668
2.1544e-07	-27409	-0.12090
2.1715e-06	-27433	-0.23499
8.3895e-06	-27387	-0.45741
2.1888e-05	-27397	-0.77940
4.6050e-05	-27360	-1.1997
8.4561e-05	-27378	-1.7222
0.00014136	-27389	-2.3659
0.00022061	-27358	-3.0938
0.00032669	-27345	-4.0605
0.00046416	-27349	-4.9680
0.00063774	-27388	-6.0596
0.00085232	-27392	-7.2889
0.0011130	-27361	-8.6955
0.0014248	-27332	-10.231
0.0017932	-27361	-11.936
0.0022237	-27301	-13.802
0.0027216	-27361	-15.809
0.0032929	-27297	-17.984
0.0039432	-27350	-20.308
0.0046784	-27296	-22.797
0.0055047	-27329	-25.480
0.0064280	-27287	-28.314
0.0074546	-27285	-31.318
0.0085909	-27247	-34.498
0.0098431	-27314	-37.834
0.011218	-27300	-41.360
0.012722	-27279	-45.091
0.014361	-27299	-48.985
0.016143	-27295	-53.073
0.018075	-27209	-57.316
0.020162	-27281	-61.803
0.022413	-27259	-66.452
0.024834	-27246	-71.271
0.027432	-27219	-76.302
0.030215	-27202	-81.523
0.033190	-27215	-86.975
0.036364	-27181	-92.568
0.039745	-27198	-98.394
0.043339	-27092	-104.39
0.047156	-27140	-110.58
0.051201	-27128	-117.02
0.055484	-27128	-123.65
0.060011	-27105	-130.39
0.064790	-27031	-137.26
0.069830	-27021	-144.39
0.075138	-27025	-151.86
0.080722	-26971	-159.38
0.086591	-26951	-167.24
0.092751	-26980	-175.21
0.099213	-26944	-183.35
0.10598	-26916	-191.82
0.11307	-26904	-200.40
0.12048	-26893	-209.30
0.12823	-26914	-218.50
0.13631	-26891	-227.87
0.14475	-26883	-237.34
0.15355	-26835	-247.12
0.16271	-26817	-257.20
0.17226	-26849	-267.44
0.18218	-26837	-277.85
0.19250	-26826	-288.53
0.20322	-26810	-299.45
0.21436	-26786	-310.68
0.22591	-26811	-322.02
0.23789	-26788	-333.64
0.25031	-26799	-345.46
0.26318	-26780	-357.49
0.27650	-26774	-369.92
0.29029	-26773	-382.55
0.30455	-26751	-395.46
0.31930	-26741	-408.43
0.33454	-26751	-421.87
0.35028	-26745	-435.32
0.36653	-26740	-449.31
0.38330	-26743	-463.43
0.40060	-26743	-477.72
0.41844	-26740	-492.42
0.43683	-26737	-507.30
0.45578	-26738	-522.44
0.47530	-26728	-537.79
0.49539	-26731	-553.46
0.51608	-26730	-569.34
0.53735	-26726	-585.48
0.55924	-26732	-602.01
0.58174	-26727	-618.71
0.60487	-26727	-635.64
0.62863	-26726	-652.91
0.65304	-26722	-670.43
0.67811	-26716	-688.16
0.70384	-26711	-706.23
0.73025	-26707	-724.56
0.75734	-26706	-743.08
0.78513	-26703	-761.93
0.81363	-26697	-780.97
0.84284	-26692	-800.37
0.87278	-26665	-819.79
0.90345	-26653	-839.63
0.93488	-26590	-858.89
0.96705	-26264	-869.24
1.0000	-26207	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26834.30361911298
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27451	-0.24618
2.1544e-07	-27372	-0.11790
2.1715e-06	-27353	-0.23625
8.3895e-06	-27402	-0.44606
2.1888e-05	-27348	-0.75637
4.6050e-05	-27344	-1.1606
8.4561e-05	-27366	-1.7156
0.00014136	-27386	-2.3307
0.00022061	-27352	-3.0289
0.00032669	-27341	-3.9406
0.00046416	-27391	-4.9262
0.00063774	-27292	-6.0188
0.00085232	-27326	-7.2795
0.0011130	-27310	-8.6739
0.0014248	-27372	-10.229
0.0017932	-27371	-11.933
0.0022237	-27358	-13.795
0.0027216	-27335	-15.814
0.0032929	-27324	-17.987
0.0039432	-27299	-20.316
0.0046784	-27303	-22.815
0.0055047	-27300	-25.482
0.0064280	-27336	-28.315
0.0074546	-27272	-31.322
0.0085909	-27285	-34.502
0.0098431	-27323	-37.853
0.011218	-27256	-41.387
0.012722	-27221	-45.099
0.014361	-27293	-48.996
0.016143	-27263	-53.067
0.018075	-27263	-57.342
0.020162	-27258	-61.793
0.022413	-27239	-66.442
0.024834	-27164	-71.265
0.027432	-27167	-76.290
0.030215	-27206	-81.533
0.033190	-27176	-86.950
0.036364	-27193	-92.548
0.039745	-27177	-98.364
0.043339	-27112	-104.40
0.047156	-27164	-110.61
0.051201	-27125	-117.00
0.055484	-27077	-123.55
0.060011	-27010	-130.25
0.064790	-27063	-137.25
0.069830	-27008	-144.42
0.075138	-27016	-151.81
0.080722	-27005	-159.49
0.086591	-26946	-167.27
0.092751	-26936	-175.16
0.099213	-26963	-183.38
0.10598	-26934	-191.81
0.11307	-26923	-200.51
0.12048	-26915	-209.41
0.12823	-26907	-218.48
0.13631	-26861	-227.90
0.14475	-26874	-237.52
0.15355	-26852	-247.12
0.16271	-26845	-257.22
0.17226	-26815	-267.49
0.18218	-26846	-277.93
0.19250	-26802	-288.57
0.20322	-26797	-299.55
0.21436	-26805	-310.58
0.22591	-26783	-322.00
0.23789	-26789	-333.65
0.25031	-26762	-345.42
0.26318	-26774	-357.56
0.27650	-26761	-369.89
0.29029	-26756	-382.42
0.30455	-26760	-395.44
0.31930	-26759	-408.55
0.33454	-26743	-421.82
0.35028	-26746	-435.43
0.36653	-26749	-449.28
0.38330	-26738	-463.38
0.40060	-26740	-477.74
0.41844	-26735	-492.44
0.43683	-26739	-507.23
0.45578	-26732	-522.42
0.47530	-26731	-537.79
0.49539	-26738	-553.47
0.51608	-26733	-569.36
0.53735	-26733	-585.48
0.55924	-26728	-602.00
0.58174	-26733	-618.68
0.60487	-26722	-635.66
0.62863	-26722	-652.92
0.65304	-26726	-670.44
0.67811	-26717	-688.21
0.70384	-26717	-706.23
0.73025	-26714	-724.56
0.75734	-26717	-743.15
0.78513	-26704	-761.93
0.81363	-26679	-780.94
0.84284	-26693	-800.37
0.87278	-26675	-819.93
0.90345	-26665	-839.53
0.93488	-26636	-859.41
0.96705	-26291	-870.83
1.0000	-26191	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26836.51680959214
