PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27235	-0.0059046
2.1544e-07	-27205	-0.053611
2.1715e-06	-27216	-0.17039
8.3895e-06	-27210	-0.36985
2.1888e-05	-27194	-0.66223
4.6050e-05	-27204	-1.0555
8.4561e-05	-27214	-1.5567
0.00014136	-27208	-2.1716
0.00022061	-27237	-2.9073
0.00032669	-27198	-3.7674
0.00046416	-27242	-4.7570
0.00063774	-27248	-5.8803
0.00085232	-27240	-7.1426
0.0011130	-27223	-8.5459
0.0014248	-27228	-10.095
0.0017932	-27233	-11.792
0.0022237	-27243	-13.642
0.0027216	-27155	-15.651
0.0032929	-27175	-17.818
0.0039432	-27224	-20.139
0.0046784	-27225	-22.630
0.0055047	-27195	-25.283
0.0064280	-27178	-28.112
0.0074546	-27189	-31.107
0.0085909	-27173	-34.291
0.0098431	-27200	-37.636
0.011218	-27162	-41.165
0.012722	-27204	-44.867
0.014361	-27186	-48.763
0.016143	-27166	-52.834
0.018075	-27158	-57.083
0.020162	-27135	-61.531
0.022413	-27149	-66.174
0.024834	-27094	-70.995
0.027432	-27140	-76.025
0.030215	-27124	-81.230
0.033190	-27119	-86.606
0.036364	-27078	-92.241
0.039745	-27100	-98.042
0.043339	-27061	-103.97
0.047156	-27069	-110.18
0.051201	-27061	-116.59
0.055484	-27049	-123.12
0.060011	-26979	-129.87
0.064790	-27003	-136.89
0.069830	-26975	-144.14
0.075138	-26922	-151.56
0.080722	-26959	-159.14
0.086591	-26966	-166.89
0.092751	-26912	-174.88
0.099213	-26911	-183.27
0.10598	-26938	-191.71
0.11307	-26914	-200.28
0.12048	-26929	-209.35
0.12823	-26858	-218.21
0.13631	-26886	-227.67
0.14475	-26852	-237.20
0.15355	-26877	-247.01
0.16271	-26858	-257.04
0.17226	-26864	-267.37
0.18218	-26825	-277.83
0.19250	-26830	-288.45
0.20322	-26843	-299.59
0.21436	-26825	-310.66
0.22591	-26823	-322.13
0.23789	-26805	-333.63
0.25031	-26803	-345.73
0.26318	-26798	-357.80
0.27650	-26772	-370.09
0.29029	-26774	-382.78
0.30455	-26768	-395.67
0.31930	-26769	-408.74
0.33454	-26761	-422.12
0.35028	-26756	-435.53
0.36653	-26756	-449.38
0.38330	-26749	-463.69
0.40060	-26749	-477.93
0.41844	-26749	-492.43
0.43683	-26749	-507.45
0.45578	-26748	-522.51
0.47530	-26744	-537.90
0.49539	-26745	-553.62
0.51608	-26741	-569.59
0.53735	-26742	-585.71
0.55924	-26741	-602.19
0.58174	-26744	-618.96
0.60487	-26743	-635.91
0.62863	-26739	-653.17
0.65304	-26743	-670.70
0.67811	-26742	-688.51
0.70384	-26738	-706.59
0.73025	-26739	-724.92
0.75734	-26740	-743.45
0.78513	-26738	-762.39
0.81363	-26739	-781.47
0.84284	-26739	-800.89
0.87278	-26738	-820.57
0.90345	-26739	-840.56
0.93488	-26736	-860.73
0.96705	-26738	-881.32
1.0000	-26737	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26844.453469860357
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27380	-0.0059410
2.1544e-07	-27377	-0.053936
2.1715e-06	-27363	-0.17148
8.3895e-06	-27350	-0.37217
2.1888e-05	-27406	-0.66619
4.6050e-05	-27381	-1.0620
8.4561e-05	-27347	-1.5664
0.00014136	-27374	-2.1852
0.00022061	-27405	-2.9250
0.00032669	-27388	-3.7906
0.00046416	-27373	-4.7860
0.00063774	-27353	-5.9165
0.00085232	-27356	-7.1873
0.0011130	-27345	-8.5987
0.0014248	-27383	-10.159
0.0017932	-27402	-11.866
0.0022237	-27344	-13.731
0.0027216	-27368	-15.747
0.0032929	-27362	-17.924
0.0039432	-27356	-20.262
0.0046784	-27349	-22.771
0.0055047	-27238	-25.439
0.0064280	-27342	-28.288
0.0074546	-27339	-31.299
0.0085909	-27324	-34.499
0.0098431	-27309	-37.861
0.011218	-27330	-41.407
0.012722	-27283	-45.131
0.014361	-27291	-49.043
0.016143	-27289	-53.145
0.018075	-27287	-57.428
0.020162	-27222	-61.865
0.022413	-27221	-66.529
0.024834	-27232	-71.369
0.027432	-27165	-76.407
0.030215	-27154	-81.629
0.033190	-27192	-87.057
0.036364	-27191	-92.631
0.039745	-27122	-98.458
0.043339	-27125	-104.44
0.047156	-27115	-110.62
0.051201	-27060	-116.93
0.055484	-27056	-123.47
0.060011	-27033	-130.13
0.064790	-27023	-137.17
0.069830	-26995	-144.35
0.075138	-26986	-151.66
0.080722	-26975	-159.21
0.086591	-26961	-166.99
0.092751	-26936	-175.06
0.099213	-26937	-183.26
0.10598	-26915	-191.75
0.11307	-26927	-200.36
0.12048	-26905	-209.36
0.12823	-26883	-218.41
0.13631	-26883	-227.68
0.14475	-26853	-237.25
0.15355	-26845	-247.03
0.16271	-26845	-257.07
0.17226	-26827	-267.21
0.18218	-26819	-277.69
0.19250	-26806	-288.45
0.20322	-26787	-299.26
0.21436	-26787	-310.52
0.22591	-26777	-321.82
0.23789	-26796	-333.54
0.25031	-26771	-345.40
0.26318	-26768	-357.48
0.27650	-26762	-369.87
0.29029	-26765	-382.49
0.30455	-26756	-395.27
0.31930	-26757	-408.41
0.33454	-26742	-421.82
0.35028	-26749	-435.45
0.36653	-26743	-449.24
0.38330	-26745	-463.37
0.40060	-26743	-477.75
0.41844	-26739	-492.40
0.43683	-26736	-507.19
0.45578	-26740	-522.40
0.47530	-26740	-537.75
0.49539	-26729	-553.43
0.51608	-26735	-569.38
0.53735	-26732	-585.49
0.55924	-26730	-602.03
0.58174	-26728	-618.70
0.60487	-26734	-635.68
0.62863	-26727	-652.94
0.65304	-26732	-670.44
0.67811	-26729	-688.22
0.70384	-26729	-706.26
0.73025	-26728	-724.59
0.75734	-26729	-743.20
0.78513	-26726	-762.03
0.81363	-26723	-781.16
0.84284	-26726	-800.55
0.87278	-26724	-820.22
0.90345	-26726	-840.18
0.93488	-26725	-860.41
0.96705	-26722	-880.90
1.0000	-26717	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26844.003522929335
