PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27521	-0.36596
2.1544e-07	-27629	-0.17438
2.1715e-06	-27626	-0.27968
8.3895e-06	-27556	-0.48030
2.1888e-05	-27520	-0.78417
4.6050e-05	-27604	-1.2058
8.4561e-05	-27554	-1.7408
0.00014136	-27560	-2.3824
0.00022061	-27637	-3.1225
0.00032669	-27598	-3.9911
0.00046416	-27525	-4.9994
0.00063774	-27616	-6.1201
0.00085232	-27511	-7.4016
0.0011130	-27541	-8.8168
0.0014248	-27526	-10.401
0.0017932	-27544	-12.110
0.0022237	-27454	-13.980
0.0027216	-27407	-16.018
0.0032929	-27440	-18.201
0.0039432	-27414	-20.557
0.0046784	-27464	-23.063
0.0055047	-27469	-25.762
0.0064280	-27444	-28.579
0.0074546	-27492	-31.620
0.0085909	-27386	-34.807
0.0098431	-27441	-38.157
0.011218	-27431	-41.688
0.012722	-27366	-45.443
0.014361	-27387	-49.320
0.016143	-27366	-53.386
0.018075	-27301	-57.649
0.020162	-27346	-62.079
0.022413	-27306	-66.769
0.024834	-27326	-71.553
0.027432	-27304	-76.576
0.030215	-27197	-81.788
0.033190	-27214	-87.191
0.036364	-27155	-92.738
0.039745	-27181	-98.561
0.043339	-27168	-104.62
0.047156	-27180	-110.76
0.051201	-27162	-117.18
0.055484	-27089	-123.88
0.060011	-27119	-130.59
0.064790	-27115	-137.65
0.069830	-27029	-144.43
0.075138	-26990	-151.82
0.080722	-27005	-159.41
0.086591	-26982	-167.50
0.092751	-27008	-175.40
0.099213	-26959	-183.49
0.10598	-26933	-191.74
0.11307	-26926	-200.42
0.12048	-26906	-209.24
0.12823	-26893	-218.39
0.13631	-26897	-227.77
0.14475	-26886	-237.36
0.15355	-26887	-247.18
0.16271	-26868	-257.24
0.17226	-26809	-267.46
0.18218	-26838	-277.93
0.19250	-26822	-288.67
0.20322	-26819	-299.52
0.21436	-26788	-310.73
0.22591	-26819	-322.17
0.23789	-26792	-333.89
0.25031	-26794	-345.66
0.26318	-26792	-357.70
0.27650	-26762	-370.07
0.29029	-26751	-382.60
0.30455	-26762	-395.46
0.31930	-26768	-408.63
0.33454	-26743	-421.86
0.35028	-26745	-435.54
0.36653	-26731	-449.23
0.38330	-26726	-463.37
0.40060	-26734	-477.75
0.41844	-26718	-492.35
0.43683	-26723	-507.22
0.45578	-26718	-522.27
0.47530	-26710	-537.61
0.49539	-26722	-553.36
0.51608	-26710	-569.15
0.53735	-26708	-585.24
0.55924	-26707	-601.63
0.58174	-26705	-618.27
0.60487	-26706	-635.19
0.62863	-26696	-652.35
0.65304	-26702	-669.91
0.67811	-26703	-687.70
0.70384	-26687	-705.61
0.73025	-26695	-723.90
0.75734	-26692	-742.51
0.78513	-26690	-761.34
0.81363	-26670	-780.44
0.84284	-26666	-799.67
0.87278	-26668	-819.29
0.90345	-26663	-839.24
0.93488	-26651	-859.15
0.96705	-26595	-879.42
1.0000	8.4199e+06	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26846.990085413287
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27547	-0.28545
2.1544e-07	-27630	-0.17053
2.1715e-06	-27598	-0.27488
8.3895e-06	-27602	-0.47620
2.1888e-05	-27606	-0.79127
4.6050e-05	-27458	-1.1903
8.4561e-05	-27548	-1.7201
0.00014136	-27606	-2.3423
0.00022061	-27612	-3.0812
0.00032669	-27571	-3.9705
0.00046416	-27542	-4.9713
0.00063774	-27561	-6.1045
0.00085232	-27524	-7.3847
0.0011130	-27551	-8.8047
0.0014248	-27527	-10.390
0.0017932	-27477	-12.108
0.0022237	-27509	-13.979
0.0027216	-27491	-15.994
0.0032929	-27478	-18.202
0.0039432	-27386	-20.539
0.0046784	-27482	-23.046
0.0055047	-27401	-25.734
0.0064280	-27365	-28.584
0.0074546	-27426	-31.579
0.0085909	-27386	-34.761
0.0098431	-27353	-38.137
0.011218	-27401	-41.670
0.012722	-27390	-45.408
0.014361	-27367	-49.271
0.016143	-27348	-53.310
0.018075	-27286	-57.598
0.020162	-27284	-62.044
0.022413	-27286	-66.666
0.024834	-27303	-71.558
0.027432	-27308	-76.538
0.030215	-27291	-81.788
0.033190	-27247	-87.152
0.036364	-27165	-92.714
0.039745	-27203	-98.458
0.043339	-27134	-104.57
0.047156	-27151	-110.81
0.051201	-27168	-117.16
0.055484	-27112	-123.70
0.060011	-27163	-130.66
0.064790	-27065	-137.38
0.069830	-27041	-144.67
0.075138	-26981	-151.76
0.080722	-27013	-159.67
0.086591	-26956	-167.00
0.092751	-26943	-175.27
0.099213	-26925	-183.38
0.10598	-26932	-191.70
0.11307	-26924	-200.43
0.12048	-26921	-209.43
0.12823	-26906	-218.51
0.13631	-26884	-227.74
0.14475	-26886	-237.37
0.15355	-26888	-247.16
0.16271	-26862	-257.26
0.17226	-26873	-267.51
0.18218	-26818	-277.99
0.19250	-26839	-288.74
0.20322	-26805	-299.51
0.21436	-26823	-310.72
0.22591	-26826	-322.31
0.23789	-26784	-333.76
0.25031	-26792	-345.70
0.26318	-26792	-357.86
0.27650	-26776	-370.15
0.29029	-26769	-382.62
0.30455	-26758	-395.49
0.31930	-26761	-408.63
0.33454	-26754	-421.94
0.35028	-26750	-435.63
0.36653	-26748	-449.34
0.38330	-26729	-463.43
0.40060	-26738	-477.91
0.41844	-26742	-492.45
0.43683	-26725	-507.19
0.45578	-26721	-522.26
0.47530	-26724	-537.77
0.49539	-26721	-553.41
0.51608	-26709	-569.15
0.53735	-26713	-585.28
0.55924	-26714	-601.64
0.58174	-26706	-618.38
0.60487	-26704	-635.18
0.62863	-26708	-652.53
0.65304	-26702	-670.00
0.67811	-26698	-687.63
0.70384	-26696	-705.67
0.73025	-26689	-723.97
0.75734	-26689	-742.46
0.78513	-26690	-761.32
0.81363	-26677	-780.34
0.84284	-26670	-799.66
0.87278	-26661	-819.29
0.90345	-26631	-839.14
0.93488	-26622	-859.08
0.96705	-26377	-873.30
1.0000	-26329	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26840.773098257825
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27778	-0.36380
2.1544e-07	-27599	-0.15085
2.1715e-06	-27720	-0.25999
8.3895e-06	-27699	-0.48240
2.1888e-05	-27669	-0.80583
4.6050e-05	-27614	-1.2406
8.4561e-05	-27633	-1.7928
0.00014136	-27668	-2.4393
0.00022061	-27631	-3.1929
0.00032669	-27601	-4.0835
0.00046416	-27558	-5.0693
0.00063774	-27586	-6.1575
0.00085232	-27553	-7.4408
0.0011130	-27505	-8.8731
0.0014248	-27555	-10.408
0.0017932	-27494	-12.128
0.0022237	-27493	-13.998
0.0027216	-27520	-16.033
0.0032929	-27527	-18.222
0.0039432	-27471	-20.578
0.0046784	-27511	-23.095
0.0055047	-27435	-25.766
0.0064280	-27438	-28.618
0.0074546	-27422	-31.618
0.0085909	-27443	-34.825
0.0098431	-27382	-38.158
0.011218	-27353	-41.756
0.012722	-27436	-45.427
0.014361	-27412	-49.359
0.016143	-27371	-53.440
0.018075	-27347	-57.729
0.020162	-27372	-62.137
0.022413	-27321	-66.773
0.024834	-27320	-71.589
0.027432	-27263	-76.657
0.030215	-27325	-81.852
0.033190	-27137	-87.256
0.036364	-27303	-92.849
0.039745	-27174	-98.633
0.043339	-27215	-104.62
0.047156	-27196	-110.87
0.051201	-27182	-117.26
0.055484	-27153	-123.88
0.060011	-27070	-130.16
0.064790	-27053	-137.49
0.069830	-27044	-144.53
0.075138	-27057	-152.11
0.080722	-27005	-159.51
0.086591	-26994	-167.49
0.092751	-26969	-175.47
0.099213	-26932	-183.31
0.10598	-26928	-191.72
0.11307	-26931	-200.41
0.12048	-26913	-209.52
0.12823	-26892	-218.46
0.13631	-26887	-227.71
0.14475	-26886	-237.28
0.15355	-26866	-247.11
0.16271	-26852	-257.10
0.17226	-26863	-267.49
0.18218	-26858	-277.93
0.19250	-26835	-288.67
0.20322	-26828	-299.55
0.21436	-26812	-310.59
0.22591	-26799	-322.16
0.23789	-26793	-333.63
0.25031	-26791	-345.68
0.26318	-26784	-357.69
0.27650	-26783	-370.08
0.29029	-26770	-382.63
0.30455	-26764	-395.45
0.31930	-26767	-408.64
0.33454	-26757	-421.89
0.35028	-26752	-435.79
0.36653	-26749	-449.44
0.38330	-26725	-463.44
0.40060	-26749	-477.96
0.41844	-26740	-492.50
0.43683	-26722	-507.22
0.45578	-26731	-522.43
0.47530	-26721	-537.70
0.49539	-26711	-553.27
0.51608	-26706	-569.03
0.53735	-26717	-585.37
0.55924	-26702	-601.62
0.58174	-26698	-618.22
0.60487	-26699	-635.21
0.62863	-26703	-652.49
0.65304	-26695	-669.87
0.67811	-26697	-687.75
0.70384	-26694	-705.65
0.73025	-26698	-723.87
0.75734	-26685	-742.43
0.78513	-26686	-761.37
0.81363	-26683	-780.31
0.84284	-26665	-799.64
0.87278	-26653	-819.29
0.90345	-26653	-839.05
0.93488	-26592	-859.01
0.96705	-26524	-878.04
1.0000	-26414	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26847.30459425374
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27553	-0.35359
2.1544e-07	-27543	-0.16640
2.1715e-06	-27577	-0.27727
8.3895e-06	-27579	-0.48594
2.1888e-05	-27626	-0.79919
4.6050e-05	-27659	-1.2139
8.4561e-05	-27514	-1.7327
0.00014136	-27550	-2.3837
0.00022061	-27672	-3.1250
0.00032669	-27554	-3.9836
0.00046416	-27598	-4.9952
0.00063774	-27513	-6.1417
0.00085232	-27490	-7.4085
0.0011130	-27525	-8.8442
0.0014248	-27494	-10.404
0.0017932	-27491	-12.107
0.0022237	-27500	-14.002
0.0027216	-27394	-16.024
0.0032929	-27386	-18.188
0.0039432	-27442	-20.554
0.0046784	-27399	-23.061
0.0055047	-27474	-25.751
0.0064280	-27404	-28.604
0.0074546	-27427	-31.609
0.0085909	-27396	-34.819
0.0098431	-27390	-38.186
0.011218	-27394	-41.688
0.012722	-27423	-45.420
0.014361	-27328	-49.329
0.016143	-27361	-53.394
0.018075	-27359	-57.604
0.020162	-27285	-62.086
0.022413	-27248	-66.741
0.024834	-27273	-71.523
0.027432	-27329	-76.567
0.030215	-27247	-81.797
0.033190	-27251	-87.201
0.036364	-27266	-92.829
0.039745	-27207	-98.576
0.043339	-27189	-104.66
0.047156	-27161	-110.84
0.051201	-27168	-117.25
0.055484	-27117	-123.83
0.060011	-27126	-130.64
0.064790	-27096	-137.54
0.069830	-27063	-144.68
0.075138	-27051	-152.17
0.080722	-26975	-159.35
0.086591	-27001	-167.31
0.092751	-26929	-175.05
0.099213	-26932	-183.42
0.10598	-26939	-191.83
0.11307	-26915	-200.41
0.12048	-26918	-209.35
0.12823	-26856	-218.43
0.13631	-26882	-227.77
0.14475	-26897	-237.38
0.15355	-26865	-247.21
0.16271	-26872	-257.20
0.17226	-26838	-267.47
0.18218	-26826	-277.98
0.19250	-26822	-288.59
0.20322	-26811	-299.57
0.21436	-26817	-310.69
0.22591	-26814	-322.28
0.23789	-26785	-333.82
0.25031	-26809	-345.82
0.26318	-26792	-357.81
0.27650	-26784	-370.22
0.29029	-26768	-382.58
0.30455	-26764	-395.52
0.31930	-26748	-408.53
0.33454	-26756	-422.00
0.35028	-26740	-435.44
0.36653	-26752	-449.45
0.38330	-26738	-463.57
0.40060	-26734	-477.90
0.41844	-26731	-492.41
0.43683	-26730	-507.17
0.45578	-26727	-522.34
0.47530	-26723	-537.79
0.49539	-26708	-553.38
0.51608	-26708	-569.14
0.53735	-26715	-585.31
0.55924	-26706	-601.68
0.58174	-26707	-618.39
0.60487	-26706	-635.25
0.62863	-26698	-652.45
0.65304	-26701	-669.99
0.67811	-26697	-687.65
0.70384	-26698	-705.65
0.73025	-26689	-723.93
0.75734	-26698	-742.49
0.78513	-26690	-761.36
0.81363	-26679	-780.34
0.84284	-26675	-799.69
0.87278	-26662	-819.15
0.90345	-26640	-839.11
0.93488	-26636	-859.12
0.96705	-26549	-878.16
1.0000	1.4682e+13	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26847.494662445504
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27894	-0.31164
2.1544e-07	-27601	-0.13333
2.1715e-06	-27680	-0.26219
8.3895e-06	-27750	-0.47970
2.1888e-05	-27807	-0.81648
4.6050e-05	-27767	-1.2764
8.4561e-05	-27698	-1.8336
0.00014136	-27654	-2.4925
0.00022061	-27686	-3.2909
0.00032669	-27726	-4.1901
0.00046416	-27647	-5.1755
0.00063774	-27711	-6.2658
0.00085232	-27640	-7.5377
0.0011130	-27632	-8.9379
0.0014248	-27560	-10.471
0.0017932	-27612	-12.213
0.0022237	-27545	-14.067
0.0027216	-27608	-16.080
0.0032929	-27508	-18.256
0.0039432	-27571	-20.626
0.0046784	-27533	-23.138
0.0055047	-27558	-25.797
0.0064280	-27560	-28.661
0.0074546	-27493	-31.672
0.0085909	-27511	-34.865
0.0098431	-27486	-38.225
0.011218	-27481	-41.787
0.012722	-27409	-45.495
0.014361	-27492	-49.436
0.016143	-27465	-53.538
0.018075	-27372	-57.800
0.020162	-27382	-62.278
0.022413	-27382	-66.924
0.024834	-27367	-71.753
0.027432	-27315	-76.756
0.030215	-27319	-82.031
0.033190	-27282	-87.464
0.036364	-27303	-93.046
0.039745	-27250	-98.839
0.043339	-27217	-104.85
0.047156	-27153	-111.07
0.051201	-27210	-117.37
0.055484	-27124	-123.94
0.060011	-27141	-130.71
0.064790	-27091	-137.67
0.069830	-27087	-144.70
0.075138	-27088	-152.21
0.080722	-27026	-159.68
0.086591	-27022	-167.49
0.092751	-26979	-175.29
0.099213	-26974	-183.56
0.10598	-26933	-191.87
0.11307	-26874	-200.54
0.12048	-26881	-209.53
0.12823	-26836	-218.49
0.13631	-26891	-227.96
0.14475	-26891	-237.55
0.15355	-26871	-247.30
0.16271	-26845	-257.15
0.17226	-26823	-267.27
0.18218	-26846	-277.88
0.19250	-26820	-288.52
0.20322	-26798	-299.38
0.21436	-26760	-310.45
0.22591	-26768	-321.92
0.23789	-26761	-333.44
0.25031	-26761	-345.33
0.26318	-26747	-357.33
0.27650	-26746	-369.72
0.29029	-26746	-382.30
0.30455	-26750	-395.28
0.31930	-26744	-408.34
0.33454	-26725	-421.45
0.35028	-26723	-435.02
0.36653	-26712	-448.89
0.38330	-26714	-462.97
0.40060	-26707	-477.38
0.41844	-26710	-491.87
0.43683	-26702	-506.76
0.45578	-26707	-521.90
0.47530	-26702	-537.21
0.49539	-26700	-552.83
0.51608	-26698	-568.70
0.53735	-26698	-584.94
0.55924	-26693	-601.35
0.58174	-26684	-617.95
0.60487	-26697	-634.94
0.62863	-26694	-652.12
0.65304	-26695	-669.68
0.67811	-26689	-687.36
0.70384	-26684	-705.42
0.73025	-26677	-723.65
0.75734	-26679	-742.17
0.78513	-26679	-761.04
0.81363	-26676	-780.08
0.84284	-26671	-799.41
0.87278	-26657	-819.01
0.90345	-26643	-838.84
0.93488	-26650	-858.85
0.96705	-26571	-878.18
1.0000	-26423	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26840.26385594839
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27696	-0.31134
2.1544e-07	-27776	-0.15196
2.1715e-06	-27875	-0.26159
8.3895e-06	-27612	-0.48677
2.1888e-05	-27704	-0.82315
4.6050e-05	-27786	-1.2754
8.4561e-05	-27723	-1.8388
0.00014136	-27633	-2.5109
0.00022061	-27769	-3.2827
0.00032669	-27725	-4.1611
0.00046416	-27581	-5.1127
0.00063774	-27667	-6.3061
0.00085232	-27628	-7.5342
0.0011130	-27693	-8.9219
0.0014248	-27628	-10.480
0.0017932	-27630	-12.209
0.0022237	-27578	-14.077
0.0027216	-27590	-16.096
0.0032929	-27587	-18.292
0.0039432	-27533	-20.626
0.0046784	-27590	-23.168
0.0055047	-27570	-25.805
0.0064280	-27555	-28.671
0.0074546	-27518	-31.694
0.0085909	-27520	-34.906
0.0098431	-27455	-38.251
0.011218	-27466	-41.812
0.012722	-27363	-45.502
0.014361	-27462	-49.460
0.016143	-27437	-53.553
0.018075	-27418	-57.838
0.020162	-27443	-62.310
0.022413	-27387	-66.966
0.024834	-27359	-71.760
0.027432	-27311	-76.745
0.030215	-27294	-82.015
0.033190	-27352	-87.512
0.036364	-27288	-93.122
0.039745	-27258	-98.780
0.043339	-27186	-104.81
0.047156	-27178	-111.02
0.051201	-27167	-117.32
0.055484	-27039	-123.76
0.060011	-27077	-130.56
0.064790	-27057	-137.48
0.069830	-27021	-144.61
0.075138	-27022	-151.99
0.080722	-26994	-159.40
0.086591	-26973	-167.27
0.092751	-26951	-175.21
0.099213	-26930	-183.41
0.10598	-26941	-192.03
0.11307	-26898	-200.61
0.12048	-26927	-209.48
0.12823	-26878	-218.52
0.13631	-26909	-227.98
0.14475	-26875	-237.35
0.15355	-26836	-247.13
0.16271	-26865	-257.23
0.17226	-26846	-267.54
0.18218	-26812	-277.78
0.19250	-26824	-288.58
0.20322	-26785	-299.46
0.21436	-26771	-310.51
0.22591	-26793	-321.93
0.23789	-26775	-333.54
0.25031	-26756	-345.27
0.26318	-26749	-357.44
0.27650	-26732	-369.75
0.29029	-26722	-382.23
0.30455	-26736	-395.15
0.31930	-26732	-408.20
0.33454	-26718	-421.45
0.35028	-26718	-435.05
0.36653	-26711	-448.88
0.38330	-26702	-462.99
0.40060	-26709	-477.21
0.41844	-26711	-491.84
0.43683	-26707	-506.73
0.45578	-26707	-521.89
0.47530	-26704	-537.22
0.49539	-26702	-552.84
0.51608	-26694	-568.81
0.53735	-26700	-584.88
0.55924	-26697	-601.30
0.58174	-26697	-618.03
0.60487	-26695	-635.00
0.62863	-26694	-652.15
0.65304	-26686	-669.65
0.67811	-26688	-687.37
0.70384	-26686	-705.37
0.73025	-26684	-723.64
0.75734	-26681	-742.20
0.78513	-26681	-760.99
0.81363	-26676	-780.07
0.84284	-26671	-799.43
0.87278	-26662	-819.01
0.90345	-26647	-838.87
0.93488	-26629	-858.96
0.96705	-26573	-878.19
1.0000	-26371	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26839.203195755286
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27810	-0.34377
2.1544e-07	-27695	-0.17984
2.1715e-06	-27487	-0.27571
8.3895e-06	-27649	-0.48734
2.1888e-05	-27740	-0.80323
4.6050e-05	-27626	-1.2271
8.4561e-05	-27637	-1.7627
0.00014136	-27649	-2.3976
0.00022061	-27635	-3.1380
0.00032669	-27654	-4.0200
0.00046416	-27710	-5.0306
0.00063774	-27631	-6.1551
0.00085232	-27614	-7.4321
0.0011130	-27673	-8.8510
0.0014248	-27581	-10.421
0.0017932	-27613	-12.145
0.0022237	-27528	-14.036
0.0027216	-27552	-16.052
0.0032929	-27582	-18.266
0.0039432	-27544	-20.585
0.0046784	-27527	-23.107
0.0055047	-27552	-25.790
0.0064280	-27563	-28.662
0.0074546	-27460	-31.698
0.0085909	-27521	-34.885
0.0098431	-27465	-38.236
0.011218	-27498	-41.803
0.012722	-27453	-45.534
0.014361	-27501	-49.453
0.016143	-27466	-53.543
0.018075	-27449	-57.838
0.020162	-27419	-62.321
0.022413	-27384	-66.950
0.024834	-27383	-71.811
0.027432	-27273	-76.860
0.030215	-27346	-82.121
0.033190	-27283	-87.497
0.036364	-27281	-93.068
0.039745	-27245	-98.953
0.043339	-27191	-104.78
0.047156	-27226	-111.14
0.051201	-27194	-117.48
0.055484	-27176	-124.04
0.060011	-27142	-130.85
0.064790	-27145	-137.79
0.069830	-27130	-144.96
0.075138	-27019	-152.20
0.080722	-27040	-159.68
0.086591	-27000	-167.22
0.092751	-26984	-175.54
0.099213	-26952	-183.54
0.10598	-26949	-191.89
0.11307	-26925	-200.61
0.12048	-26889	-209.38
0.12823	-26885	-218.52
0.13631	-26893	-227.92
0.14475	-26869	-237.51
0.15355	-26834	-247.28
0.16271	-26844	-257.12
0.17226	-26812	-267.46
0.18218	-26830	-277.85
0.19250	-26796	-288.52
0.20322	-26799	-299.52
0.21436	-26783	-310.58
0.22591	-26764	-321.91
0.23789	-26773	-333.41
0.25031	-26769	-345.42
0.26318	-26760	-357.53
0.27650	-26749	-369.72
0.29029	-26747	-382.37
0.30455	-26734	-395.10
0.31930	-26740	-408.26
0.33454	-26731	-421.46
0.35028	-26724	-435.27
0.36653	-26731	-449.02
0.38330	-26716	-462.98
0.40060	-26717	-477.47
0.41844	-26714	-492.00
0.43683	-26710	-506.85
0.45578	-26712	-521.95
0.47530	-26703	-537.31
0.49539	-26706	-552.93
0.51608	-26694	-568.84
0.53735	-26698	-584.99
0.55924	-26702	-601.39
0.58174	-26701	-618.08
0.60487	-26698	-635.10
0.62863	-26701	-652.23
0.65304	-26694	-669.69
0.67811	-26694	-687.46
0.70384	-26684	-705.47
0.73025	-26689	-723.75
0.75734	-26680	-742.28
0.78513	-26680	-761.15
0.81363	-26672	-780.18
