PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27338	-0.0059586
2.1544e-07	-27357	-0.054142
2.1715e-06	-27419	-0.17204
8.3895e-06	-27357	-0.37339
2.1888e-05	-27329	-0.66831
4.6050e-05	-27360	-1.0652
8.4561e-05	-27380	-1.5715
0.00014136	-27374	-2.1917
0.00022061	-27319	-2.9346
0.00032669	-27342	-3.8037
0.00046416	-27330	-4.8004
0.00063774	-27389	-5.9332
0.00085232	-27379	-7.2066
0.0011130	-27353	-8.6203
0.0014248	-27358	-10.188
0.0017932	-27391	-11.898
0.0022237	-27394	-13.760
0.0027216	-27341	-15.787
0.0032929	-27353	-17.962
0.0039432	-27331	-20.307
0.0046784	-27310	-22.808
0.0055047	-27354	-25.483
0.0064280	-27279	-28.315
0.0074546	-27281	-31.341
0.0085909	-27297	-34.525
0.0098431	-27283	-37.895
0.011218	-27319	-41.434
0.012722	-27244	-45.136
0.014361	-27295	-49.070
0.016143	-27295	-53.132
0.018075	-27237	-57.415
0.020162	-27257	-61.857
0.022413	-27248	-66.505
0.024834	-27231	-71.319
0.027432	-27205	-76.354
0.030215	-27177	-81.558
0.033190	-27169	-86.963
0.036364	-27140	-92.479
0.039745	-27101	-98.279
0.043339	-27131	-104.31
0.047156	-27072	-110.44
0.051201	-27065	-116.83
0.055484	-27032	-123.40
0.060011	-27073	-130.24
0.064790	-26996	-136.99
0.069830	-27041	-144.29
0.075138	-26964	-151.69
0.080722	-26953	-159.18
0.086591	-26947	-166.99
0.092751	-26964	-174.99
0.099213	-26956	-183.34
0.10598	-26927	-191.71
0.11307	-26910	-200.39
0.12048	-26894	-209.17
0.12823	-26894	-218.43
0.13631	-26876	-227.64
0.14475	-26854	-237.20
0.15355	-26870	-247.16
0.16271	-26856	-257.12
0.17226	-26826	-267.33
0.18218	-26830	-277.80
0.19250	-26831	-288.42
0.20322	-26819	-299.41
0.21436	-26797	-310.69
0.22591	-26793	-322.04
0.23789	-26801	-333.62
0.25031	-26788	-345.57
0.26318	-26764	-357.49
0.27650	-26749	-369.88
0.29029	-26755	-382.45
0.30455	-26755	-395.41
0.31930	-26749	-408.40
0.33454	-26745	-421.73
0.35028	-26748	-435.52
0.36653	-26735	-449.12
0.38330	-26736	-463.27
0.40060	-26734	-477.70
0.41844	-26735	-492.25
0.43683	-26732	-507.13
0.45578	-26733	-522.32
0.47530	-26729	-537.66
0.49539	-26727	-553.34
0.51608	-26717	-569.26
0.53735	-26723	-585.44
0.55924	-26722	-601.83
0.58174	-26722	-618.58
0.60487	-26718	-635.57
0.62863	-26720	-652.79
0.65304	-26719	-670.27
0.67811	-26705	-688.06
0.70384	-26718	-706.07
0.73025	-26713	-724.34
0.75734	-26715	-742.92
0.78513	-26707	-761.79
0.81363	-26711	-780.86
0.84284	-26709	-800.23
0.87278	-26697	-819.90
0.90345	-26702	-839.82
0.93488	-26710	-860.02
0.96705	-26702	-880.48
1.0000	-26554	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26839.419489245243
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-27620	-0.0081504
2.1544e-07	-27590	-0.058586
2.1715e-06	-27516	-0.17883
8.3895e-06	-27514	-0.38405
2.1888e-05	-27578	-0.68807
4.6050e-05	-27592	-1.0947
8.4561e-05	-27565	-1.6069
0.00014136	-27483	-2.2456
0.00022061	-27562	-3.0031
0.00032669	-27572	-3.8875
0.00046416	-27550	-4.9012
0.00063774	-27522	-6.0519
0.00085232	-27487	-7.3417
0.0011130	-27551	-8.7684
0.0014248	-27538	-10.346
0.0017932	-27560	-12.077
0.0022237	-27552	-13.946
0.0027216	-27555	-15.997
0.0032929	-27480	-18.207
0.0039432	-27481	-20.539
0.0046784	-27472	-23.046
0.0055047	-27478	-25.744
0.0064280	-27453	-28.597
0.0074546	-27479	-31.611
0.0085909	-27451	-34.793
0.0098431	-27466	-38.186
0.011218	-27458	-41.733
0.012722	-27449	-45.445
0.014361	-27358	-49.367
0.016143	-27386	-53.460
0.018075	-27421	-57.747
0.020162	-27363	-62.194
0.022413	-27341	-66.863
0.024834	-27364	-71.698
0.027432	-27315	-76.715
0.030215	-27303	-81.925
0.033190	-27203	-87.331
0.036364	-27235	-92.917
0.039745	-27203	-98.758
0.043339	-27210	-104.72
0.047156	-27210	-110.89
0.051201	-27166	-117.25
0.055484	-27152	-123.81
0.060011	-27021	-130.53
0.064790	-27099	-137.54
0.069830	-27063	-144.61
0.075138	-27028	-152.02
