PathParameter	MaxPathLikelihood	MLContribution
0.0000	-32565	-0.0071597
2.1544e-07	-32613	-0.065063
2.1715e-06	-32556	-0.20684
8.3895e-06	-32434	-0.44868
2.1888e-05	-32598	-0.80375
4.6050e-05	-32338	-1.2801
8.4561e-05	-32634	-1.8867
0.00014136	-32532	-2.6362
0.00022061	-32589	-3.5297
0.00032669	-32683	-4.5666
0.00046416	-32569	-5.7714
0.00063774	-32567	-7.1281
0.00085232	-32302	-8.6432
0.0011130	-32282	-10.345
0.0014248	-32636	-12.226
0.0017932	-32352	-14.277
0.0022237	-32402	-16.486
0.0027216	-32362	-18.905
0.0032929	-32415	-21.464
0.0039432	-32122	-24.272
0.0046784	-32239	-27.242
0.0055047	-32211	-30.444
0.0064280	-32021	-33.762
0.0074546	-32116	-37.329
0.0085909	-31951	-40.960
0.0098431	-31788	-44.945
0.011218	-31918	-49.070
0.012722	-31831	-53.159
0.014361	-31869	-57.902
0.016143	-31529	-62.196
0.018075	-31634	-67.223
0.020162	-31393	-72.088
0.022413	-31084	-76.814
0.024834	-30896	-82.301
0.027432	-31030	-87.739
0.030215	-30544	-92.859
0.033190	-30453	-98.559
0.036364	-30506	-104.64
0.039745	-30251	-110.87
0.043339	-30089	-116.98
0.047156	-30098	-123.56
0.051201	-29971	-130.06
0.055484	-29707	-136.33
0.060011	-29696	-143.78
0.064790	-29722	-151.29
0.069830	-29505	-158.26
0.075138	-29469	-166.32
0.080722	-29454	-174.15
0.086591	-29356	-182.40
0.092751	-29314	-190.77
0.099213	-29300	-199.67
0.10598	-29218	-208.36
0.11307	-29157	-217.73
0.12048	-29121	-227.19
0.12823	-29106	-236.80
0.13631	-29051	-246.70
0.14475	-29040	-256.83
0.15355	-29023	-267.33
0.16271	-28927	-277.76
0.17226	-28976	-288.84
0.18218	-28945	-300.04
0.19250	-28910	-311.32
0.20322	-28903	-323.10
0.21436	-28862	-334.89
0.22591	-28861	-347.09
0.23789	-28847	-359.66
0.25031	-28814	-371.89
0.26318	-28805	-384.96
0.27650	-28793	-398.29
0.29029	-28775	-411.46
0.30455	-28749	-425.16
0.31930	-28741	-439.21
0.33454	-28738	-453.35
0.35028	-28714	-467.74
0.36653	-28698	-482.55
0.38330	-28711	-497.71
0.40060	-28684	-512.91
0.41844	-28690	-528.49
0.43683	-28694	-544.79
0.45578	-28666	-560.61
0.47530	-28661	-577.00
0.49539	-28655	-593.73
0.51608	-28660	-610.66
0.53735	-28658	-627.99
0.55924	-28644	-645.51
0.58174	-28647	-663.36
0.60487	-28641	-681.59
0.62863	-28645	-700.13
0.65304	-28642	-718.66
0.67811	-28643	-737.69
0.70384	-28640	-757.01
0.73025	-28632	-776.55
0.75734	-28632	-796.45
0.78513	-28629	-816.65
0.81363	-28615	-836.95
0.84284	-28629	-857.78
0.87278	-28622	-878.79
0.90345	-28616	-900.14
0.93488	-28622	-921.74
0.96705	-28613	-943.55
1.0000	-28607	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28983.300730811425
