PathParameter	MaxPathLikelihood	MLContribution
0.0000	-31962	-0.0070736
2.1544e-07	-32083	-0.064239
2.1715e-06	-32166	-0.20413
8.3895e-06	-32119	-0.44315
2.1888e-05	-32041	-0.79375
4.6050e-05	-32122	-1.2657
8.4561e-05	-32238	-1.8662
0.00014136	-32246	-2.6023
0.00022061	-32179	-3.4820
0.00032669	-31945	-4.5066
0.00046416	-32073	-5.6927
0.00063774	-32170	-7.0483
0.00085232	-32154	-8.5477
0.0011130	-32193	-10.221
0.0014248	-32202	-12.084
0.0017932	-32150	-14.104
0.0022237	-32102	-16.309
0.0027216	-31949	-18.676
0.0032929	-32092	-21.232
0.0039432	-31905	-23.969
0.0046784	-31927	-26.920
0.0055047	-31867	-30.033
0.0064280	-31797	-33.362
0.0074546	-31921	-36.911
0.0085909	-31818	-40.627
0.0098431	-31504	-44.435
0.011218	-31503	-48.562
0.012722	-31589	-52.750
0.014361	-31488	-57.277
0.016143	-31180	-61.614
0.018075	-31006	-66.334
0.020162	-31180	-71.475
0.022413	-30954	-76.379
0.024834	-30946	-81.825
0.027432	-30676	-87.270
0.030215	-30587	-92.531
0.033190	-30414	-98.350
0.036364	-30198	-103.93
0.039745	-30132	-110.37
0.043339	-30169	-116.60
0.047156	-30052	-123.14
0.051201	-29837	-129.56
0.055484	-29738	-136.36
0.060011	-29675	-143.66
0.064790	-29635	-151.33
0.069830	-29579	-158.74
0.075138	-29523	-166.23
0.080722	-29358	-173.73
0.086591	-29408	-182.71
0.092751	-29285	-190.70
0.099213	-29289	-199.68
0.10598	-29248	-208.69
0.11307	-29203	-217.90
0.12048	-29163	-227.22
0.12823	-29130	-237.01
0.13631	-29134	-247.03
0.14475	-29074	-257.16
0.15355	-29071	-267.81
0.16271	-29028	-278.26
0.17226	-29013	-289.25
0.18218	-28976	-300.48
0.19250	-28946	-311.88
0.20322	-28949	-323.60
0.21436	-28875	-335.23
0.22591	-28885	-347.45
0.23789	-28883	-360.05
0.25031	-28858	-372.61
0.26318	-28828	-385.61
0.27650	-28855	-398.95
0.29029	-28822	-412.27
0.30455	-28800	-425.86
0.31930	-28791	-440.07
0.33454	-28765	-453.99
0.35028	-28765	-468.52
0.36653	-28755	-483.59
0.38330	-28732	-498.47
0.40060	-28722	-513.73
0.41844	-28726	-529.27
0.43683	-28719	-545.12
0.45578	-28695	-561.17
0.47530	-28701	-577.55
0.49539	-28691	-594.44
0.51608	-28688	-611.39
0.53735	-28681	-628.68
0.55924	-28690	-646.43
0.58174	-28675	-664.05
0.60487	-28672	-682.22
0.62863	-28665	-700.61
0.65304	-28666	-719.34
0.67811	-28666	-738.40
0.70384	-28662	-757.69
0.73025	-28659	-777.29
0.75734	-28663	-797.21
0.78513	-28656	-817.32
0.81363	-28656	-837.84
0.84284	-28655	-858.57
0.87278	-28652	-879.70
0.90345	-28648	-900.94
0.93488	-28650	-922.63
0.96705	-28644	-944.53
1.0000	-28645	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -29001.588859779808
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-35014	-0.0077038
2.1544e-07	-34926	-0.070000
2.1715e-06	-34840	-0.22252
8.3895e-06	-34901	-0.48300
2.1888e-05	-34752	-0.86350
4.6050e-05	-34949	-1.3784
8.4561e-05	-34877	-2.0309
0.00014136	-34827	-2.8340
0.00022061	-34779	-3.7926
0.00032669	-34877	-4.9171
0.00046416	-34881	-6.2013
0.00063774	-34917	-7.6669
0.00085232	-34742	-9.3006
0.0011130	-34685	-11.113
0.0014248	-34842	-13.134
0.0017932	-34383	-15.329
0.0022237	-34774	-17.726
0.0027216	-34570	-20.294
0.0032929	-34508	-23.079
0.0039432	-34560	-26.042
0.0046784	-34321	-29.235
0.0055047	-34490	-32.579
0.0064280	-34393	-36.142
0.0074546	-34347	-39.887
0.0085909	-34171	-43.797
0.0098431	-34009	-47.990
0.011218	-33830	-52.243
0.012722	-33685	-56.616
0.014361	-33641	-61.332
0.016143	-33113	-66.147
0.018075	-33267	-71.142
0.020162	-33066	-76.156
0.022413	-32650	-81.282
0.024834	-32279	-86.480
0.027432	-32182	-91.727
0.030215	-31990	-97.370
0.033190	-31743	-103.12
0.036364	-31700	-109.10
0.039745	-31145	-114.49
0.043339	-30776	-120.72
0.047156	-30896	-127.46
0.051201	-30704	-133.67
0.055484	-30325	-139.70
0.060011	-30277	-146.74
0.064790	-29982	-153.46
0.069830	-29862	-160.91
0.075138	-29721	-168.14
0.080722	-29689	-176.60
0.086591	-29507	-184.06
0.092751	-29546	-192.68
0.099213	-29450	-201.01
0.10598	-29324	-209.57
0.11307	-29315	-218.89
0.12048	-29197	-227.97
0.12823	-29229	-237.83
0.13631	-29174	-247.52
0.14475	-29106	-257.84
0.15355	-29105	-267.99
0.16271	-28995	-278.44
0.17226	-28997	-289.24
0.18218	-28910	-300.26
0.19250	-28928	-311.66
0.20322	-28909	-323.29
0.21436	-28865	-335.19
0.22591	-28873	-347.24
0.23789	-28830	-359.55
0.25031	-28824	-372.17
0.26318	-28809	-385.08
0.27650	-28774	-398.35
0.29029	-28769	-411.59
0.30455	-28742	-425.24
0.31930	-28731	-439.07
0.33454	-28710	-453.30
0.35028	-28709	-467.74
0.36653	-28689	-482.49
0.38330	-28683	-497.50
0.40060	-28674	-512.67
0.41844	-28674	-528.39
0.43683	-28660	-544.34
0.45578	-28669	-560.48
