PathParameter	MaxPathLikelihood	MLContribution
0.0000	-32599	-0.0071922
2.1544e-07	-32532	-0.065225
2.1715e-06	-32530	-0.20748
8.3895e-06	-32400	-0.45025
2.1888e-05	-32587	-0.80570
4.6050e-05	-32416	-1.2846
8.4561e-05	-32603	-1.8938
0.00014136	-32532	-2.6442
0.00022061	-32286	-3.5402
0.00032669	-32481	-4.5830
0.00046416	-32470	-5.7826
0.00063774	-32408	-7.1470
0.00085232	-32386	-8.6804
0.0011130	-32436	-10.379
0.0014248	-32434	-12.256
0.0017932	-32460	-14.286
0.0022237	-32335	-16.511
0.0027216	-32280	-18.896
0.0032929	-32221	-21.510
0.0039432	-32117	-24.199
0.0046784	-32021	-27.268
0.0055047	-32193	-30.392
0.0064280	-32164	-33.649
0.0074546	-31792	-37.200
0.0085909	-32045	-40.849
0.0098431	-31670	-44.717
0.011218	-31788	-48.903
0.012722	-31796	-53.168
0.014361	-31653	-57.501
0.016143	-31230	-62.101
0.018075	-31547	-66.928
0.020162	-31257	-71.807
0.022413	-31222	-76.902
0.024834	-30666	-81.823
0.027432	-30884	-87.518
0.030215	-30415	-92.790
0.033190	-30503	-98.442
0.036364	-30240	-104.56
0.039745	-30229	-110.68
0.043339	-30059	-116.86
0.047156	-30130	-123.56
0.051201	-30012	-130.37
0.055484	-29771	-136.56
0.060011	-29804	-143.87
0.064790	-29625	-151.18
0.069830	-29558	-158.38
0.075138	-29519	-166.45
0.080722	-29454	-174.54
0.086591	-29420	-182.56
0.092751	-29289	-190.98
0.099213	-29288	-199.98
0.10598	-29259	-208.96
0.11307	-29269	-218.34
0.12048	-29210	-227.54
0.12823	-29121	-237.02
0.13631	-29080	-247.06
0.14475	-29045	-257.04
0.15355	-29083	-267.74
0.16271	-29025	-278.33
0.17226	-28966	-289.07
0.18218	-28942	-300.34
0.19250	-28921	-311.57
0.20322	-28903	-323.35
0.21436	-28884	-335.07
0.22591	-28865	-347.33
0.23789	-28847	-359.51
0.25031	-28812	-372.07
0.26318	-28841	-385.29
0.27650	-28814	-398.43
0.29029	-28779	-411.73
0.30455	-28786	-425.65
0.31930	-28728	-439.27
0.33454	-28734	-453.45
0.35028	-28724	-467.97
0.36653	-28689	-482.68
0.38330	-28685	-497.50
0.40060	-28673	-512.89
0.41844	-28686	-528.58
0.43683	-28653	-544.32
0.45578	-28662	-560.48
0.47530	-28647	-576.81
0.49539	-28649	-593.44
0.51608	-28645	-610.54
0.53735	-28633	-627.69
0.55924	-28634	-645.32
0.58174	-28628	-663.13
0.60487	-28617	-681.17
