PathParameter	MaxPathLikelihood	MLContribution
0.0000	-32348	-0.0071669
2.1544e-07	-32445	-0.065036
2.1715e-06	-32532	-0.20713
8.3895e-06	-32520	-0.44948
2.1888e-05	-32583	-0.80400
4.6050e-05	-32534	-1.2819
8.4561e-05	-32408	-1.8897
0.00014136	-32342	-2.6380
0.00022061	-32464	-3.5261
0.00032669	-32349	-4.5699
0.00046416	-32550	-5.7757
0.00063774	-32435	-7.1287
0.00085232	-32310	-8.6525
0.0011130	-32455	-10.367
0.0014248	-32437	-12.211
0.0017932	-32571	-14.312
0.0022237	-32476	-16.526
0.0027216	-32262	-18.911
0.0032929	-32143	-21.503
0.0039432	-32322	-24.274
0.0046784	-32175	-27.215
0.0055047	-32361	-30.436
0.0064280	-32274	-33.761
0.0074546	-31973	-37.231
0.0085909	-31937	-40.918
0.0098431	-31901	-44.770
0.011218	-31418	-48.717
0.012722	-31712	-53.220
0.014361	-31537	-57.615
0.016143	-31429	-62.120
0.018075	-31574	-66.972
0.020162	-31209	-71.750
0.022413	-31096	-76.981
0.024834	-31025	-82.142
0.027432	-30875	-87.695
0.030215	-30592	-93.078
0.033190	-30678	-98.813
0.036364	-30291	-104.36
0.039745	-30235	-110.52
0.043339	-30124	-117.03
0.047156	-29989	-123.20
0.051201	-30015	-130.49
0.055484	-29706	-136.39
0.060011	-29731	-143.86
0.064790	-29596	-150.95
0.069830	-29577	-158.77
0.075138	-29533	-166.33
0.080722	-29541	-174.62
0.086591	-29302	-182.66
0.092751	-29319	-191.04
0.099213	-29289	-199.80
0.10598	-29264	-208.63
0.11307	-29200	-217.98
0.12048	-29107	-227.40
0.12823	-29174	-237.18
0.13631	-29147	-247.24
0.14475	-29069	-257.18
0.15355	-29032	-267.69
0.16271	-29031	-278.49
0.17226	-28958	-289.03
0.18218	-28966	-300.25
0.19250	-28949	-311.72
0.20322	-28914	-323.38
0.21436	-28907	-335.15
0.22591	-28860	-347.47
0.23789	-28849	-359.75
0.25031	-28824	-372.27
0.26318	-28844	-385.28
0.27650	-28796	-398.46
0.29029	-28772	-411.66
0.30455	-28754	-425.45
0.31930	-28758	-439.60
0.33454	-28753	-453.87
0.35028	-28731	-468.22
0.36653	-28705	-482.68
0.38330	-28701	-497.55
0.40060	-28679	-513.07
0.41844	-28679	-528.37
0.43683	-28647	-544.13
0.45578	-28650	-560.35
0.47530	-28635	-576.60
0.49539	-28638	-593.44
0.51608	-28632	-610.41
0.53735	-28628	-627.52
0.55924	-28618	-645.11
0.58174	-28628	-662.93
0.60487	-28623	-681.03
0.62863	-28616	-699.34
0.65304	-28601	-717.98
0.67811	-28601	-736.93
0.70384	-28601	-756.13
0.73025	-28593	-775.69
0.75734	-28595	-795.50
0.78513	-28595	-815.66
0.81363	-28586	-836.03
0.84284	-28590	-856.69
0.87278	-28579	-877.60
0.90345	-28578	-898.90
0.93488	-28576	-920.38
0.96705	-28575	-942.22
1.0000	-28569	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28974.11591356865
