PathParameter	MaxPathLikelihood	MLContribution
0.0000	-74465	-0.020006
2.1544e-07	-77544	-0.18112
2.1715e-06	-71293	-0.57488
8.3895e-06	-76818	-1.2551
2.1888e-05	-76298	-2.2164
4.6050e-05	-76917	-3.5286
8.4561e-05	-75510	-5.1532
0.00014136	-72375	-7.0032
0.00022061	-62083	-9.0394
0.00032669	-62267	-11.054
0.00046416	-58950	-13.010
0.00063774	-54231	-14.378
0.00085232	-42234	-14.233
0.0011130	-38614	-14.474
0.0014248	-33637	-14.919
0.0017932	-33996	-16.158
0.0022237	-33326	-17.719
0.0027216	-33119	-19.990
0.0032929	-33187	-22.418
0.0039432	-32970	-25.242
0.0046784	-32922	-27.951
0.0055047	-32959	-31.069
0.0064280	-32993	-34.496
0.0074546	-32874	-38.071
0.0085909	-32787	-41.894
0.0098431	-32888	-45.938
0.011218	-32811	-50.159
0.012722	-32657	-54.550
0.014361	-32714	-59.100
0.016143	-32649	-63.971
0.018075	-32499	-68.940
0.020162	-32491	-74.198
0.022413	-32546	-79.672
0.024834	-32431	-85.348
0.027432	-32468	-91.294
0.030215	-32367	-97.203
0.033190	-32406	-103.65
0.036364	-32409	-110.39
0.039745	-32380	-117.17
0.043339	-32346	-124.33
0.047156	-32330	-131.63
0.051201	-32233	-139.17
0.055484	-32262	-147.06
0.060011	-32197	-155.04
0.064790	-32174	-163.35
0.069830	-32172	-171.86
0.075138	-32123	-180.78
0.080722	-32039	-189.60
0.086591	-32125	-198.95
0.092751	-32019	-208.43
0.099213	-32035	-218.13
0.10598	-31994	-228.08
0.11307	-31946	-238.28
0.12048	-31959	-248.80
0.12823	-31858	-259.42
0.13631	-31904	-270.43
0.14475	-31873	-281.54
0.15355	-31834	-293.21
0.16271	-31806	-305.05
0.17226	-31786	-316.85
0.18218	-31778	-329.27
0.19250	-31750	-341.83
0.20322	-31730	-354.65
0.21436	-31716	-367.87
0.22591	-31682	-381.08
0.23789	-31689	-394.73
0.25031	-31666	-408.72
0.26318	-31669	-423.01
0.27650	-31640	-437.45
0.29029	-31634	-452.42
0.30455	-31621	-467.49
0.31930	-31609	-482.89
0.33454	-31605	-498.60
0.35028	-31585	-514.49
0.36653	-31563	-530.78
0.38330	-31575	-547.46
0.40060	-31566	-564.25
0.41844	-31566	-581.37
0.43683	-31547	-598.90
0.45578	-31544	-616.68
0.47530	-31544	-634.86
0.49539	-31531	-653.28
0.51608	-31540	-671.94
0.53735	-31533	-690.92
0.55924	-31532	-710.29
0.58174	-31518	-729.86
0.60487	-31517	-749.86
0.62863	-31519	-770.20
0.65304	-31519	-790.75
0.67811	-31515	-811.71
0.70384	-31509	-832.89
0.73025	-31514	-854.56
0.75734	-31508	-876.31
0.78513	-31505	-898.45
0.81363	-31503	-921.04
0.84284	-31504	-943.81
0.87278	-31498	-966.90
0.90345	-31497	-990.38
0.93488	-31502	-1014.3
0.96705	-31497	-1038.4
1.0000	-31498	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31802.37108484602
