PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34250	-0.0083907
2.1544e-07	-34220	-0.075964
2.1715e-06	-33917	-0.24174
8.3895e-06	-34645	-0.53138
2.1888e-05	-34437	-0.94200
4.6050e-05	-33882	-1.4835
8.4561e-05	-34328	-2.1802
0.00014136	-34217	-3.0353
0.00022061	-33877	-3.9842
0.00032669	-33580	-5.0847
0.00046416	-33455	-6.3376
0.00063774	-33688	-7.7814
0.00085232	-33605	-9.3262
0.0011130	-33380	-11.097
0.0014248	-33276	-12.986
0.0017932	-33175	-15.043
0.0022237	-33131	-17.306
0.0027216	-32959	-19.760
0.0032929	-32883	-22.184
0.0039432	-32737	-24.987
0.0046784	-32645	-27.872
0.0055047	-32795	-31.174
0.0064280	-32681	-34.171
0.0074546	-32625	-37.865
0.0085909	-32453	-41.641
0.0098431	-32608	-45.547
0.011218	-32601	-49.734
0.012722	-32453	-54.120
0.014361	-32458	-58.738
0.016143	-32351	-63.475
0.018075	-32335	-68.466
0.020162	-32336	-73.745
0.022413	-32369	-79.165
0.024834	-32282	-84.715
0.027432	-32260	-90.595
0.030215	-32219	-96.703
0.033190	-32215	-103.03
0.036364	-32188	-109.69
0.039745	-32203	-116.48
0.043339	-32211	-123.71
0.047156	-32172	-130.92
0.051201	-32138	-138.42
0.055484	-32136	-146.30
0.060011	-32144	-154.37
0.064790	-32076	-162.61
0.069830	-32069	-171.21
0.075138	-32010	-179.99
0.080722	-32046	-189.04
0.086591	-32020	-198.31
0.092751	-31999	-207.67
0.099213	-31969	-217.66
0.10598	-31926	-227.44
0.11307	-31940	-237.77
0.12048	-31936	-248.27
0.12823	-31870	-259.07
0.13631	-31881	-270.01
0.14475	-31841	-281.32
0.15355	-31851	-292.94
0.16271	-31775	-304.53
0.17226	-31783	-316.67
0.18218	-31781	-329.07
0.19250	-31753	-341.70
0.20322	-31739	-354.62
0.21436	-31703	-367.66
0.22591	-31714	-381.14
0.23789	-31701	-394.83
0.25031	-31688	-408.86
0.26318	-31689	-423.21
0.27650	-31600	-437.47
0.29029	-31654	-452.51
0.30455	-31619	-467.45
0.31930	-31615	-482.98
0.33454	-31596	-498.76
0.35028	-31612	-514.76
0.36653	-31585	-530.98
0.38330	-31569	-547.42
0.40060	-31574	-564.47
0.41844	-31551	-581.50
0.43683	-31548	-598.84
0.45578	-31553	-616.93
0.47530	-31554	-634.92
0.49539	-31524	-652.98
0.51608	-31522	-671.62
0.53735	-31516	-690.77
0.55924	-31513	-710.29
0.58174	-31497	-729.53
0.60487	-31508	-749.73
0.62863	-31515	-770.08
0.65304	-31499	-790.62
0.67811	-31494	-811.50
0.70384	-31489	-832.41
0.73025	-31488	-853.86
0.75734	-31491	-875.86
0.78513	-31475	-897.82
0.81363	-31472	-920.14
0.84284	-31475	-943.06
0.87278	-31474	-966.20
0.90345	-31465	-989.54
0.93488	-31466	-1013.3
0.96705	-31465	-1037.6
1.0000	-31465	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31726.453941883625
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34376	-0.0084462
2.1544e-07	-34037	-0.075791
2.1715e-06	-34296	-0.24207
8.3895e-06	-34304	-0.52073
2.1888e-05	-33366	-0.94142
4.6050e-05	-34137	-1.4803
8.4561e-05	-34132	-2.1681
0.00014136	-34163	-3.0262
0.00022061	-33599	-3.9603
0.00032669	-34265	-5.1524
0.00046416	-33521	-6.3418
0.00063774	-33394	-7.7402
0.00085232	-33242	-9.2935
0.0011130	-33903	-11.011
0.0014248	-33278	-12.959
0.0017932	-33193	-15.020
0.0022237	-32967	-17.293
0.0027216	-33059	-19.761
0.0032929	-33051	-22.348
0.0039432	-32955	-25.124
0.0046784	-32846	-27.819
0.0055047	-32782	-31.034
0.0064280	-32685	-34.248
0.0074546	-32725	-37.932
0.0085909	-32437	-41.585
0.0098431	-32540	-45.535
0.011218	-32453	-49.788
0.012722	-32375	-54.107
0.014361	-32409	-58.711
0.016143	-32380	-63.522
0.018075	-32357	-68.501
0.020162	-32321	-73.597
0.022413	-32277	-79.284
0.024834	-32313	-84.755
0.027432	-32222	-90.490
0.030215	-32172	-96.614
0.033190	-32216	-103.22
0.036364	-32185	-109.63
0.039745	-32163	-116.51
0.043339	-32208	-123.65
0.047156	-32136	-130.89
0.051201	-32146	-138.53
0.055484	-32107	-146.31
0.060011	-32109	-154.38
0.064790	-32070	-162.62
0.069830	-32074	-171.21
0.075138	-31996	-179.99
0.080722	-32007	-188.93
0.086591	-31989	-198.22
0.092751	-31993	-207.73
0.099213	-31925	-217.45
0.10598	-31923	-227.48
0.11307	-31935	-237.81
0.12048	-31912	-248.29
0.12823	-31903	-259.11
0.13631	-31847	-270.05
0.14475	-31864	-281.42
0.15355	-31820	-292.91
0.16271	-31808	-304.70
0.17226	-31798	-316.72
0.18218	-31757	-329.05
0.19250	-31753	-341.62
0.20322	-31750	-354.67
0.21436	-31739	-367.83
0.22591	-31705	-381.12
0.23789	-31684	-394.84
0.25031	-31658	-408.75
0.26318	-31663	-423.00
0.27650	-31642	-437.49
0.29029	-31627	-452.54
0.30455	-31622	-467.37
0.31930	-31610	-482.82
0.33454	-31622	-498.69
0.35028	-31593	-514.75
0.36653	-31582	-530.82
0.38330	-31572	-547.45
0.40060	-31562	-564.30
