PathParameter	MaxPathLikelihood	MLContribution
0.0000	-79359	-0.020428
2.1544e-07	-76195	-0.18675
2.1715e-06	-76935	-0.58989
8.3895e-06	-76981	-1.2791
2.1888e-05	-68377	-2.2788
4.6050e-05	-75859	-3.6030
8.4561e-05	-75608	-5.2082
0.00014136	-70325	-7.0126
0.00022061	-67197	-9.0844
0.00032669	-60956	-11.200
0.00046416	-56058	-12.974
0.00063774	-50859	-13.896
0.00085232	-45401	-15.019
0.0011130	-38033	-15.141
0.0014248	-34537	-14.630
0.0017932	-33713	-15.752
0.0022237	-33482	-17.745
0.0027216	-33534	-20.106
0.0032929	-33246	-22.670
0.0039432	-33160	-25.395
0.0046784	-33300	-28.277
0.0055047	-33015	-31.361
0.0064280	-33046	-34.700
0.0074546	-33039	-38.342
0.0085909	-33105	-42.087
0.0098431	-32810	-46.039
0.011218	-32862	-50.349
0.012722	-32903	-54.742
0.014361	-32759	-59.305
0.016143	-32668	-64.255
0.018075	-32636	-69.155
0.020162	-32548	-74.542
0.022413	-32593	-79.759
0.024834	-32576	-85.621
0.027432	-32483	-91.381
0.030215	-32399	-97.535
0.033190	-32445	-103.84
0.036364	-32384	-110.49
0.039745	-32323	-117.28
0.043339	-32261	-124.38
0.047156	-32324	-131.87
0.051201	-32268	-139.36
0.055484	-32245	-147.14
0.060011	-32252	-155.20
0.064790	-32265	-163.53
0.069830	-32182	-171.99
0.075138	-32145	-180.75
0.080722	-32159	-189.88
0.086591	-32099	-199.03
0.092751	-32050	-208.45
0.099213	-32013	-218.15
0.10598	-32040	-228.16
0.11307	-31951	-238.43
0.12048	-31959	-248.88
0.12823	-31905	-259.47
0.13631	-31914	-270.54
0.14475	-31900	-281.82
0.15355	-31858	-293.26
0.16271	-31777	-305.03
0.17226	-31804	-316.95
0.18218	-31805	-329.43
0.19250	-31788	-341.97
0.20322	-31764	-354.78
0.21436	-31740	-367.74
0.22591	-31721	-381.26
0.23789	-31693	-394.88
0.25031	-31683	-408.68
0.26318	-31647	-423.03
0.27650	-31610	-437.27
0.29029	-31626	-452.37
0.30455	-31618	-467.41
0.31930	-31598	-482.72
0.33454	-31572	-498.36
0.35028	-31592	-514.47
0.36653	-31560	-530.80
0.38330	-31565	-547.27
0.40060	-31557	-564.19
0.41844	-31546	-581.12
0.43683	-31539	-598.59
