PathParameter	MaxPathLikelihood	MLContribution
0.0000	-54312	-0.012422
2.1544e-07	-55555	-0.11338
2.1715e-06	-55642	-0.35990
8.3895e-06	-55550	-0.77972
2.1888e-05	-54933	-1.3901
4.6050e-05	-55805	-2.2181
8.4561e-05	-55377	-3.2645
0.00014136	-55791	-4.5588
0.00022061	-55305	-6.0945
0.00032669	-54651	-7.8848
0.00046416	-54627	-9.9400
0.00063774	-54917	-12.306
0.00085232	-54444	-14.856
0.0011130	-54701	-17.729
0.0014248	-54580	-20.915
0.0017932	-53551	-24.285
0.0022237	-53829	-28.050
0.0027216	-53806	-32.077
0.0032929	-53573	-36.181
0.0039432	-52618	-40.422
0.0046784	-51527	-44.803
0.0055047	-51560	-49.509
0.0064280	-50560	-54.203
0.0074546	-49593	-58.565
0.0085909	-48244	-63.202
0.0098431	-47752	-68.302
0.011218	-46226	-72.148
0.012722	-44386	-75.735
0.014361	-42593	-79.373
0.016143	-40943	-82.272
0.018075	-40217	-87.056
0.020162	-39945	-92.536
0.022413	-38699	-97.307
0.024834	-37570	-101.32
0.027432	-36511	-104.58
0.030215	-36435	-111.16
0.033190	-35703	-115.84
0.036364	-34780	-120.35
0.039745	-34300	-126.05
0.043339	-33544	-131.14
0.047156	-33819	-138.97
0.051201	-33471	-144.99
0.055484	-33055	-152.05
0.060011	-32959	-159.68
0.064790	-32855	-167.48
0.069830	-32669	-175.63
0.075138	-32662	-184.38
0.080722	-32665	-193.02
0.086591	-32465	-202.17
0.092751	-32374	-211.24
0.099213	-32364	-220.66
0.10598	-32336	-230.81
0.11307	-32282	-241.08
0.12048	-32199	-251.01
0.12823	-32154	-261.71
0.13631	-32095	-272.74
0.14475	-32073	-283.67
0.15355	-32093	-295.44
0.16271	-32034	-307.03
0.17226	-31991	-318.96
0.18218	-31995	-331.65
0.19250	-31945	-343.94
0.20322	-31872	-356.53
0.21436	-31902	-369.98
0.22591	-31851	-383.10
0.23789	-31848	-396.81
0.25031	-31788	-410.94
0.26318	-31792	-425.08
0.27650	-31769	-439.48
0.29029	-31794	-454.61
0.30455	-31754	-469.62
0.31930	-31761	-485.06
0.33454	-31741	-500.81
0.35028	-31711	-516.55
0.36653	-31719	-533.22
0.38330	-31717	-549.91
0.40060	-31680	-566.50
0.41844	-31684	-583.87
0.43683	-31661	-601.19
0.45578	-31661	-619.13
0.47530	-31662	-637.18
0.49539	-31632	-655.56
0.51608	-31638	-674.38
0.53735	-31629	-693.35
0.55924	-31622	-712.77
0.58174	-31621	-732.48
0.60487	-31618	-752.44
0.62863	-31608	-772.79
0.65304	-31604	-793.53
0.67811	-31606	-814.41
0.70384	-31606	-835.56
0.73025	-31602	-857.08
0.75734	-31600	-879.00
0.78513	-31590	-901.12
0.81363	-31589	-923.62
0.84284	-31586	-946.51
0.87278	-31585	-969.78
0.90345	-31581	-993.27
0.93488	-31574	-1016.9
0.96705	-31577	-1041.1
1.0000	-31569	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32352.434041930177
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-55533	-0.012449
2.1544e-07	-55549	-0.11299
2.1715e-06	-55537	-0.35885
8.3895e-06	-55097	-0.77743
2.1888e-05	-55234	-1.3941
4.6050e-05	-55606	-2.2220
8.4561e-05	-54917	-3.2690
0.00014136	-55414	-4.5625
0.00022061	-55101	-6.1074
0.00032669	-54934	-7.8982
0.00046416	-55015	-9.9279
0.00063774	-55013	-12.261
0.00085232	-54848	-14.902
0.0011130	-54684	-17.793
0.0014248	-53981	-20.876
0.0017932	-54323	-24.371
0.0022237	-53902	-28.015
0.0027216	-53666	-31.964
0.0032929	-52890	-36.086
0.0039432	-52539	-40.366
0.0046784	-51524	-44.891
0.0055047	-51109	-49.605
0.0064280	-49914	-53.818
0.0074546	-48834	-58.405
0.0085909	-48732	-63.574
0.0098431	-46507	-66.923
0.011218	-45542	-71.246
0.012722	-44513	-75.549
0.014361	-42922	-79.687
0.016143	-41548	-84.122
0.018075	-40822	-88.201
0.020162	-39977	-92.535
0.022413	-38869	-96.749
0.024834	-37892	-101.32
0.027432	-37424	-106.81
0.030215	-35622	-108.68
0.033190	-35716	-115.76
0.036364	-34948	-120.59
0.039745	-34333	-125.40
0.043339	-34055	-132.48
0.047156	-33544	-137.49
0.051201	-33418	-145.22
0.055484	-33200	-152.21
0.060011	-33054	-159.75
0.064790	-32986	-167.66
0.069830	-32735	-175.43
0.075138	-32667	-184.45
0.080722	-32535	-192.74
0.086591	-32563	-201.94
0.092751	-32452	-211.20
0.099213	-32356	-220.62
0.10598	-32315	-230.60
0.11307	-32344	-240.98
0.12048	-32237	-251.48
0.12823	-32128	-261.78
0.13631	-32182	-272.84
0.14475	-32062	-283.88
0.15355	-32075	-295.39
0.16271	-32010	-306.80
0.17226	-31968	-319.01
0.18218	-32008	-331.35
0.19250	-31920	-343.80
0.20322	-31902	-356.76
0.21436	-31894	-369.92
0.22591	-31863	-383.36
0.23789	-31862	-397.20
0.25031	-31800	-410.84
0.26318	-31802	-425.05
0.27650	-31783	-439.52
0.29029	-31772	-454.46
0.30455	-31752	-469.61
0.31930	-31719	-484.87
0.33454	-31708	-500.50
0.35028	-31711	-516.81
0.36653	-31707	-533.30
0.38330	-31695	-549.71
0.40060	-31678	-566.54
0.41844	-31679	-583.77
0.43683	-31661	-601.15
0.45578	-31663	-619.10
0.47530	-31644	-637.07
0.49539	-31646	-655.80
0.51608	-31636	-674.38
0.53735	-31637	-693.37
0.55924	-31630	-712.78
0.58174	-31615	-732.41
0.60487	-31620	-752.44
0.62863	-31611	-772.61
0.65304	-31603	-793.37
0.67811	-31607	-814.21
0.70384	-31607	-835.53
0.73025	-31590	-857.00
0.75734	-31596	-878.94
0.78513	-31596	-901.25
0.81363	-31588	-923.73
0.84284	-31585	-946.55
0.87278	-31588	-969.73
0.90345	-31582	-993.24
0.93488	-31575	-1017.0
0.96705	-31581	-1041.1
1.0000	-31557	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32351.291184159098
