PathParameter	MaxPathLikelihood	MLContribution
0.0000	-53033	-0.012002
2.1544e-07	-53425	-0.10874
2.1715e-06	-53901	-0.34644
8.3895e-06	-53012	-0.75057
2.1888e-05	-53505	-1.3432
4.6050e-05	-53325	-2.1403
8.4561e-05	-53519	-3.1513
0.00014136	-53574	-4.4055
0.00022061	-53616	-5.9068
0.00032669	-53585	-7.6394
0.00046416	-53318	-9.5865
0.00063774	-52949	-11.841
0.00085232	-53106	-14.406
0.0011130	-53215	-17.216
0.0014248	-52520	-20.274
0.0017932	-52930	-23.644
0.0022237	-51703	-27.047
0.0027216	-52123	-30.975
0.0032929	-52052	-35.110
0.0039432	-50578	-39.122
0.0046784	-51094	-43.840
0.0055047	-50295	-48.183
0.0064280	-49021	-52.257
0.0074546	-47105	-56.519
0.0085909	-46831	-61.391
0.0098431	-46296	-66.462
0.011218	-44038	-69.432
0.012722	-42382	-73.388
0.014361	-41836	-77.217
0.016143	-40987	-81.841
0.018075	-39584	-85.935
0.020162	-38988	-90.560
0.022413	-38491	-96.600
0.024834	-37674	-100.30
0.027432	-37037	-106.63
0.030215	-36668	-111.85
0.033190	-35718	-115.70
0.036364	-35515	-122.26
0.039745	-34745	-127.16
0.043339	-34383	-132.92
0.047156	-33879	-138.66
0.051201	-33541	-145.61
0.055484	-33390	-153.34
0.060011	-33183	-160.33
0.064790	-32932	-167.85
0.069830	-32948	-176.32
0.075138	-32976	-185.80
0.080722	-32750	-193.77
0.086591	-32684	-203.00
0.092751	-32549	-212.29
0.099213	-32551	-221.70
0.10598	-32467	-231.65
0.11307	-32476	-242.24
0.12048	-32409	-252.72
0.12823	-32348	-263.00
0.13631	-32353	-274.50
0.14475	-32308	-285.80
0.15355	-32262	-297.18
0.16271	-32237	-309.21
0.17226	-32244	-321.54
0.18218	-32141	-333.31
0.19250	-32164	-346.24
0.20322	-32106	-358.94
0.21436	-32112	-372.23
0.22591	-32061	-385.92
0.23789	-32072	-399.64
0.25031	-32039	-413.58
0.26318	-31997	-427.80
0.27650	-31969	-442.27
0.29029	-31977	-457.39
0.30455	-31968	-472.75
0.31930	-31941	-487.98
0.33454	-31917	-503.67
0.35028	-31898	-519.86
0.36653	-31897	-536.20
0.38330	-31878	-552.70
0.40060	-31891	-570.08
0.41844	-31844	-587.33
0.43683	-31848	-604.74
0.45578	-31847	-622.60
0.47530	-31821	-640.58
0.49539	-31821	-659.34
0.51608	-31792	-677.86
0.53735	-31783	-696.88
0.55924	-31790	-716.36
0.58174	-31791	-736.19
0.60487	-31782	-756.25
0.62863	-31779	-776.72
0.65304	-31776	-797.36
0.67811	-31758	-818.31
0.70384	-31767	-839.89
0.73025	-31766	-861.44
0.75734	-31753	-883.30
0.78513	-31753	-905.74
0.81363	-31748	-928.26
0.84284	-31744	-951.28
0.87278	-31747	-974.68
0.90345	-31744	-998.29
0.93488	-31734	-1022.1
0.96705	-31734	-1046.4
1.0000	-31732	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32494.463192148614
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-56968	-0.012725
2.1544e-07	-56982	-0.11557
2.1715e-06	-56903	-0.36783
8.3895e-06	-57334	-0.79892
2.1888e-05	-56855	-1.4263
4.6050e-05	-57092	-2.2794
8.4561e-05	-57174	-3.3534
0.00014136	-56786	-4.6801
0.00022061	-56395	-6.2514
0.00032669	-56350	-8.0983
0.00046416	-56972	-10.236
0.00063774	-56188	-12.615
0.00085232	-55901	-15.277
0.0011130	-56620	-18.293
0.0014248	-56175	-21.447
0.0017932	-55673	-25.027
0.0022237	-55538	-28.843
0.0027216	-55777	-32.936
0.0032929	-54377	-37.197
0.0039432	-54778	-41.877
0.0046784	-53983	-46.545
0.0055047	-52406	-50.988
0.0064280	-51889	-55.718
0.0074546	-49705	-60.040
0.0085909	-48485	-64.621
0.0098431	-46775	-68.429
0.011218	-45739	-72.259
0.012722	-44503	-76.300
0.014361	-43410	-81.334
0.016143	-42705	-85.467
0.018075	-41941	-90.182
0.020162	-39128	-92.385
0.022413	-39301	-97.993
0.024834	-38087	-102.10
0.027432	-37730	-108.28
0.030215	-36690	-111.79
0.033190	-35868	-116.88
0.036364	-35221	-121.79
0.039745	-34401	-126.58
0.043339	-34002	-132.35
0.047156	-33832	-139.81
0.051201	-33569	-145.76
0.055484	-33234	-152.41
0.060011	-33185	-160.49
0.064790	-33027	-168.24
0.069830	-33055	-177.08
0.075138	-32689	-185.12
0.080722	-32694	-193.93
0.086591	-32713	-203.17
0.092751	-32569	-212.05
0.099213	-32506	-221.66
0.10598	-32411	-231.44
0.11307	-32319	-241.38
0.12048	-32334	-251.85
0.12823	-32240	-262.33
0.13631	-32173	-273.01
0.14475	-32145	-284.36
0.15355	-32102	-295.80
0.16271	-32056	-307.50
0.17226	-32066	-319.54
0.18218	-31968	-331.67
0.19250	-31970	-344.29
0.20322	-31906	-356.98
0.21436	-31912	-370.17
0.22591	-31895	-383.46
0.23789	-31835	-397.06
0.25031	-31821	-411.13
0.26318	-31845	-425.48
0.27650	-31776	-439.89
0.29029	-31782	-454.72
0.30455	-31782	-469.98
0.31930	-31752	-485.19
0.33454	-31755	-501.04
0.35028	-31736	-516.89
0.36653	-31719	-533.35
0.38330	-31703	-549.96
0.40060	-31684	-566.63
0.41844	-31668	-583.84
0.43683	-31672	-601.68
0.45578	-31658	-619.10
0.47530	-31653	-637.26
0.49539	-31649	-655.84
0.51608	-31643	-674.45
0.53735	-31623	-693.33
0.55924	-31626	-712.63
0.58174	-31612	-732.36
0.60487	-31614	-752.34
0.62863	-31606	-772.54
0.65304	-31598	-793.23
0.67811	-31605	-814.15
0.70384	-31596	-835.31
0.73025	-31588	-856.87
0.75734	-31584	-878.66
0.78513	-31581	-900.86
0.81363	-31579	-923.31
0.84284	-31578	-946.27
0.87278	-31572	-969.36
0.90345	-31570	-992.95
0.93488	-31565	-1016.7
0.96705	-31565	-1040.8
1.0000	-31564	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32401.86313106366
