PathParameter	MaxPathLikelihood	MLContribution
0.0000	-55192	-0.012527
2.1544e-07	-55011	-0.11381
2.1715e-06	-55260	-0.36066
8.3895e-06	-55787	-0.78480
2.1888e-05	-54865	-1.4039
4.6050e-05	-55102	-2.2382
8.4561e-05	-54734	-3.2901
0.00014136	-54690	-4.5715
0.00022061	-55149	-6.1427
0.00032669	-54708	-7.9231
0.00046416	-55047	-9.9789
0.00063774	-54238	-12.289
0.00085232	-53866	-14.882
0.0011130	-53820	-17.724
0.0014248	-53605	-20.782
0.0017932	-53494	-24.211
0.0022237	-52460	-27.748
0.0027216	-53321	-31.618
0.0032929	-52513	-35.813
0.0039432	-51825	-40.020
0.0046784	-51611	-44.339
0.0055047	-50002	-48.742
0.0064280	-50384	-53.790
0.0074546	-48949	-58.307
0.0085909	-48433	-63.132
0.0098431	-46370	-66.466
0.011218	-44974	-70.269
0.012722	-44266	-75.177
0.014361	-42249	-78.667
0.016143	-41774	-83.295
0.018075	-40612	-87.271
0.020162	-39981	-92.834
0.022413	-38717	-96.782
0.024834	-37625	-100.61
0.027432	-37282	-106.64
0.030215	-36094	-110.61
0.033190	-35618	-115.70
0.036364	-35023	-120.38
0.039745	-34721	-127.13
0.043339	-34397	-133.53
0.047156	-33615	-137.99
0.051201	-33580	-145.91
0.055484	-33274	-152.59
0.060011	-32969	-159.67
0.064790	-32883	-167.48
0.069830	-32677	-175.59
0.075138	-32742	-184.51
0.080722	-32692	-193.64
0.086591	-32504	-202.04
0.092751	-32448	-211.23
0.099213	-32487	-221.44
0.10598	-32396	-231.13
0.11307	-32323	-241.24
0.12048	-32245	-251.38
0.12823	-32221	-262.14
0.13631	-32174	-273.23
0.14475	-32163	-284.51
0.15355	-32119	-296.22
0.16271	-32032	-307.33
0.17226	-31993	-319.10
0.18218	-31999	-331.73
0.19250	-31958	-344.14
0.20322	-31947	-357.05
0.21436	-31888	-370.06
0.22591	-31874	-383.46
0.23789	-31863	-397.13
0.25031	-31851	-411.00
0.26318	-31754	-425.18
0.27650	-31802	-439.71
0.29029	-31789	-454.60
0.30455	-31780	-470.07
0.31930	-31724	-485.18
0.33454	-31712	-500.55
0.35028	-31714	-516.59
0.36653	-31685	-533.00
0.38330	-31704	-549.77
0.40060	-31652	-566.23
0.41844	-31668	-583.52
0.43683	-31646	-600.99
0.45578	-31642	-618.82
0.47530	-31638	-636.84
0.49539	-31612	-655.08
0.51608	-31614	-673.81
0.53735	-31601	-692.69
0.55924	-31585	-712.00
0.58174	-31582	-731.86
0.60487	-31576	-751.55
0.62863	-31575	-771.90
0.65304	-31566	-792.25
0.67811	-31555	-813.17
0.70384	-31556	-834.42
0.73025	-31553	-855.99
0.75734	-31543	-877.59
0.78513	-31539	-899.81
0.81363	-31526	-922.28
0.84284	-31535	-945.03
0.87278	-31528	-968.21
0.90345	-31508	-991.29
0.93488	-31522	-1015.4
0.96705	-31508	-1039.2
1.0000	-31497	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32333.130539069654
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-55530	-0.012546
2.1544e-07	-54789	-0.11386
2.1715e-06	-54539	-0.36111
8.3895e-06	-55553	-0.78433
2.1888e-05	-55169	-1.4048
4.6050e-05	-55067	-2.2356
8.4561e-05	-55702	-3.3047
0.00014136	-54796	-4.5830
0.00022061	-54482	-6.1257
0.00032669	-54862	-7.9291
0.00046416	-55131	-9.9828
0.00063774	-53900	-12.273
0.00085232	-54187	-14.850
0.0011130	-54268	-17.728
0.0014248	-53591	-20.825
0.0017932	-53960	-24.227
0.0022237	-53233	-27.742
0.0027216	-52799	-31.547
0.0032929	-52660	-35.679
0.0039432	-51661	-39.955
0.0046784	-50432	-44.328
0.0055047	-51171	-48.866
0.0064280	-50531	-53.660
0.0074546	-48818	-57.831
0.0085909	-48170	-62.754
0.0098431	-46638	-66.890
0.011218	-44540	-70.515
0.012722	-43422	-74.328
0.014361	-42835	-78.909
0.016143	-41345	-82.881
0.018075	-39950	-87.079
0.020162	-40117	-92.897
0.022413	-38607	-96.453
0.024834	-37059	-99.898
0.027432	-37091	-105.96
0.030215	-35960	-110.04
0.033190	-34605	-112.63
0.036364	-34792	-120.21
0.039745	-34179	-125.11
0.043339	-33848	-131.55
0.047156	-33676	-138.73
0.051201	-33248	-144.60
0.055484	-33169	-151.99
0.060011	-32988	-159.46
0.064790	-32930	-167.80
0.069830	-32765	-175.61
0.075138	-32662	-184.42
0.080722	-32644	-193.26
0.086591	-32630	-202.54
0.092751	-32499	-211.42
0.099213	-32388	-221.03
0.10598	-32317	-230.72
0.11307	-32271	-240.93
0.12048	-32215	-251.52
0.12823	-32175	-261.72
0.13631	-32230	-273.27
0.14475	-32157	-284.42
0.15355	-32059	-295.38
0.16271	-32089	-307.45
0.17226	-32025	-319.69
0.18218	-31978	-331.55
0.19250	-31969	-344.20
0.20322	-31960	-357.07
0.21436	-31909	-370.02
0.22591	-31877	-383.45
0.23789	-31892	-397.25
0.25031	-31832	-411.01
0.26318	-31807	-425.31
0.27650	-31795	-439.89
0.29029	-31779	-454.61
0.30455	-31770	-469.80
0.31930	-31763	-485.15
0.33454	-31695	-500.72
0.35028	-31722	-516.79
0.36653	-31682	-533.00
0.38330	-31695	-549.61
0.40060	-31685	-566.58
0.41844	-31679	-583.82
0.43683	-31619	-600.79
0.45578	-31626	-618.76
0.47530	-31632	-636.78
0.49539	-31616	-655.31
0.51608	-31618	-674.09
0.53735	-31603	-692.88
0.55924	-31591	-712.27
0.58174	-31597	-731.81
0.60487	-31574	-751.62
0.62863	-31578	-771.91
0.65304	-31558	-792.21
0.67811	-31556	-813.27
0.70384	-31556	-834.31
0.73025	-31551	-855.90
0.75734	-31544	-877.81
0.78513	-31532	-899.87
0.81363	-31530	-922.06
0.84284	-31525	-944.94
0.87278	-31524	-968.01
0.90345	-31524	-991.57
0.93488	-31520	-1015.2
0.96705	-31507	-1039.1
1.0000	-31506	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32320.799078261494
