PathParameter	MaxPathLikelihood	MLContribution
0.0000	-55477	-0.012540
2.1544e-07	-56053	-0.11426
2.1715e-06	-56068	-0.36275
8.3895e-06	-55388	-0.78802
2.1888e-05	-55685	-1.4083
4.6050e-05	-54566	-2.2436
8.4561e-05	-55115	-3.3141
0.00014136	-55680	-4.6072
0.00022061	-55329	-6.1639
0.00032669	-54958	-7.9579
0.00046416	-55049	-10.054
0.00063774	-54864	-12.358
0.00085232	-54885	-14.971
0.0011130	-54421	-17.812
0.0014248	-54995	-21.065
0.0017932	-54638	-24.455
0.0022237	-53868	-28.006
0.0027216	-53837	-31.998
0.0032929	-53015	-35.952
0.0039432	-51507	-40.103
0.0046784	-51722	-44.574
0.0055047	-50714	-49.145
0.0064280	-49607	-53.385
0.0074546	-48943	-57.803
0.0085909	-47871	-62.270
0.0098431	-46552	-66.269
0.011218	-45625	-71.105
0.012722	-44201	-75.160
0.014361	-43478	-80.181
0.016143	-41125	-83.008
0.018075	-40420	-87.404
0.020162	-39423	-91.626
0.022413	-39241	-97.171
0.024834	-38153	-102.07
0.027432	-37504	-106.96
0.030215	-36135	-110.43
0.033190	-35944	-117.10
0.036364	-35010	-120.69
0.039745	-33921	-124.31
0.043339	-34048	-132.52
0.047156	-33541	-138.38
0.051201	-33531	-145.27
0.055484	-33192	-152.51
0.060011	-32972	-159.71
0.064790	-32943	-168.11
0.069830	-32926	-176.52
0.075138	-32772	-184.68
0.080722	-32743	-194.39
0.086591	-32674	-202.92
0.092751	-32604	-212.18
0.099213	-32525	-221.72
0.10598	-32418	-231.64
0.11307	-32374	-241.83
0.12048	-32249	-251.81
0.12823	-32290	-262.96
0.13631	-32290	-273.85
0.14475	-32188	-284.71
0.15355	-32163	-296.36
0.16271	-32099	-308.03
0.17226	-32068	-319.83
0.18218	-31997	-332.26
0.19250	-32016	-344.58
0.20322	-31990	-357.61
0.21436	-31945	-370.50
0.22591	-31926	-384.32
0.23789	-31883	-397.66
0.25031	-31856	-411.24
0.26318	-31835	-425.64
0.27650	-31816	-440.04
0.29029	-31789	-454.74
0.30455	-31756	-469.59
0.31930	-31740	-485.22
0.33454	-31735	-500.99
0.35028	-31722	-516.90
0.36653	-31697	-532.95
0.38330	-31682	-549.61
0.40060	-31682	-566.39
0.41844	-31630	-583.50
0.43683	-31661	-600.87
0.45578	-31644	-618.76
0.47530	-31615	-636.54
0.49539	-31602	-655.17
0.51608	-31599	-673.77
0.53735	-31584	-692.62
0.55924	-31571	-712.00
0.58174	-31581	-731.60
0.60487	-31551	-751.50
0.62863	-31559	-771.75
0.65304	-31566	-792.23
0.67811	-31550	-812.91
0.70384	-31540	-834.16
0.73025	-31537	-855.54
0.75734	-31533	-877.31
0.78513	-31521	-899.31
0.81363	-31518	-921.88
0.84284	-31504	-944.47
0.87278	-31511	-967.64
0.90345	-31510	-991.17
0.93488	-31499	-1014.7
0.96705	-31493	-1038.9
1.0000	-31493	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32342.824892377997
