PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47633	-0.010546
2.1544e-07	-47831	-0.095851
2.1715e-06	-47696	-0.30457
8.3895e-06	-47728	-0.66145
2.1888e-05	-47918	-1.1841
4.6050e-05	-47857	-1.8846
8.4561e-05	-47546	-2.7829
0.00014136	-47634	-3.8755
0.00022061	-47604	-5.1795
0.00032669	-47483	-6.7287
0.00046416	-47714	-8.4890
0.00063774	-47597	-10.493
0.00085232	-47790	-12.749
0.0011130	-47571	-15.186
0.0014248	-47575	-17.952
0.0017932	-47367	-20.975
0.0022237	-47001	-24.163
0.0027216	-47407	-27.703
0.0032929	-46782	-31.407
0.0039432	-47022	-35.483
0.0046784	-46734	-39.791
0.0055047	-46736	-44.275
0.0064280	-46693	-49.163
0.0074546	-45935	-54.105
0.0085909	-46030	-59.246
0.0098431	-45656	-64.626
0.011218	-45034	-69.816
0.012722	-45088	-76.118
0.014361	-44372	-81.021
0.016143	-43447	-86.714
0.018075	-43137	-92.722
0.020162	-42233	-97.958
0.022413	-42203	-104.74
0.024834	-41329	-110.28
0.027432	-40296	-115.02
0.030215	-40164	-121.92
0.033190	-38968	-126.47
0.036364	-38232	-132.81
0.039745	-37748	-139.17
0.043339	-37378	-145.72
0.047156	-36978	-152.42
0.051201	-36468	-159.12
0.055484	-36248	-166.35
0.060011	-35521	-172.41
0.064790	-35462	-180.63
0.069830	-35001	-188.73
0.075138	-34850	-197.44
0.080722	-34833	-206.75
0.086591	-34543	-215.36
0.092751	-34423	-224.80
0.099213	-34379	-234.76
0.10598	-34371	-245.31
0.11307	-34184	-255.38
0.12048	-34048	-265.33
0.12823	-33901	-276.62
0.13631	-33927	-287.92
0.14475	-33843	-299.42
0.15355	-33718	-310.89
0.16271	-33660	-323.50
0.17226	-33658	-335.80
0.18218	-33626	-348.68
0.19250	-33572	-361.81
0.20322	-33624	-375.69
0.21436	-33489	-388.62
0.22591	-33477	-402.60
0.23789	-33446	-417.03
0.25031	-33401	-431.82
0.26318	-33408	-446.56
0.27650	-33388	-461.87
0.29029	-33360	-477.17
0.30455	-33350	-493.27
0.31930	-33326	-509.18
0.33454	-33315	-525.66
0.35028	-33260	-542.18
0.36653	-33247	-559.12
0.38330	-33263	-576.92
0.40060	-33254	-594.37
0.41844	-33234	-612.43
0.43683	-33214	-630.98
0.45578	-33213	-649.39
0.47530	-33210	-668.47
0.49539	-33200	-687.72
0.51608	-33182	-707.36
0.53735	-33175	-727.40
0.55924	-33175	-747.65
0.58174	-33159	-768.16
0.60487	-33157	-789.05
0.62863	-33150	-810.39
0.65304	-33152	-832.10
0.67811	-33144	-853.89
0.70384	-33140	-876.17
0.73025	-33134	-898.82
0.75734	-33126	-921.78
0.78513	-33121	-944.96
0.81363	-33135	-968.69
0.84284	-33127	-992.67
0.87278	-33115	-1016.9
0.90345	-33113	-1041.5
0.93488	-33115	-1066.5
0.96705	-33109	-1091.7
1.0000	-33107	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -33955.2849675542
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47570	-0.010558
2.1544e-07	-47356	-0.095884
2.1715e-06	-47727	-0.30417
8.3895e-06	-47692	-0.65939
2.1888e-05	-47853	-1.1830
4.6050e-05	-47608	-1.8820
8.4561e-05	-47768	-2.7793
0.00014136	-47751	-3.8750
0.00022061	-47864	-5.1961
0.00032669	-47667	-6.7173
0.00046416	-47821	-8.4901
0.00063774	-47468	-10.474
0.00085232	-47487	-12.714
0.0011130	-47522	-15.209
0.0014248	-47413	-17.956
0.0017932	-47179	-20.927
0.0022237	-47383	-24.223
0.0027216	-47239	-27.723
0.0032929	-47350	-31.451
0.0039432	-47134	-35.523
0.0046784	-46851	-39.689
0.0055047	-46560	-44.322
0.0064280	-46610	-49.137
0.0074546	-46403	-54.024
0.0085909	-46231	-59.235
0.0098431	-46282	-64.768
0.011218	-44667	-70.097
0.012722	-45204	-75.834
0.014361	-44598	-81.628
0.016143	-43665	-86.819
0.018075	-42826	-92.444
0.020162	-42467	-98.583
0.022413	-41026	-102.88
0.024834	-40887	-109.08
0.027432	-40892	-116.26
0.030215	-39674	-121.23
0.033190	-39143	-127.13
0.036364	-38858	-133.81
0.039745	-38253	-139.81
0.043339	-37677	-146.27
0.047156	-37090	-152.32
0.051201	-36472	-158.59
0.055484	-35915	-165.31
0.060011	-35875	-173.68
0.064790	-35443	-180.73
0.069830	-35311	-189.59
0.075138	-34896	-197.16
0.080722	-34770	-206.38
0.086591	-34651	-215.67
0.092751	-34458	-225.08
0.099213	-34411	-234.99
0.10598	-34320	-245.13
0.11307	-34064	-254.87
0.12048	-34009	-265.49
0.12823	-33972	-276.38
0.13631	-33894	-287.77
0.14475	-33866	-299.65
0.15355	-33740	-311.32
0.16271	-33742	-323.48
0.17226	-33640	-335.80
0.18218	-33606	-348.68
0.19250	-33564	-361.65
0.20322	-33570	-375.20
0.21436	-33543	-388.99
0.22591	-33487	-403.22
0.23789	-33479	-417.22
0.25031	-33441	-431.75
0.26318	-33415	-446.37
0.27650	-33398	-462.08
0.29029	-33366	-477.61
0.30455	-33346	-493.29
0.31930	-33307	-509.20
0.33454	-33305	-525.63
0.35028	-33294	-542.36
0.36653	-33290	-559.49
0.38330	-33282	-577.00
0.40060	-33254	-594.76
0.41844	-33221	-612.39
0.43683	-33209	-630.63
0.45578	-33227	-649.61
0.47530	-33215	-668.40
0.49539	-33190	-687.64
0.51608	-33186	-707.39
0.53735	-33186	-727.30
0.55924	-33175	-747.58
0.58174	-33167	-768.16
0.60487	-33157	-789.06
0.62863	-33151	-810.42
0.65304	-33150	-831.99
0.67811	-33144	-853.95
0.70384	-33138	-876.24
0.73025	-33140	-898.98
0.75734	-33134	-921.79
0.78513	-33135	-945.07
0.81363	-33130	-968.69
0.84284	-33117	-992.45
0.87278	-33122	-1016.9
0.90345	-33106	-1041.5
0.93488	-33116	-1066.6
0.96705	-33098	-1091.8
1.0000	-33105	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -33958.87977284646
