PathParameter	MaxPathLikelihood	MLContribution
0.0000	-46110	-0.010278
2.1544e-07	-46421	-0.093350
2.1715e-06	-46863	-0.29762
8.3895e-06	-46375	-0.64582
2.1888e-05	-46230	-1.1527
4.6050e-05	-46400	-1.8375
8.4561e-05	-46380	-2.7117
0.00014136	-46601	-3.7853
0.00022061	-46443	-5.0639
0.00032669	-46359	-6.5652
0.00046416	-46530	-8.2882
0.00063774	-46302	-10.238
0.00085232	-46465	-12.407
0.0011130	-46036	-14.850
0.0014248	-45769	-17.532
0.0017932	-46422	-20.452
0.0022237	-46398	-23.599
0.0027216	-45829	-27.036
0.0032929	-46193	-30.719
0.0039432	-45836	-34.672
0.0046784	-45565	-38.830
0.0055047	-45250	-43.232
0.0064280	-45668	-47.975
0.0074546	-44967	-52.685
0.0085909	-44612	-57.760
0.0098431	-44230	-62.599
0.011218	-44372	-68.441
0.012722	-43232	-73.428
0.014361	-42546	-78.889
0.016143	-42837	-85.117
0.018075	-41948	-89.963
0.020162	-41682	-96.260
0.022413	-41023	-101.86
0.024834	-40553	-107.96
0.027432	-40036	-113.54
0.030215	-39380	-119.85
0.033190	-38317	-124.64
0.036364	-38709	-133.25
0.039745	-37791	-139.06
0.043339	-37486	-145.32
0.047156	-36951	-151.97
0.051201	-36600	-159.52
0.055484	-36169	-167.08
0.060011	-35972	-174.33
0.064790	-35784	-182.63
0.069830	-35219	-189.85
0.075138	-35164	-198.73
0.080722	-35106	-208.02
0.086591	-34907	-217.34
0.092751	-34691	-226.46
0.099213	-34651	-236.82
0.10598	-34514	-246.99
0.11307	-34500	-257.99
0.12048	-34441	-268.30
0.12823	-34305	-279.24
0.13631	-34271	-291.00
0.14475	-34189	-302.10
0.15355	-34083	-314.16
0.16271	-34059	-326.60
0.17226	-33957	-338.90
0.18218	-33951	-352.17
0.19250	-33909	-365.19
0.20322	-33824	-378.74
0.21436	-33803	-392.63
0.22591	-33789	-406.50
0.23789	-33757	-421.04
0.25031	-33698	-435.42
0.26318	-33683	-450.71
0.27650	-33678	-465.88
0.29029	-33614	-480.98
0.30455	-33601	-496.95
0.31930	-33573	-513.44
0.33454	-33607	-530.11
0.35028	-33535	-546.48
0.36653	-33517	-563.59
0.38330	-33515	-581.16
0.40060	-33482	-599.11
0.41844	-33485	-617.09
0.43683	-33490	-635.88
0.45578	-33464	-654.43
0.47530	-33452	-673.49
0.49539	-33442	-692.81
0.51608	-33442	-712.82
0.53735	-33423	-732.64
0.55924	-33430	-753.49
0.58174	-33410	-773.88
0.60487	-33404	-794.99
0.62863	-33406	-816.39
0.65304	-33394	-838.25
0.67811	-33392	-860.39
0.70384	-33376	-882.55
0.73025	-33373	-905.36
0.75734	-33378	-928.50
0.78513	-33369	-951.87
0.81363	-33371	-975.71
0.84284	-33360	-999.79
0.87278	-33364	-1024.3
0.90345	-33353	-1049.1
0.93488	-33357	-1074.3
0.96705	-33351	-1099.7
1.0000	-33351	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -34168.47607086234
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-48676	-0.010745
2.1544e-07	-48785	-0.097691
2.1715e-06	-48829	-0.31033
8.3895e-06	-48553	-0.67420
2.1888e-05	-48863	-1.2063
4.6050e-05	-48786	-1.9200
8.4561e-05	-48687	-2.8336
0.00014136	-48693	-3.9562
0.00022061	-48641	-5.2863
0.00032669	-48613	-6.8534
0.00046416	-48978	-8.6578
0.00063774	-48490	-10.676
0.00085232	-48379	-12.975
0.0011130	-48155	-15.504
0.0014248	-48522	-18.304
0.0017932	-48540	-21.371
0.0022237	-48478	-24.678
0.0027216	-48217	-28.281
0.0032929	-48292	-32.136
0.0039432	-48274	-36.272
0.0046784	-48052	-40.650
0.0055047	-47843	-45.326
0.0064280	-47500	-50.259
0.0074546	-47267	-55.364
0.0085909	-47209	-60.686
0.0098431	-46630	-66.289
0.011218	-46152	-71.972
0.012722	-46583	-78.010
0.014361	-45919	-83.975
0.016143	-45387	-90.242
0.018075	-44336	-95.541
0.020162	-43990	-102.29
0.022413	-42984	-107.69
0.024834	-42102	-112.95
0.027432	-41681	-118.86
0.030215	-40736	-124.41
0.033190	-39961	-130.61
0.036364	-39483	-136.89
0.039745	-38916	-142.26
0.043339	-38015	-148.13
0.047156	-37309	-153.54
0.051201	-36492	-160.17
0.055484	-36518	-167.95
0.060011	-35811	-174.47
0.064790	-35357	-182.29
0.069830	-35496	-190.93
0.075138	-35116	-198.73
0.080722	-34804	-207.42
0.086591	-34898	-216.99
0.092751	-34592	-226.05
0.099213	-34408	-235.35
0.10598	-34252	-245.06
0.11307	-34285	-256.01
0.12048	-34083	-266.15
0.12823	-34010	-277.11
0.13631	-33981	-288.50
0.14475	-33835	-299.64
0.15355	-33855	-311.90
0.16271	-33693	-324.09
0.17226	-33750	-336.71
0.18218	-33643	-349.16
0.19250	-33563	-362.08
0.20322	-33572	-375.60
0.21436	-33528	-389.12
0.22591	-33541	-403.20
0.23789	-33471	-417.38
0.25031	-33474	-432.23
0.26318	-33385	-446.62
0.27650	-33391	-462.08
0.29029	-33328	-477.51
0.30455	-33350	-493.27
0.31930	-33300	-509.20
0.33454	-33276	-525.68
0.35028	-33296	-542.45
0.36653	-33268	-559.58
0.38330	-33263	-576.80
0.40060	-33232	-594.24
0.41844	-33226	-612.56
0.43683	-33218	-630.80
0.45578	-33212	-649.50
0.47530	-33208	-668.41
0.49539	-33174	-687.67
0.51608	-33188	-707.22
0.53735	-33174	-727.25
0.55924	-33155	-747.43
0.58174	-33166	-768.12
0.60487	-33142	-789.01
0.62863	-33155	-810.29
0.65304	-33139	-831.84
0.67811	-33137	-853.95
0.70384	-33134	-876.15
0.73025	-33135	-898.86
0.75734	-33126	-921.65
0.78513	-33125	-945.09
0.81363	-33117	-968.63
0.84284	-33131	-992.69
0.87278	-33116	-1016.9
0.90345	-33119	-1041.6
0.93488	-33118	-1066.6
0.96705	-33116	-1092.0
1.0000	-33113	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -34033.779515863695
