PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47421	-0.010632
2.1544e-07	-47595	-0.096663
2.1715e-06	-47585	-0.30674
8.3895e-06	-47754	-0.66703
2.1888e-05	-47558	-1.1937
4.6050e-05	-47942	-1.9045
8.4561e-05	-47782	-2.8109
0.00014136	-47517	-3.9080
0.00022061	-47428	-5.2188
0.00032669	-47300	-6.7653
0.00046416	-47611	-8.5545
0.00063774	-47512	-10.558
0.00085232	-47487	-12.792
0.0011130	-47239	-15.239
0.0014248	-47022	-17.989
0.0017932	-47414	-21.012
0.0022237	-47199	-24.208
0.0027216	-47183	-27.730
0.0032929	-46785	-31.428
0.0039432	-46712	-35.450
0.0046784	-46828	-39.645
0.0055047	-46515	-44.202
0.0064280	-46616	-48.972
0.0074546	-45675	-53.669
0.0085909	-45352	-58.550
0.0098431	-45381	-64.081
0.011218	-45116	-69.694
0.012722	-44773	-75.353
0.014361	-44290	-81.429
0.016143	-43990	-86.776
0.018075	-42957	-91.986
0.020162	-42056	-97.789
0.022413	-41589	-103.42
0.024834	-41169	-109.26
0.027432	-40585	-115.67
0.030215	-39848	-121.07
0.033190	-39456	-127.49
0.036364	-38700	-133.50
0.039745	-37981	-139.43
0.043339	-37497	-145.56
0.047156	-37077	-152.76
0.051201	-36781	-160.47
0.055484	-36202	-166.32
0.060011	-35852	-174.06
0.064790	-35403	-181.14
0.069830	-35321	-189.71
0.075138	-34974	-198.15
0.080722	-34758	-206.04
0.086591	-34721	-215.86
0.092751	-34521	-224.79
0.099213	-34418	-234.85
0.10598	-34262	-245.19
0.11307	-34160	-255.33
0.12048	-34032	-266.07
0.12823	-34077	-277.17
0.13631	-33863	-287.80
0.14475	-33809	-299.69
0.15355	-33816	-311.93
0.16271	-33765	-324.00
0.17226	-33695	-336.24
0.18218	-33677	-349.19
0.19250	-33589	-361.86
0.20322	-33603	-375.72
0.21436	-33566	-389.47
0.22591	-33517	-403.03
0.23789	-33462	-417.55
0.25031	-33427	-431.83
