PathParameter	MaxPathLikelihood	MLContribution
0.0000	-48533	-0.010820
2.1544e-07	-48257	-0.097946
2.1715e-06	-48378	-0.31179
8.3895e-06	-47993	-0.67673
2.1888e-05	-48482	-1.2090
4.6050e-05	-48281	-1.9347
8.4561e-05	-48306	-2.8525
0.00014136	-48333	-3.9635
0.00022061	-48510	-5.3186
0.00032669	-48434	-6.8662
0.00046416	-48382	-8.6762
0.00063774	-48048	-10.710
0.00085232	-48228	-12.984
0.0011130	-48088	-15.511
0.0014248	-47748	-18.279
0.0017932	-47776	-21.296
0.0022237	-47871	-24.570
0.0027216	-47634	-28.063
0.0032929	-47680	-31.890
0.0039432	-47644	-35.905
0.0046784	-47349	-40.236
0.0055047	-47255	-44.659
0.0064280	-46398	-49.306
0.0074546	-46224	-54.292
0.0085909	-45689	-59.310
0.0098431	-45734	-64.959
0.011218	-45310	-69.947
0.012722	-44965	-75.591
0.014361	-44310	-81.020
0.016143	-43266	-86.238
0.018075	-42615	-91.816
0.020162	-42085	-97.175
0.022413	-41489	-103.46
0.024834	-41229	-109.49
0.027432	-40551	-115.61
0.030215	-39607	-120.82
0.033190	-39356	-127.32
0.036364	-38295	-132.21
0.039745	-37854	-139.15
0.043339	-37508	-146.86
0.047156	-36964	-152.14
0.051201	-36471	-158.77
0.055484	-35943	-165.14
0.060011	-35987	-174.54
0.064790	-35637	-182.14
0.069830	-35527	-190.72
0.075138	-34816	-197.31
0.080722	-34871	-206.77
0.086591	-34695	-216.13
0.092751	-34509	-225.97
0.099213	-34395	-235.49
0.10598	-34383	-245.77
0.11307	-34269	-256.43
0.12048	-34191	-267.28
0.12823	-34124	-278.35
0.13631	-34042	-289.11
0.14475	-34030	-301.11
0.15355	-33897	-312.94
0.16271	-33832	-324.43
0.17226	-33841	-337.39
0.18218	-33736	-350.47
0.19250	-33721	-363.11
0.20322	-33624	-376.19
0.21436	-33561	-389.88
0.22591	-33541	-403.54
0.23789	-33499	-417.94
0.25031	-33436	-431.87
0.26318	-33471	-447.58
0.27650	-33413	-462.42
0.29029	-33377	-477.63
0.30455	-33337	-493.26
0.31930	-33296	-509.36
0.33454	-33305	-525.82
0.35028	-33269	-542.52
0.36653	-33271	-559.47
0.38330	-33206	-576.78
0.40060	-33228	-594.38
0.41844	-33208	-611.97
0.43683	-33167	-630.04
0.45578	-33167	-648.68
0.47530	-33143	-667.70
0.49539	-33134	-686.69
0.51608	-33112	-706.19
0.53735	-33131	-726.25
0.55924	-33097	-746.32
0.58174	-33097	-766.95
0.60487	-33100	-787.77
0.62863	-33070	-808.68
0.65304	-33072	-830.22
