PathParameter	MaxPathLikelihood	MLContribution
0.0000	-42415	-0.0094959
2.1544e-07	-42091	-0.086402
2.1715e-06	-41905	-0.27407
8.3895e-06	-41499	-0.59418
2.1888e-05	-42273	-1.0660
4.6050e-05	-41886	-1.6965
8.4561e-05	-42141	-2.5073
0.00014136	-41744	-3.4928
0.00022061	-41869	-4.6751
0.00032669	-42219	-6.0401
0.00046416	-41925	-7.6047
0.00063774	-41783	-9.3979
0.00085232	-41407	-11.388
0.0011130	-41499	-13.564
0.0014248	-41359	-15.974
0.0017932	-40566	-18.548
0.0022237	-41010	-21.408
0.0027216	-41069	-24.452
0.0032929	-40089	-27.633
0.0039432	-39822	-30.924
0.0046784	-38763	-34.205
0.0055047	-38988	-37.718
0.0064280	-38332	-41.477
0.0074546	-37772	-45.139
0.0085909	-37292	-48.960
0.0098431	-36430	-52.478
0.011218	-36129	-56.691
0.012722	-35001	-60.274
0.014361	-34551	-63.951
0.016143	-33969	-68.446
0.018075	-33778	-72.639
0.020162	-33192	-77.488
0.022413	-33234	-82.603
0.024834	-32264	-86.505
0.027432	-31569	-91.263
0.030215	-31486	-96.347
0.033190	-31376	-101.39
0.036364	-31084	-107.54
0.039745	-30849	-113.16
0.043339	-30823	-119.14
0.047156	-30613	-125.67
0.051201	-30477	-132.72
0.055484	-30509	-139.32
0.060011	-30355	-146.81
0.064790	-30278	-154.57
0.069830	-30279	-162.37
0.075138	-30342	-170.57
0.080722	-30298	-178.99
0.086591	-30265	-187.60
0.092751	-30216	-196.38
0.099213	-30154	-205.56
0.10598	-30101	-214.73
0.11307	-30086	-224.43
0.12048	-30077	-234.19
0.12823	-30045	-244.28
0.13631	-30026	-254.57
0.14475	-29993	-265.30
0.15355	-29974	-275.93
0.16271	-29960	-287.15
0.17226	-29960	-298.62
0.18218	-29934	-310.09
0.19250	-29900	-322.00
0.20322	-29887	-334.13
0.21436	-29881	-346.48
0.22591	-29886	-359.21
0.23789	-29888	-372.09
0.25031	-29865	-385.28
0.26318	-29848	-398.78
0.27650	-29851	-412.72
0.29029	-29845	-426.56
0.30455	-29827	-440.94
0.31930	-29820	-455.53
0.33454	-29827	-470.29
0.35028	-29809	-485.54
0.36653	-29812	-500.88
0.38330	-29798	-516.57
0.40060	-29799	-532.50
0.41844	-29793	-548.75
0.43683	-29782	-565.26
0.45578	-29781	-582.27
0.47530	-29787	-599.30
0.49539	-29780	-616.82
0.51608	-29779	-634.43
0.53735	-29762	-652.31
0.55924	-29766	-670.73
0.58174	-29769	-689.23
0.60487	-29765	-708.06
0.62863	-29757	-727.23
0.65304	-29759	-746.71
0.67811	-29758	-766.39
0.70384	-29757	-786.49
0.73025	-29749	-806.82
0.75734	-29752	-827.41
0.78513	-29745	-848.39
0.81363	-29741	-869.63
0.84284	-29739	-891.18
0.87278	-29745	-913.07
0.90345	-29742	-935.21
0.93488	-29706	-957.62
0.96705	-29740	-980.50
1.0000	-29734	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -30151.940688760213
