PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41157	-0.010234
2.1544e-07	-40732	-0.083854
2.1715e-06	-40769	-0.26621
8.3895e-06	-40968	-0.57788
2.1888e-05	-40103	-1.0363
4.6050e-05	-40483	-1.6488
8.4561e-05	-40577	-2.4344
0.00014136	-40589	-3.3906
0.00022061	-40820	-4.5217
0.00032669	-40782	-5.8686
0.00046416	-40739	-7.4108
0.00063774	-40572	-9.1302
0.00085232	-40733	-11.081
0.0011130	-40173	-13.197
0.0014248	-40055	-15.509
0.0017932	-40254	-18.097
0.0022237	-39846	-20.842
0.0027216	-39616	-23.760
0.0032929	-38979	-26.765
0.0039432	-38702	-30.119
0.0046784	-38469	-33.433
0.0055047	-37884	-36.733
0.0064280	-37738	-40.506
0.0074546	-37486	-44.247
0.0085909	-36595	-47.978
0.0098431	-36179	-51.687
0.011218	-35632	-55.866
0.012722	-35220	-59.746
0.014361	-34474	-64.111
0.016143	-34158	-68.107
0.018075	-33509	-72.850
0.020162	-33018	-77.116
0.022413	-32514	-81.383
0.024834	-32514	-86.813
0.027432	-31724	-91.016
0.030215	-31796	-96.480
0.033190	-31495	-102.18
0.036364	-31272	-107.67
0.039745	-31150	-113.59
0.043339	-30780	-119.37
0.047156	-30783	-126.28
0.051201	-30588	-132.60
0.055484	-30545	-139.73
0.060011	-30577	-147.46
0.064790	-30437	-154.80
0.069830	-30440	-162.73
0.075138	-30371	-170.81
0.080722	-30355	-179.41
0.086591	-30214	-187.62
0.092751	-30243	-196.89
0.099213	-30181	-205.73
0.10598	-30147	-215.14
0.11307	-30132	-224.68
0.12048	-30139	-234.63
0.12823	-30096	-244.70
0.13631	-30075	-255.17
0.14475	-30091	-265.67
0.15355	-30056	-276.55
0.16271	-30043	-287.76
0.17226	-30021	-299.16
0.18218	-29996	-310.74
0.19250	-30003	-322.72
0.20322	-29981	-334.93
0.21436	-29965	-347.32
0.22591	-29955	-360.02
0.23789	-29940	-373.06
0.25031	-29934	-386.17
0.26318	-29928	-399.67
0.27650	-29912	-413.71
0.29029	-29900	-427.67
0.30455	-29910	-441.96
0.31930	-29879	-456.62
0.33454	-29882	-471.55
0.35028	-29891	-486.77
0.36653	-29877	-502.18
0.38330	-29872	-517.81
0.40060	-29860	-533.77
0.41844	-29858	-550.18
0.43683	-29853	-566.70
0.45578	-29838	-583.59
0.47530	-29847	-600.84
0.49539	-29845	-618.18
0.51608	-29834	-636.00
0.53735	-29834	-653.77
0.55924	-29834	-672.07
0.58174	-29825	-690.56
0.60487	-29831	-709.58
0.62863	-29821	-728.74
0.65304	-29822	-748.30
0.67811	-29817	-768.05
0.70384	-29815	-788.16
0.73025	-29814	-808.49
0.75734	-29813	-829.24
0.78513	-29810	-850.17
0.81363	-29810	-871.47
0.84284	-29810	-893.09
0.87278	-29807	-914.96
0.90345	-29807	-937.17
0.93488	-29804	-959.71
0.96705	-29802	-982.53
1.0000	-29801	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -30202.391079440735
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-43855	-0.0098692
2.1544e-07	-43485	-0.089693
2.1715e-06	-43755	-0.28451
8.3895e-06	-43207	-0.61776
2.1888e-05	-43552	-1.1067
4.6050e-05	-43130	-1.7651
8.4561e-05	-43853	-2.5978
0.00014136	-43864	-3.6288
0.00022061	-43417	-4.8450
0.00032669	-43888	-6.2815
0.00046416	-43466	-7.9023
0.00063774	-43247	-9.7723
0.00085232	-43024	-11.843
0.0011130	-42579	-14.133
0.0014248	-42799	-16.642
0.0017932	-42443	-19.326
0.0022237	-42335	-22.248
0.0027216	-42019	-25.340
0.0032929	-41912	-28.641
0.0039432	-41001	-32.062
0.0046784	-40951	-35.645
0.0055047	-40770	-39.486
0.0064280	-38976	-42.796
0.0074546	-38884	-46.623
0.0085909	-37809	-49.963
0.0098431	-37369	-53.716
0.011218	-36613	-57.690
0.012722	-36041	-61.663
0.014361	-34914	-65.117
0.016143	-34622	-69.596
0.018075	-33833	-73.343
0.020162	-33620	-78.302
0.022413	-32833	-82.386
0.024834	-32649	-87.193
0.027432	-32294	-92.008
0.030215	-31706	-96.526
0.033190	-31600	-102.54
0.036364	-31083	-107.66
0.039745	-30916	-113.54
0.043339	-30835	-119.53
0.047156	-30728	-126.27
0.051201	-30634	-132.75
0.055484	-30538	-140.15
0.060011	-30450	-147.10
0.064790	-30340	-154.89
0.069830	-30343	-162.76
0.075138	-30358	-170.79
0.080722	-30361	-179.41
0.086591	-30314	-187.92
0.092751	-30238	-196.76
0.099213	-30165	-205.80
0.10598	-30169	-215.10
0.11307	-30129	-224.64
0.12048	-30054	-234.40
0.12823	-30056	-244.56
0.13631	-30062	-255.04
0.14475	-29994	-265.51
0.15355	-29971	-276.25
0.16271	-29935	-287.38
0.17226	-29986	-298.88
0.18218	-29936	-310.25
0.19250	-29919	-322.19
0.20322	-29915	-334.30
0.21436	-29882	-346.67
0.22591	-29901	-359.40
0.23789	-29895	-372.36
0.25031	-29868	-385.41
0.26318	-29857	-398.79
0.27650	-29845	-412.76
0.29029	-29859	-426.84
0.30455	-29837	-441.01
0.31930	-29837	-455.57
0.33454	-29807	-470.49
0.35028	-29805	-485.53
0.36653	-29806	-500.89
0.38330	-29806	-516.64
0.40060	-29805	-532.69
0.41844	-29802	-548.88
0.43683	-29793	-565.44
0.45578	-29781	-582.22
0.47530	-29773	-599.41
0.49539	-29771	-616.81
0.51608	-29773	-634.38
0.53735	-29774	-652.41
0.55924	-29768	-670.67
0.58174	-29768	-689.30
0.60487	-29760	-708.00
0.62863	-29759	-727.20
0.65304	-29757	-746.72
0.67811	-29755	-766.43
0.70384	-29752	-786.43
0.73025	-29744	-806.71
0.75734	-29748	-827.39
0.78513	-29749	-848.34
0.81363	-29740	-869.53
0.84284	-29740	-891.14
0.87278	-29739	-913.01
0.90345	-29735	-935.14
0.93488	-29739	-957.62
0.96705	-29734	-980.39
1.0000	-29738	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -30186.151993099447
