PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41696	-0.0095356
2.1544e-07	-41252	-0.086953
2.1715e-06	-41810	-0.27605
8.3895e-06	-41752	-0.59854
2.1888e-05	-41797	-1.0763
4.6050e-05	-41487	-1.7022
8.4561e-05	-40383	-2.5241
0.00014136	-41822	-3.5024
0.00022061	-41175	-4.6782
0.00032669	-41483	-6.0593
0.00046416	-41653	-7.6262
0.00063774	-41009	-9.4192
0.00085232	-41236	-11.374
0.0011130	-40589	-13.531
0.0014248	-40681	-15.833
0.0017932	-40918	-18.491
0.0022237	-40209	-21.193
0.0027216	-40254	-24.197
0.0032929	-39842	-27.191
0.0039432	-39068	-30.526
0.0046784	-39361	-33.948
0.0055047	-38455	-37.533
0.0064280	-38286	-41.288
0.0074546	-37707	-45.065
0.0085909	-36829	-48.624
0.0098431	-36430	-52.636
0.011218	-35946	-56.516
0.012722	-35238	-60.485
0.014361	-34988	-64.247
0.016143	-33816	-68.051
0.018075	-33821	-73.113
0.020162	-33252	-77.050
0.022413	-32931	-82.173
0.024834	-32432	-86.943
0.027432	-31910	-91.499
0.030215	-31664	-96.389
0.033190	-31793	-102.84
0.036364	-31192	-107.37
0.039745	-30977	-113.18
0.043339	-30739	-119.07
0.047156	-30714	-125.95
0.051201	-30607	-132.56
0.055484	-30465	-139.51
0.060011	-30446	-146.99
0.064790	-30444	-154.65
0.069830	-30290	-162.28
0.075138	-30325	-170.55
0.080722	-30240	-178.90
0.086591	-30219	-187.45
0.092751	-30232	-196.54
0.099213	-30200	-205.59
0.10598	-30148	-214.95
0.11307	-30138	-224.65
0.12048	-30105	-234.34
0.12823	-30014	-244.40
0.13631	-30052	-254.83
0.14475	-29981	-265.27
0.15355	-29998	-276.18
0.16271	-29945	-287.11
0.17226	-29977	-298.64
0.18218	-29945	-310.33
0.19250	-29933	-322.12
0.20322	-29916	-334.30
0.21436	-29891	-346.80
0.22591	-29894	-359.36
0.23789	-29899	-372.31
0.25031	-29862	-385.55
0.26318	-29874	-399.03
0.27650	-29847	-412.71
0.29029	-29840	-426.71
0.30455	-29835	-440.95
0.31930	-29834	-455.77
0.33454	-29814	-470.40
0.35028	-29797	-485.48
0.36653	-29801	-500.87
0.38330	-29794	-516.59
0.40060	-29791	-532.65
0.41844	-29797	-548.88
0.43683	-29772	-565.25
0.45578	-29767	-581.93
0.47530	-29772	-599.21
0.49539	-29765	-616.61
0.51608	-29761	-634.27
0.53735	-29757	-652.17
0.55924	-29752	-670.40
0.58174	-29751	-689.03
0.60487	-29741	-707.71
0.62863	-29739	-726.91
0.65304	-29735	-746.24
0.67811	-29730	-765.88
0.70384	-29721	-785.97
0.73025	-29723	-806.24
0.75734	-29726	-826.90
0.78513	-29720	-847.78
0.81363	-29713	-869.04
0.84284	-29717	-890.48
0.87278	-29701	-912.21
0.90345	-29703	-934.27
0.93488	-29709	-956.84
0.96705	-29704	-979.57
1.0000	-29699	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -30144.953490781536
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41877	-0.0095863
2.1544e-07	-41334	-0.086889
2.1715e-06	-41542	-0.27614
8.3895e-06	-41847	-0.59870
2.1888e-05	-41301	-1.0703
4.6050e-05	-42061	-1.7059
8.4561e-05	-41785	-2.5132
0.00014136	-41421	-3.4994
0.00022061	-41368	-4.6794
0.00032669	-41566	-6.0733
0.00046416	-41541	-7.6283
0.00063774	-41657	-9.3986
0.00085232	-40884	-11.355
0.0011130	-40983	-13.517
