PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41951	-0.0095352
2.1544e-07	-41571	-0.086651
2.1715e-06	-42118	-0.27473
8.3895e-06	-41752	-0.59758
2.1888e-05	-42210	-1.0669
4.6050e-05	-41728	-1.7005
8.4561e-05	-41397	-2.5025
0.00014136	-41459	-3.4868
0.00022061	-41621	-4.6579
0.00032669	-41676	-6.0405
0.00046416	-41566	-7.5917
0.00063774	-41764	-9.3976
0.00085232	-40743	-11.343
0.0011130	-40905	-13.526
0.0014248	-40973	-15.914
0.0017932	-40822	-18.452
0.0022237	-40408	-21.307
0.0027216	-40298	-24.219
0.0032929	-40309	-27.346
0.0039432	-39236	-30.416
0.0046784	-39123	-33.918
0.0055047	-38221	-37.329
0.0064280	-37700	-40.713
0.0074546	-36959	-44.332
0.0085909	-36968	-48.367
0.0098431	-36524	-52.404
0.011218	-35716	-55.919
0.012722	-35134	-59.941
0.014361	-35128	-64.468
0.016143	-34474	-68.591
0.018075	-34026	-73.081
0.020162	-33329	-76.805
0.022413	-32657	-81.556
0.024834	-32372	-86.262
0.027432	-32111	-91.810
0.030215	-31538	-96.545
0.033190	-31522	-102.21
0.036364	-31173	-107.32
0.039745	-30847	-113.16
0.043339	-30983	-120.05
0.047156	-30769	-126.07
0.051201	-30568	-132.78
0.055484	-30555	-139.97
0.060011	-30504	-147.08
0.064790	-30376	-154.63
0.069830	-30436	-162.91
0.075138	-30287	-170.77
0.080722	-30262	-179.14
0.086591	-30305	-187.91
0.092751	-30181	-196.47
0.099213	-30195	-205.86
0.10598	-30179	-215.16
0.11307	-30151	-224.80
0.12048	-30106	-234.52
0.12823	-30065	-244.49
0.13631	-30062	-255.07
0.14475	-30052	-265.51
0.15355	-29987	-276.36
0.16271	-29987	-287.58
0.17226	-29959	-298.91
0.18218	-29973	-310.58
0.19250	-29931	-322.29
0.20322	-29925	-334.46
0.21436	-29896	-346.91
0.22591	-29909	-359.51
0.23789	-29887	-372.44
0.25031	-29882	-385.75
0.26318	-29870	-399.04
0.27650	-29855	-412.77
0.29029	-29838	-426.94
0.30455	-29851	-441.19
0.31930	-29819	-455.61
0.33454	-29835	-470.65
0.35028	-29801	-485.54
0.36653	-29799	-500.90
0.38330	-29785	-516.64
0.40060	-29792	-532.60
0.41844	-29779	-548.83
0.43683	-29778	-565.28
0.45578	-29772	-582.09
0.47530	-29771	-599.05
0.49539	-29753	-616.29
0.51608	-29757	-634.14
0.53735	-29760	-652.13
0.55924	-29753	-670.34
0.58174	-29742	-688.81
0.60487	-29728	-707.62
0.62863	-29733	-726.67
0.65304	-29725	-746.03
0.67811	-29729	-765.74
0.70384	-29717	-785.90
0.73025	-29724	-806.17
0.75734	-29711	-826.72
0.78513	-29719	-847.77
0.81363	-29712	-868.78
0.84284	-29709	-890.34
0.87278	-29715	-912.27
0.90345	-29704	-934.27
0.93488	-29706	-956.64
0.96705	-29704	-979.33
1.0000	-29705	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -30145.760804707075
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-43689	-0.0099561
2.1544e-07	-43694	-0.090215
2.1715e-06	-43751	-0.28695
8.3895e-06	-43813	-0.62113
2.1888e-05	-44057	-1.1173
4.6050e-05	-43881	-1.7777
8.4561e-05	-44026	-2.6184
0.00014136	-44202	-3.6541
0.00022061	-43946	-4.8925
0.00032669	-43515	-6.3114
0.00046416	-43731	-7.9599
0.00063774	-43794	-9.8340
0.00085232	-42965	-11.901
0.0011130	-43435	-14.188
0.0014248	-42994	-16.685
0.0017932	-43008	-19.459
0.0022237	-42629	-22.315
0.0027216	-42665	-25.502
0.0032929	-42338	-28.790
0.0039432	-41161	-32.193
0.0046784	-40701	-35.657
0.0055047	-40486	-39.301
0.0064280	-39441	-42.883
0.0074546	-38764	-46.618
0.0085909	-38223	-50.154
0.0098431	-37534	-53.916
0.011218	-36859	-57.819
0.012722	-35476	-61.061
0.014361	-35214	-65.660
0.016143	-34621	-69.572
0.018075	-33772	-73.399
0.020162	-33421	-77.740
0.022413	-33136	-82.738
0.024834	-32388	-87.082
0.027432	-32324	-92.246
0.030215	-31798	-97.057
0.033190	-31455	-101.95
0.036364	-31218	-107.87
0.039745	-31237	-113.92
0.043339	-30908	-119.89
0.047156	-30761	-126.10
0.051201	-30620	-132.79
0.055484	-30633	-140.28
0.060011	-30490	-147.41
0.064790	-30489	-155.24
0.069830	-30454	-163.11
0.075138	-30317	-171.14
