PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41093	-0.0090233
2.1544e-07	-41185	-0.082045
2.1715e-06	-41185	-0.26039
8.3895e-06	-41025	-0.56445
2.1888e-05	-41157	-1.0115
4.6050e-05	-41289	-1.6134
8.4561e-05	-41249	-2.3797
0.00014136	-41197	-3.3153
0.00022061	-41047	-4.4353
0.00032669	-41177	-5.7469
0.00046416	-41183	-7.2537
0.00063774	-41224	-8.9694
0.00085232	-41231	-10.886
0.0011130	-41153	-13.022
0.0014248	-41152	-15.358
0.0017932	-41085	-17.944
0.0022237	-41059	-20.764
0.0027216	-41067	-23.771
0.0032929	-40937	-27.059
0.0039432	-40945	-30.551
0.0046784	-40993	-34.345
0.0055047	-41007	-38.350
0.0064280	-40949	-42.588
0.0074546	-40800	-47.088
0.0085909	-40976	-51.892
0.0098431	-40823	-56.869
0.011218	-40621	-62.054
0.012722	-40587	-67.576
0.014361	-40687	-73.346
0.016143	-40443	-79.266
0.018075	-40435	-85.611
0.020162	-40099	-91.949
0.022413	-40136	-98.617
0.024834	-40139	-105.70
0.027432	-40073	-112.75
0.030215	-39894	-120.27
0.033190	-39780	-127.83
0.036364	-39466	-135.05
0.039745	-39185	-143.17
0.043339	-39205	-151.42
0.047156	-38851	-159.55
0.051201	-38414	-166.44
0.055484	-38254	-175.60
0.060011	-37988	-184.12
0.064790	-37738	-192.18
0.069830	-37593	-201.70
0.075138	-37112	-209.89
0.080722	-36783	-218.80
0.086591	-36715	-228.35
0.092751	-36356	-237.32
0.099213	-35926	-246.18
0.10598	-35708	-255.56
0.11307	-35509	-265.86
0.12048	-35074	-274.43
0.12823	-35068	-285.74
0.13631	-34799	-296.27
0.14475	-34548	-306.73
0.15355	-34251	-316.72
0.16271	-34179	-328.29
0.17226	-34076	-340.19
0.18218	-33783	-351.39
0.19250	-33761	-363.91
0.20322	-33573	-376.38
0.21436	-33610	-390.07
0.22591	-33512	-403.60
0.23789	-33395	-416.50
0.25031	-33289	-430.54
0.26318	-33303	-445.64
0.27650	-33251	-459.95
0.29029	-33161	-474.87
0.30455	-33148	-490.41
0.31930	-33044	-505.55
0.33454	-33053	-521.97
0.35028	-33030	-538.29
0.36653	-32967	-554.53
0.38330	-32969	-572.02
0.40060	-32949	-589.41
0.41844	-32896	-606.79
0.43683	-32868	-624.54
0.45578	-32863	-642.95
0.47530	-32872	-662.12
0.49539	-32859	-680.77
0.51608	-32838	-700.15
0.53735	-32794	-719.13
0.55924	-32832	-740.00
0.58174	-32798	-759.70
0.60487	-32785	-780.23
0.62863	-32765	-801.17
0.65304	-32764	-822.53
0.67811	-32759	-844.19
0.70384	-32760	-866.28
0.73025	-32739	-888.45
0.75734	-32753	-911.16
0.78513	-32735	-933.83
0.81363	-32730	-957.14
0.84284	-32723	-980.72
0.87278	-32718	-1004.6
0.90345	-32713	-1029.1
0.93488	-32705	-1053.5
0.96705	-32711	-1078.7
1.0000	-32695	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -33783.49753107845
