PathParameter	MaxPathLikelihood	MLContribution
0.0000	-40776	-0.0089573
2.1544e-07	-40735	-0.081237
2.1715e-06	-40629	-0.25783
8.3895e-06	-40627	-0.56023
2.1888e-05	-40666	-1.0026
4.6050e-05	-40831	-1.6002
8.4561e-05	-40735	-2.3558
0.00014136	-40686	-3.2861
0.00022061	-40727	-4.4016
0.00032669	-40640	-5.6850
0.00046416	-40564	-7.1917
0.00063774	-40673	-8.8766
0.00085232	-40555	-10.786
0.0011130	-40630	-12.896
0.0014248	-40515	-15.218
0.0017932	-40667	-17.763
0.0022237	-40314	-20.515
0.0027216	-40567	-23.532
0.0032929	-40636	-26.813
0.0039432	-40381	-30.200
0.0046784	-40547	-33.947
0.0055047	-40394	-37.867
0.0064280	-40408	-42.100
0.0074546	-40394	-46.610
0.0085909	-40234	-51.167
0.0098431	-40415	-56.184
0.011218	-40294	-61.400
0.012722	-40122	-66.723
0.014361	-40135	-72.509
0.016143	-39997	-78.328
0.018075	-40014	-84.416
0.020162	-39924	-91.007
0.022413	-39662	-97.370
0.024834	-39397	-104.04
0.027432	-39412	-111.29
0.030215	-39240	-118.89
0.033190	-39126	-125.87
0.036364	-39242	-134.05
0.039745	-38640	-140.96
0.043339	-38454	-148.74
0.047156	-38435	-157.23
0.051201	-38440	-166.42
0.055484	-37969	-173.84
0.060011	-37563	-182.06
0.064790	-37664	-191.80
0.069830	-37486	-200.89
0.075138	-36967	-209.09
0.080722	-36595	-218.15
0.086591	-36595	-227.60
0.092751	-36329	-237.28
0.099213	-36022	-246.28
0.10598	-35848	-256.18
0.11307	-35719	-266.75
0.12048	-35376	-276.90
0.12823	-35277	-288.12
0.13631	-35112	-298.79
0.14475	-34888	-309.88
0.15355	-34884	-322.13
0.16271	-34602	-332.46
0.17226	-34540	-345.00
0.18218	-34473	-357.41
0.19250	-34345	-370.66
0.20322	-34330	-384.30
0.21436	-34112	-396.25
0.22591	-34074	-410.65
0.23789	-34004	-424.15
0.25031	-33910	-438.66
0.26318	-33964	-454.07
0.27650	-33848	-468.41
0.29029	-33781	-483.76
0.30455	-33802	-500.21
0.31930	-33706	-515.75
0.33454	-33640	-531.76
0.35028	-33647	-548.30
0.36653	-33622	-565.59
0.38330	-33604	-583.06
0.40060	-33593	-600.82
0.41844	-33572	-618.77
0.43683	-33543	-637.09
0.45578	-33545	-655.96
0.47530	-33530	-675.10
0.49539	-33503	-694.17
0.51608	-33495	-713.81
0.53735	-33475	-734.13
0.55924	-33453	-754.35
0.58174	-33448	-774.85
0.60487	-33431	-795.79
0.62863	-33407	-816.85
0.65304	-33400	-838.89
0.67811	-33411	-860.91
0.70384	-33394	-883.33
0.73025	-33399	-906.02
0.75734	-33378	-929.02
0.78513	-33376	-952.24
0.81363	-33353	-975.79
0.84284	-33362	-999.81
0.87278	-33342	-1024.1
0.90345	-33343	-1048.9
0.93488	-33350	-1074.2
0.96705	-33345	-1099.7
1.0000	-33329	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -34300.926082288956
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41366	-0.0090410
2.1544e-07	-41406	-0.082074
2.1715e-06	-41472	-0.26087
8.3895e-06	-41392	-0.56652
2.1888e-05	-41426	-1.0142
4.6050e-05	-41299	-1.6172
8.4561e-05	-41499	-2.3834
0.00014136	-41400	-3.3253
0.00022061	-41397	-4.4491
0.00032669	-41267	-5.7651
0.00046416	-41385	-7.2805
0.00063774	-41271	-9.0030
0.00085232	-41289	-10.930
0.0011130	-41381	-13.065
0.0014248	-41331	-15.437
0.0017932	-41334	-18.039
0.0022237	-41336	-20.861
0.0027216	-41393	-23.927
0.0032929	-41270	-27.222
0.0039432	-41308	-30.764
0.0046784	-41336	-34.551
0.0055047	-41256	-38.578
0.0064280	-41208	-42.904
0.0074546	-41134	-47.436
0.0085909	-41160	-52.207
0.0098431	-41144	-57.260
0.011218	-41064	-62.558
0.012722	-41075	-68.164
0.014361	-40925	-73.927
0.016143	-40853	-80.028
0.018075	-40714	-86.332
