PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41501	-0.0091756
2.1544e-07	-41378	-0.083218
2.1715e-06	-41325	-0.26502
8.3895e-06	-41522	-0.57570
2.1888e-05	-41472	-1.0285
4.6050e-05	-41512	-1.6425
8.4561e-05	-41400	-2.4170
0.00014136	-41471	-3.3663
0.00022061	-41439	-4.5038
0.00032669	-41420	-5.8339
0.00046416	-41407	-7.3591
0.00063774	-41255	-9.0844
0.00085232	-41333	-11.025
0.0011130	-41183	-13.179
0.0014248	-41321	-15.546
0.0017932	-41415	-18.156
0.0022237	-41285	-20.983
0.0027216	-41232	-24.041
0.0032929	-41263	-27.335
0.0039432	-41176	-30.823
0.0046784	-41240	-34.613
0.0055047	-41076	-38.574
0.0064280	-41070	-42.850
0.0074546	-40989	-47.314
0.0085909	-40945	-52.138
0.0098431	-40855	-57.017
0.011218	-40775	-62.389
0.012722	-40678	-67.852
0.014361	-40674	-73.471
0.016143	-40362	-79.632
0.018075	-40439	-85.690
0.020162	-40155	-91.968
0.022413	-40385	-99.026
0.024834	-40069	-105.66
0.027432	-40077	-113.15
0.030215	-39816	-120.11
0.033190	-39802	-127.72
0.036364	-39429	-135.11
0.039745	-39579	-143.89
0.043339	-39109	-150.92
0.047156	-38744	-159.05
0.051201	-38603	-167.37
0.055484	-38321	-175.63
0.060011	-38348	-185.08
0.064790	-37991	-193.94
0.069830	-37616	-201.65
0.075138	-37315	-210.59
0.080722	-36935	-219.18
0.086591	-36709	-228.50
0.092751	-36299	-237.66
0.099213	-36243	-247.36
0.10598	-35652	-255.32
0.11307	-35527	-266.25
0.12048	-35225	-275.90
0.12823	-35129	-286.62
0.13631	-34749	-295.11
0.14475	-34561	-306.34
0.15355	-34362	-317.78
0.16271	-34267	-329.38
0.17226	-34113	-340.87
0.18218	-33909	-351.57
0.19250	-33703	-364.12
0.20322	-33684	-377.02
0.21436	-33459	-389.10
0.22591	-33406	-402.37
0.23789	-33432	-416.81
0.25031	-33356	-431.06
0.26318	-33251	-445.00
0.27650	-33186	-459.44
0.29029	-33129	-474.67
0.30455	-33165	-490.63
0.31930	-33086	-505.99
0.33454	-32997	-521.24
0.35028	-32965	-537.47
0.36653	-32940	-554.29
0.38330	-32880	-570.88
0.40060	-32868	-587.88
0.41844	-32811	-605.85
0.43683	-32811	-623.37
0.45578	-32786	-641.28
0.47530	-32794	-660.50
0.49539	-32760	-679.14
0.51608	-32728	-697.92
0.53735	-32678	-717.01
0.55924	-32709	-737.57
0.58174	-32671	-757.12
0.60487	-32649	-777.62
0.62863	-32641	-798.13
0.65304	-32619	-819.09
0.67811	-32621	-840.65
0.70384	-32607	-862.49
0.73025	-32605	-884.61
0.75734	-32610	-907.39
0.78513	-32589	-930.08
0.81363	-32591	-953.04
0.84284	-32559	-976.39
0.87278	-32564	-1000.1
0.90345	-32547	-1023.8
0.93488	-32520	-1048.1
0.96705	-32487	-1073.1
1.0000	-32525	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -33719.93663516665
