PathParameter	MaxPathLikelihood	MLContribution
0.0000	-43148	-0.0098028
2.1544e-07	-43418	-0.088953
2.1715e-06	-43277	-0.28244
8.3895e-06	-43645	-0.61623
2.1888e-05	-43518	-1.0993
4.6050e-05	-43442	-1.7573
8.4561e-05	-43498	-2.5846
0.00014136	-43454	-3.6007
0.00022061	-43475	-4.8038
0.00032669	-43270	-6.2126
0.00046416	-43084	-7.8225
0.00063774	-43459	-9.6708
0.00085232	-42780	-11.691
0.0011130	-43004	-13.946
0.0014248	-43040	-16.403
0.0017932	-42939	-19.105
0.0022237	-42650	-22.012
0.0027216	-42787	-25.205
0.0032929	-42749	-28.679
0.0039432	-42736	-32.215
0.0046784	-42729	-36.121
0.0055047	-42522	-40.179
0.0064280	-42235	-44.492
0.0074546	-42344	-49.073
0.0085909	-42289	-54.054
0.0098431	-42124	-58.879
0.011218	-41885	-64.199
0.012722	-41802	-69.626
0.014361	-41322	-75.379
0.016143	-41423	-81.471
0.018075	-41229	-87.706
0.020162	-41075	-94.000
0.022413	-40914	-100.77
0.024834	-40822	-108.01
0.027432	-40528	-114.92
0.030215	-40570	-122.41
0.033190	-40102	-128.98
0.036364	-40081	-137.33
0.039745	-39428	-144.10
0.043339	-39442	-152.86
0.047156	-39280	-161.41
0.051201	-38765	-168.76
0.055484	-38590	-176.74
0.060011	-38412	-185.54
0.064790	-37786	-193.47
0.069830	-37772	-202.80
0.075138	-37230	-209.93
0.080722	-36919	-219.08
0.086591	-36710	-228.64
0.092751	-36341	-237.74
0.099213	-36184	-246.78
0.10598	-35583	-255.18
0.11307	-35446	-265.90
0.12048	-35150	-274.71
0.12823	-34682	-283.84
0.13631	-34740	-295.73
0.14475	-34771	-308.53
0.15355	-34390	-318.27
0.16271	-34074	-327.92
0.17226	-33985	-340.59
0.18218	-33877	-352.38
0.19250	-33870	-364.74
0.20322	-33666	-376.88
0.21436	-33571	-389.70
0.22591	-33433	-403.10
0.23789	-33428	-416.81
0.25031	-33330	-430.42
0.26318	-33189	-444.62
0.27650	-33194	-459.72
0.29029	-33151	-475.18
0.30455	-33155	-490.82
0.31930	-33130	-506.50
0.33454	-33016	-521.92
0.35028	-32966	-537.85
0.36653	-32938	-554.36
0.38330	-32923	-571.13
0.40060	-32867	-587.94
0.41844	-32835	-605.21
0.43683	-32787	-622.90
0.45578	-32754	-640.77
0.47530	-32716	-659.27
0.49539	-32709	-678.43
0.51608	-32694	-697.23
0.53735	-32695	-717.06
0.55924	-32650	-736.06
0.58174	-32617	-756.20
0.60487	-32633	-777.08
0.62863	-32643	-798.07
0.65304	-32611	-818.51
0.67811	-32581	-839.68
0.70384	-32564	-861.68
0.73025	-32576	-883.97
0.75734	-32539	-905.89
0.78513	-32535	-928.55
0.81363	-32513	-951.54
0.84284	-32535	-975.30
0.87278	-32524	-999.17
0.90345	-32529	-1023.4
0.93488	-32512	-1047.5
0.96705	-32492	-1072.0
1.0000	-31571	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -33753.45786452345
