PathParameter	MaxPathLikelihood	MLContribution
0.0000	-31734	-0.0069894
2.1544e-07	-31749	-0.063421
2.1715e-06	-31679	-0.20150
8.3895e-06	-31657	-0.43758
2.1888e-05	-31678	-0.78264
4.6050e-05	-31851	-1.2485
8.4561e-05	-31435	-1.8416
0.00014136	-31504	-2.5654
0.00022061	-31551	-3.4324
0.00032669	-31794	-4.4516
0.00046416	-31485	-5.6115
0.00063774	-31682	-6.9508
0.00085232	-31563	-8.4343
0.0011130	-31690	-10.071
0.0014248	-31546	-11.899
0.0017932	-31643	-13.902
0.0022237	-31537	-16.061
0.0027216	-31671	-18.451
0.0032929	-31573	-20.949
0.0039432	-31506	-23.629
0.0046784	-31075	-26.508
0.0055047	-31222	-29.646
0.0064280	-31061	-32.821
0.0074546	-31308	-36.216
0.0085909	-31031	-39.827
0.0098431	-31194	-43.693
0.011218	-31123	-47.730
0.012722	-30627	-51.676
0.014361	-30962	-56.136
0.016143	-30612	-60.482
0.018075	-30628	-65.337
0.020162	-30543	-70.073
0.022413	-30043	-74.910
0.024834	-30201	-79.813
0.027432	-30357	-85.734
0.030215	-30042	-90.945
0.033190	-29901	-96.295
0.036364	-29833	-102.22
0.039745	-29655	-108.46
0.043339	-29713	-114.77
0.047156	-29473	-120.92
0.051201	-29544	-128.25
0.055484	-29243	-134.38
0.060011	-29224	-141.32
0.064790	-29294	-149.09
0.069830	-29168	-156.32
0.075138	-29148	-164.23
0.080722	-29087	-172.03
0.086591	-28986	-180.18
0.092751	-28933	-188.61
0.099213	-28834	-196.70
0.10598	-28876	-205.98
0.11307	-28745	-214.56
0.12048	-28761	-224.25
0.12823	-28673	-233.70
0.13631	-28663	-243.45
0.14475	-28627	-253.47
0.15355	-28617	-263.70
0.16271	-28590	-274.15
0.17226	-28561	-284.91
0.18218	-28528	-295.90
0.19250	-28502	-307.07
0.20322	-28489	-318.37
0.21436	-28452	-329.96
0.22591	-28409	-342.10
0.23789	-28386	-354.20
0.25031	-28378	-366.61
0.26318	-28405	-379.53
0.27650	-28355	-392.09
0.29029	-28352	-405.33
0.30455	-28326	-419.06
0.31930	-28301	-432.49
0.33454	-28290	-446.49
0.35028	-28263	-460.54
0.36653	-28257	-475.12
0.38330	-28252	-490.06
0.40060	-28210	-504.64
0.41844	-28236	-520.34
0.43683	-28234	-536.03
0.45578	-28199	-551.60
0.47530	-28210	-567.89
0.49539	-28195	-584.32
0.51608	-28172	-600.57
0.53735	-28182	-617.81
0.55924	-28176	-634.88
0.58174	-28168	-652.53
0.60487	-28176	-670.41
0.62863	-28165	-688.40
0.65304	-28162	-706.75
0.67811	-28154	-725.26
0.70384	-28154	-744.36
0.73025	-28148	-763.52
0.75734	-28150	-783.01
0.78513	-28148	-802.83
0.81363	-28149	-822.99
0.84284	-28153	-843.39
0.87278	-28143	-864.01
0.90345	-28143	-885.00
0.93488	-28140	-906.25
0.96705	-28139	-927.76
1.0000	-28132	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28513.990902402285
