PathParameter	MaxPathLikelihood	MLContribution
0.0000	-31561	-0.0070707
2.1544e-07	-31724	-0.064234
2.1715e-06	-31736	-0.20369
8.3895e-06	-31699	-0.44241
2.1888e-05	-31712	-0.79247
4.6050e-05	-31703	-1.2629
8.4561e-05	-31681	-1.8617
0.00014136	-31543	-2.5951
0.00022061	-31552	-3.4783
0.00032669	-31539	-4.4978
0.00046416	-31507	-5.6730
0.00063774	-31608	-7.0018
0.00085232	-31361	-8.4904
0.0011130	-31530	-10.147
0.0014248	-31595	-11.987
0.0017932	-31601	-13.975
0.0022237	-31408	-16.145
0.0027216	-31391	-18.437
0.0032929	-31430	-20.981
0.0039432	-31379	-23.693
0.0046784	-31280	-26.561
0.0055047	-31110	-29.524
0.0064280	-31241	-32.858
0.0074546	-31184	-36.238
0.0085909	-31088	-39.817
0.0098431	-31067	-43.645
0.011218	-31008	-47.596
0.012722	-30923	-51.716
0.014361	-30674	-55.967
0.016143	-30622	-60.608
0.018075	-30635	-65.419
0.020162	-30489	-69.867
0.022413	-30364	-75.014
0.024834	-30361	-80.549
0.027432	-30095	-85.545
0.030215	-30056	-91.288
0.033190	-29999	-96.527
0.036364	-29841	-102.46
0.039745	-29953	-108.92
0.043339	-29708	-115.08
0.047156	-29444	-121.06
0.051201	-29496	-127.99
0.055484	-29463	-135.11
0.060011	-29383	-141.91
0.064790	-29233	-149.09
0.069830	-29215	-156.55
0.075138	-29192	-164.46
0.080722	-29157	-172.30
0.086591	-29034	-180.33
0.092751	-28931	-188.41
0.099213	-28956	-197.54
0.10598	-28863	-205.92
0.11307	-28781	-215.22
0.12048	-28801	-224.47
0.12823	-28699	-233.89
0.13631	-28737	-244.00
0.14475	-28651	-253.82
0.15355	-28612	-263.74
0.16271	-28618	-274.40
0.17226	-28593	-285.26
0.18218	-28493	-295.90
0.19250	-28500	-307.24
0.20322	-28462	-318.42
0.21436	-28465	-330.19
0.22591	-28449	-342.15
0.23789	-28445	-354.52
0.25031	-28361	-366.54
0.26318	-28408	-379.50
0.27650	-28345	-392.09
0.29029	-28347	-405.40
0.30455	-28305	-418.78
0.31930	-28281	-432.17
0.33454	-28261	-446.15
0.35028	-28229	-460.20
0.36653	-28218	-475.02
0.38330	-28204	-489.41
0.40060	-28187	-504.45
0.41844	-28167	-519.63
0.43683	-28175	-535.17
0.45578	-28192	-551.09
0.47530	-28189	-567.60
0.49539	-28157	-583.37
0.51608	-28143	-600.05
0.53735	-28138	-616.82
0.55924	-28126	-634.11
0.58174	-28126	-651.69
0.60487	-28126	-669.36
0.62863	-28111	-687.29
0.65304	-28107	-705.63
0.67811	-28097	-724.13
0.70384	-28098	-743.00
0.73025	-28093	-762.14
0.75734	-28095	-781.64
0.78513	-28084	-801.26
0.81363	-28074	-821.21
0.84284	-28072	-841.59
0.87278	-28069	-862.16
0.90345	-28073	-883.04
0.93488	-28071	-904.32
0.96705	-28052	-925.46
1.0000	-28061	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28492.290294369363
