PathParameter	MaxPathLikelihood	MLContribution
0.0000	-33456	-0.0074149
2.1544e-07	-33444	-0.067346
2.1715e-06	-33528	-0.21404
8.3895e-06	-33544	-0.46464
2.1888e-05	-33406	-0.83125
4.6050e-05	-33636	-1.3256
8.4561e-05	-33600	-1.9532
0.00014136	-33340	-2.7280
0.00022061	-33572	-3.6491
0.00032669	-33554	-4.7279
0.00046416	-33556	-5.9627
0.00063774	-33488	-7.3741
0.00085232	-33183	-8.9435
0.0011130	-33331	-10.700
0.0014248	-33478	-12.634
0.0017932	-33397	-14.750
0.0022237	-33334	-17.044
0.0027216	-33401	-19.541
0.0032929	-33106	-22.220
0.0039432	-33078	-25.035
0.0046784	-33143	-28.119
0.0055047	-32965	-31.375
0.0064280	-33023	-34.744
0.0074546	-32979	-38.350
0.0085909	-32634	-42.144
0.0098431	-32605	-46.081
0.011218	-32579	-50.227
0.012722	-32327	-54.377
0.014361	-32062	-58.758
0.016143	-31938	-63.327
0.018075	-31686	-67.784
0.020162	-31634	-72.797
0.022413	-31158	-77.464
0.024834	-30920	-82.435
0.027432	-30773	-87.465
0.030215	-30637	-92.774
0.033190	-30535	-98.657
0.036364	-30311	-104.32
0.039745	-30165	-110.20
0.043339	-29956	-116.25
0.047156	-29836	-122.57
0.051201	-29766	-129.01
0.055484	-29619	-135.73
0.060011	-29545	-143.07
0.064790	-29392	-150.24
0.069830	-29352	-157.47
0.075138	-29302	-165.39
0.080722	-29224	-173.32
0.086591	-29125	-181.24
0.092751	-29054	-189.76
0.099213	-28993	-198.13
0.10598	-28896	-206.83
0.11307	-28882	-216.06
0.12048	-28863	-225.26
0.12823	-28752	-234.68
0.13631	-28724	-244.25
0.14475	-28699	-253.99
0.15355	-28653	-264.20
0.16271	-28610	-274.49
0.17226	-28602	-285.20
0.18218	-28552	-296.04
0.19250	-28549	-307.70
0.20322	-28502	-318.69
0.21436	-28463	-330.28
0.22591	-28437	-342.15
0.23789	-28406	-354.37
0.25031	-28341	-366.48
0.26318	-28337	-379.10
0.27650	-28338	-392.42
0.29029	-28341	-405.56
0.30455	-28308	-418.75
0.31930	-28285	-432.33
0.33454	-28275	-446.27
0.35028	-28266	-460.65
0.36653	-28247	-475.00
0.38330	-28239	-489.80
0.40060	-28227	-505.01
0.41844	-28214	-520.22
0.43683	-28211	-535.64
0.45578	-28199	-551.46
0.47530	-28201	-567.77
0.49539	-28172	-583.82
0.51608	-28154	-600.41
0.53735	-28184	-617.91
0.55924	-28156	-634.77
0.58174	-28159	-652.25
0.60487	-28146	-669.87
0.62863	-28149	-688.04
0.65304	-28144	-706.32
0.67811	-28135	-725.05
0.70384	-28139	-744.02
0.73025	-28136	-763.11
0.75734	-28131	-782.61
0.78513	-28133	-802.40
0.81363	-28130	-822.45
0.84284	-28122	-842.76
0.87278	-28128	-863.47
0.90345	-28118	-884.29
0.93488	-28119	-905.50
0.96705	-28114	-927.18
1.0000	-28116	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28580.62270837254
