PathParameter	MaxPathLikelihood	MLContribution
0.0000	-33726	-0.0075130
2.1544e-07	-33797	-0.068233
2.1715e-06	-33749	-0.21669
8.3895e-06	-33750	-0.47087
2.1888e-05	-33716	-0.84226
4.6050e-05	-33708	-1.3421
8.4561e-05	-33690	-1.9801
0.00014136	-33743	-2.7635
0.00022061	-33583	-3.6955
0.00032669	-33682	-4.7805
0.00046416	-33433	-6.0439
0.00063774	-33353	-7.4410
0.00085232	-33789	-9.0519
0.0011130	-33427	-10.808
0.0014248	-33588	-12.750
0.0017932	-33344	-14.847
0.0022237	-33495	-17.164
0.0027216	-33408	-19.625
0.0032929	-33248	-22.306
0.0039432	-33234	-25.159
0.0046784	-33236	-28.216
0.0055047	-33163	-31.453
0.0064280	-32843	-34.883
0.0074546	-32739	-38.453
0.0085909	-32860	-42.165
0.0098431	-32472	-46.030
0.011218	-32480	-50.196
0.012722	-32193	-54.484
0.014361	-31855	-58.891
0.016143	-31945	-63.270
0.018075	-31494	-68.069
0.020162	-31258	-72.649
0.022413	-31487	-77.828
0.024834	-31115	-82.710
0.027432	-31012	-88.227
0.030215	-30641	-93.161
0.033190	-30470	-98.653
0.036364	-30318	-104.19
0.039745	-30170	-110.17
0.043339	-29950	-116.34
0.047156	-29954	-122.80
0.051201	-29888	-129.67
0.055484	-29592	-135.90
0.060011	-29633	-143.27
0.064790	-29562	-150.69
0.069830	-29501	-158.04
0.075138	-29259	-165.38
0.080722	-29283	-173.56
0.086591	-29216	-181.61
0.092751	-29173	-190.09
0.099213	-29076	-198.42
0.10598	-28992	-207.14
0.11307	-28986	-216.25
0.12048	-28941	-225.60
0.12823	-28810	-234.79
0.13631	-28733	-244.22
0.14475	-28711	-254.36
0.15355	-28710	-264.54
0.16271	-28648	-275.01
0.17226	-28627	-285.73
0.18218	-28533	-296.01
0.19250	-28573	-307.84
0.20322	-28515	-318.74
0.21436	-28422	-330.23
0.22591	-28449	-342.13
0.23789	-28372	-354.27
0.25031	-28377	-366.79
0.26318	-28369	-379.28
0.27650	-28343	-392.51
0.29029	-28318	-405.23
0.30455	-28338	-419.27
0.31930	-28293	-432.32
0.33454	-28242	-446.24
0.35028	-28243	-460.20
0.36653	-28248	-474.94
0.38330	-28250	-489.94
0.40060	-28223	-504.71
0.41844	-28212	-519.99
0.43683	-28194	-535.24
0.45578	-28173	-551.01
0.47530	-28175	-567.13
0.49539	-28146	-583.45
0.51608	-28155	-600.22
0.53735	-28112	-616.51
0.55924	-28111	-633.94
0.58174	-28115	-651.52
0.60487	-28122	-669.38
0.62863	-28113	-687.16
0.65304	-28101	-705.28
0.67811	-28101	-724.02
0.70384	-28095	-742.79
0.73025	-28090	-761.96
0.75734	-28078	-781.29
0.78513	-28074	-800.84
0.81363	-28071	-821.06
0.84284	-28069	-841.21
0.87278	-28073	-862.00
0.90345	-28060	-882.66
0.93488	-28052	-903.63
0.96705	-28032	-925.02
1.0000	-28053	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28566.426255411498
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-33743	-0.0075039
2.1544e-07	-33823	-0.068231
2.1715e-06	-33753	-0.21677
8.3895e-06	-33705	-0.47147
2.1888e-05	-33589	-0.84182
4.6050e-05	-33731	-1.3414
8.4561e-05	-33625	-1.9767
0.00014136	-33660	-2.7556
0.00022061	-33517	-3.6936
0.00032669	-33641	-4.7806
0.00046416	-33696	-6.0292
0.00063774	-33593	-7.4613
0.00085232	-33746	-9.0318
0.0011130	-33669	-10.804
0.0014248	-33292	-12.754
0.0017932	-33635	-14.884
0.0022237	-33395	-17.174
0.0027216	-33482	-19.667
0.0032929	-33204	-22.318
0.0039432	-33378	-25.188
0.0046784	-33066	-28.240
0.0055047	-33042	-31.476
0.0064280	-32789	-34.851
0.0074546	-32941	-38.418
0.0085909	-32649	-42.210
0.0098431	-32564	-46.151
0.011218	-32362	-50.269
0.012722	-32484	-54.587
0.014361	-32100	-58.816
0.016143	-31703	-63.105
0.018075	-31700	-67.970
0.020162	-31524	-72.889
0.022413	-31249	-77.404
0.024834	-31196	-83.340
0.027432	-31032	-87.693
0.030215	-30370	-92.807
0.033190	-30358	-98.695
0.036364	-30434	-104.53
0.039745	-30262	-110.30
0.043339	-29973	-116.18
0.047156	-29909	-122.72
0.051201	-29864	-129.43
0.055484	-29575	-136.04
0.060011	-29601	-143.28
0.064790	-29411	-150.36
0.069830	-29444	-157.80
0.075138	-29268	-165.47
0.080722	-29285	-173.36
0.086591	-29261	-181.78
0.092751	-29204	-190.07
0.099213	-29062	-198.62
0.10598	-28960	-207.14
0.11307	-28831	-215.87
0.12048	-28850	-225.29
0.12823	-28769	-234.50
0.13631	-28771	-244.50
0.14475	-28743	-254.31
0.15355	-28695	-264.70
0.16271	-28673	-275.27
0.17226	-28553	-285.65
0.18218	-28551	-296.30
0.19250	-28497	-307.29
0.20322	-28468	-318.65
0.21436	-28486	-330.56
0.22591	-28438	-342.14
0.23789	-28417	-354.53
0.25031	-28412	-366.96
0.26318	-28330	-379.30
0.27650	-28322	-392.07
0.29029	-28329	-405.36
0.30455	-28293	-418.46
0.31930	-28283	-432.38
0.33454	-28281	-446.41
0.35028	-28225	-460.30
0.36653	-28231	-474.71
0.38330	-28218	-489.59
0.40060	-28181	-504.36
0.41844	-28201	-519.95
0.43683	-28183	-535.07
0.45578	-28173	-551.12
0.47530	-28158	-566.95
0.49539	-28159	-583.47
0.51608	-28143	-600.25
0.53735	-28121	-616.70
0.55924	-28129	-634.09
0.58174	-28110	-651.40
0.60487	-28099	-669.17
0.62863	-28104	-687.04
0.65304	-28109	-705.46
0.67811	-28094	-723.89
0.70384	-28088	-743.00
0.73025	-28080	-761.88
0.75734	-28085	-781.34
0.78513	-28083	-801.14
0.81363	-28075	-821.05
0.84284	-28061	-841.29
0.87278	-28069	-861.87
0.90345	-28062	-882.79
0.93488	-28067	-903.98
0.96705	-27944	-923.98
1.0000	-27964	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28563.830163518865
