PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34373	-0.0080973
2.1544e-07	-33594	-0.072888
2.1715e-06	-33167	-0.23570
8.3895e-06	-33446	-0.50668
2.1888e-05	-34393	-0.91550
4.6050e-05	-33950	-1.4568
8.4561e-05	-33620	-2.1216
0.00014136	-33650	-2.9917
0.00022061	-33294	-3.9047
0.00032669	-33571	-5.0037
0.00046416	-34217	-6.2849
0.00063774	-33455	-7.6449
0.00085232	-33038	-9.2235
0.0011130	-33097	-11.020
0.0014248	-33208	-13.021
0.0017932	-33248	-14.998
0.0022237	-32862	-17.311
0.0027216	-33091	-19.815
0.0032929	-32857	-22.129
0.0039432	-32862	-25.076
0.0046784	-32727	-27.720
0.0055047	-32774	-30.825
0.0064280	-32517	-34.148
0.0074546	-32670	-37.786
0.0085909	-32600	-41.570
0.0098431	-32672	-45.607
0.011218	-32494	-49.717
0.012722	-32431	-54.120
0.014361	-32420	-58.689
0.016143	-32382	-63.510
0.018075	-32358	-68.388
0.020162	-32374	-73.808
0.022413	-32265	-78.963
0.024834	-32274	-84.563
0.027432	-32192	-90.513
0.030215	-32231	-96.613
0.033190	-32223	-102.99
0.036364	-32126	-109.46
0.039745	-32197	-116.36
0.043339	-32156	-123.44
0.047156	-32102	-130.76
0.051201	-32086	-138.27
0.055484	-32106	-146.18
0.060011	-32065	-154.20
0.064790	-32038	-162.51
0.069830	-32038	-171.02
0.075138	-31975	-179.75
0.080722	-32015	-188.82
0.086591	-32020	-198.14
0.092751	-31994	-207.64
0.099213	-31950	-217.29
0.10598	-31936	-227.44
0.11307	-31926	-237.71
0.12048	-31914	-248.18
0.12823	-31867	-258.90
0.13631	-31842	-269.95
0.14475	-31825	-281.24
0.15355	-31815	-292.71
0.16271	-31794	-304.63
0.17226	-31793	-316.71
0.18218	-31732	-328.85
0.19250	-31742	-341.63
0.20322	-31751	-354.56
0.21436	-31699	-367.72
0.22591	-31713	-381.07
0.23789	-31701	-394.68
0.25031	-31692	-408.77
0.26318	-31637	-422.94
0.27650	-31632	-437.58
0.29029	-31648	-452.51
0.30455	-31623	-467.50
0.31930	-31633	-483.08
0.33454	-31614	-498.69
0.35028	-31610	-514.71
0.36653	-31598	-531.11
0.38330	-31578	-547.52
0.40060	-31596	-564.71
0.41844	-31579	-581.89
0.43683	-31575	-599.33
0.45578	-31565	-617.04
0.47530	-31565	-635.19
0.49539	-31550	-653.56
0.51608	-31560	-672.35
0.53735	-31548	-691.43
0.55924	-31545	-710.57
0.58174	-31542	-730.32
0.60487	-31537	-750.20
0.62863	-31534	-770.60
0.65304	-31543	-791.48
0.67811	-31539	-812.22
0.70384	-31530	-833.37
0.73025	-31522	-854.73
0.75734	-31515	-876.77
0.78513	-31517	-898.84
0.81363	-31515	-921.42
0.84284	-31526	-944.58
0.87278	-31511	-967.33
0.90345	-31514	-990.88
0.93488	-31513	-1014.7
0.96705	-31512	-1038.9
1.0000	-31507	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31739.9706938234
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34544	-0.0081637
2.1544e-07	-34502	-0.073898
2.1715e-06	-34277	-0.23627
8.3895e-06	-34016	-0.50736
2.1888e-05	-33386	-0.89413
4.6050e-05	-34539	-1.4578
8.4561e-05	-34383	-2.1280
0.00014136	-34382	-2.9618
