PathParameter	MaxPathLikelihood	MLContribution
0.0000	-33640	-0.0084508
2.1544e-07	-34092	-0.076110
2.1715e-06	-34569	-0.24345
8.3895e-06	-34134	-0.52222
2.1888e-05	-34422	-0.93247
4.6050e-05	-34246	-1.4815
8.4561e-05	-34465	-2.2097
0.00014136	-34143	-3.0061
0.00022061	-34539	-4.0572
0.00032669	-34298	-5.1151
0.00046416	-33489	-6.4189
0.00063774	-33466	-7.9297
0.00085232	-33613	-9.3836
0.0011130	-33371	-11.054
0.0014248	-33343	-13.039
0.0017932	-33237	-15.068
0.0022237	-33068	-17.423
0.0027216	-33130	-19.816
0.0032929	-33070	-22.485
0.0039432	-32901	-25.084
0.0046784	-32797	-28.032
0.0055047	-32838	-31.029
0.0064280	-32850	-34.496
0.0074546	-32651	-37.945
0.0085909	-32623	-41.709
0.0098431	-32718	-45.702
0.011218	-32644	-49.896
0.012722	-32573	-54.214
0.014361	-32356	-58.723
0.016143	-32431	-63.527
0.018075	-32415	-68.548
0.020162	-32376	-73.761
0.022413	-32263	-79.215
0.024834	-32270	-84.662
0.027432	-32268	-90.623
0.030215	-32249	-96.698
0.033190	-32224	-103.17
0.036364	-32181	-109.75
0.039745	-32181	-116.52
0.043339	-32168	-123.71
0.047156	-32072	-130.95
0.051201	-32157	-138.58
0.055484	-32113	-146.29
0.060011	-32114	-154.37
0.064790	-32091	-162.64
0.069830	-32042	-171.18
0.075138	-32032	-179.93
0.080722	-32039	-189.01
0.086591	-31991	-198.17
0.092751	-31966	-207.58
0.099213	-31968	-217.51
0.10598	-31937	-227.30
0.11307	-31919	-237.74
0.12048	-31912	-248.29
0.12823	-31863	-258.91
0.13631	-31847	-269.94
0.14475	-31814	-281.36
0.15355	-31783	-292.79
0.16271	-31795	-304.52
0.17226	-31782	-316.52
0.18218	-31758	-328.87
0.19250	-31763	-341.68
0.20322	-31723	-354.40
0.21436	-31720	-367.63
0.22591	-31727	-381.13
0.23789	-31671	-394.68
0.25031	-31680	-408.69
0.26318	-31663	-422.99
0.27650	-31638	-437.50
0.29029	-31624	-452.30
0.30455	-31607	-467.35
0.31930	-31600	-482.90
0.33454	-31592	-498.44
0.35028	-31582	-514.51
0.36653	-31571	-530.72
0.38330	-31567	-547.26
0.40060	-31566	-564.20
0.41844	-31547	-581.11
0.43683	-31552	-598.85
0.45578	-31539	-616.47
0.47530	-31531	-634.80
0.49539	-31529	-653.04
0.51608	-31519	-671.74
0.53735	-31513	-690.55
0.55924	-31506	-709.88
0.58174	-31510	-729.61
0.60487	-31498	-749.50
0.62863	-31500	-769.89
0.65304	-31494	-790.50
0.67811	-31488	-811.22
0.70384	-31480	-832.42
0.73025	-31485	-853.86
0.75734	-31484	-875.71
0.78513	-31476	-897.82
0.81363	-31476	-920.17
0.84284	-31475	-943.04
0.87278	-31471	-966.13
0.90345	-31463	-989.64
0.93488	-31468	-1013.4
0.96705	-31460	-1037.4
1.0000	-31447	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31722.835627678858
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34511	-0.0082888
2.1544e-07	-34427	-0.075372
2.1715e-06	-34058	-0.24029
8.3895e-06	-34152	-0.52418
2.1888e-05	-34189	-0.95290
4.6050e-05	-34433	-1.4965
8.4561e-05	-34116	-2.1920
0.00014136	-34317	-3.0201
0.00022061	-33828	-3.9830
0.00032669	-34027	-5.0956
0.00046416	-33419	-6.4184
0.00063774	-34115	-7.8055
0.00085232	-33747	-9.3416
0.0011130	-33266	-11.081
0.0014248	-33252	-12.999
0.0017932	-33062	-15.113
0.0022237	-33056	-17.352
0.0027216	-33177	-19.862
0.0032929	-33068	-22.242
0.0039432	-32754	-24.954
