PathParameter	MaxPathLikelihood	MLContribution
0.0000	-20480	-0.0044230
2.1544e-07	-20486	-0.040157
2.1715e-06	-20473	-0.12765
8.3895e-06	-20476	-0.27710
2.1888e-05	-20475	-0.49606
4.6050e-05	-20471	-0.79052
8.4561e-05	-20461	-1.1660
0.00014136	-20479	-1.6271
0.00022061	-20477	-2.1776
0.00032669	-20479	-2.8220
0.00046416	-20481	-3.5635
0.00063774	-20483	-4.4051
0.00085232	-20466	-5.3506
0.0011130	-20477	-6.4026
0.0014248	-20473	-7.5634
0.0017932	-20474	-8.8358
0.0022237	-20473	-10.222
0.0027216	-20478	-11.726
0.0032929	-20478	-13.349
0.0039432	-20466	-15.094
0.0046784	-20481	-16.961
0.0055047	-20477	-18.954
0.0064280	-20467	-21.075
0.0074546	-20472	-23.323
0.0085909	-20477	-25.705
0.0098431	-20477	-28.219
0.011218	-20471	-30.866
0.012722	-20462	-33.651
0.014361	-20465	-36.575
0.016143	-20464	-39.639
0.018075	-20467	-42.845
0.020162	-20476	-46.192
0.022413	-20464	-49.685
0.024834	-20464	-53.323
0.027432	-20462	-57.107
0.030215	-20468	-61.046
0.033190	-20460	-65.128
0.036364	-20465	-69.359
0.039745	-20469	-73.759
0.043339	-20456	-78.298
0.047156	-20432	-83.005
0.051201	-20454	-87.854
0.055484	-20460	-92.865
0.060011	-20442	-98.043
0.064790	-20455	-103.37
0.069830	-20443	-108.87
0.075138	-20456	-114.53
0.080722	-20447	-120.34
0.086591	-20425	-126.32
0.092751	-20445	-132.48
0.099213	-20447	-138.80
0.10598	-20441	-145.28
0.11307	-20436	-151.95
0.12048	-20428	-158.74
0.12823	-20433	-165.75
0.13631	-20426	-172.89
0.14475	-20393	-180.21
0.15355	-20388	-187.70
0.16271	-20411	-195.34
0.17226	-20409	-203.24
0.18218	-20407	-211.27
0.19250	-20392	-219.36
0.20322	-20381	-227.70
0.21436	-20388	-236.38
0.22591	-20379	-244.93
0.23789	-20380	-253.81
0.25031	-20367	-262.89
0.26318	-20374	-272.17
0.27650	-20360	-281.53
0.29029	-20344	-291.04
0.30455	-20354	-300.89
0.31930	-20333	-310.80
0.33454	-20346	-320.99
0.35028	-20327	-331.21
0.36653	-20322	-341.70
0.38330	-20321	-352.33
0.40060	-20313	-363.25
0.41844	-20314	-374.29
0.43683	-20310	-385.68
0.45578	-20314	-397.11
0.47530	-20309	-408.70
0.49539	-20310	-420.58
0.51608	-20306	-432.70
0.53735	-20302	-444.85
0.55924	-20307	-457.44
0.58174	-20303	-470.18
0.60487	-20299	-482.97
0.62863	-20301	-496.04
0.65304	-20301	-509.35
0.67811	-20301	-522.86
0.70384	-20296	-536.52
0.73025	-20296	-550.46
0.75734	-20299	-564.54
0.78513	-20296	-578.83
0.81363	-20291	-593.35
0.84284	-20296	-608.09
0.87278	-20294	-623.02
0.90345	-20297	-638.18
0.93488	-20279	-653.50
0.96705	-20286	-669.07
1.0000	-20271	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20375.897284859864
