PathParameter	MaxPathLikelihood	MLContribution
0.0000	-20636	-0.0044606
2.1544e-07	-20646	-0.040495
2.1715e-06	-20636	-0.12872
8.3895e-06	-20629	-0.27943
2.1888e-05	-20646	-0.50023
4.6050e-05	-20649	-0.79720
8.4561e-05	-20650	-1.1758
0.00014136	-20647	-1.6407
0.00022061	-20648	-2.1961
0.00032669	-20640	-2.8457
0.00046416	-20636	-3.5934
0.00063774	-20633	-4.4420
0.00085232	-20643	-5.3952
0.0011130	-20645	-6.4562
0.0014248	-20640	-7.6265
0.0017932	-20650	-8.9099
0.0022237	-20642	-10.309
0.0027216	-20640	-11.825
0.0032929	-20634	-13.460
0.0039432	-20648	-15.222
0.0046784	-20629	-17.104
0.0055047	-20625	-19.113
0.0064280	-20635	-21.253
0.0074546	-20643	-23.521
0.0085909	-20641	-25.921
0.0098431	-20629	-28.454
0.011218	-20639	-31.128
0.012722	-20642	-33.936
0.014361	-20640	-36.884
0.016143	-20633	-39.971
0.018075	-20641	-43.204
0.020162	-20628	-46.580
0.022413	-20647	-50.101
0.024834	-20630	-53.769
0.027432	-20631	-57.586
0.030215	-20626	-61.549
0.033190	-20636	-65.671
0.036364	-20620	-69.944
0.039745	-20617	-74.367
0.043339	-20621	-78.943
0.047156	-20641	-83.691
0.051201	-20628	-88.573
0.055484	-20620	-93.633
0.060011	-20628	-98.854
0.064790	-20614	-104.22
0.069830	-20620	-109.75
0.075138	-20616	-115.47
0.080722	-20617	-121.34
0.086591	-20613	-127.37
0.092751	-20614	-133.56
0.099213	-20599	-139.93
0.10598	-20595	-146.47
0.11307	-20592	-153.15
0.12048	-20606	-160.03
0.12823	-20589	-167.07
0.13631	-20580	-174.29
0.14475	-20573	-181.66
0.15355	-20565	-189.18
0.16271	-20571	-196.88
0.17226	-20560	-204.87
0.18218	-20575	-212.93
0.19250	-20549	-221.16
0.20322	-20559	-229.56
0.21436	-20558	-238.16
0.22591	-20530	-246.80
0.23789	-20525	-255.73
0.25031	-20539	-264.92
0.26318	-20513	-274.22
0.27650	-20522	-283.72
0.29029	-20491	-293.16
0.30455	-20502	-303.06
0.31930	-20500	-313.21
0.33454	-20497	-323.50
0.35028	-20472	-333.70
0.36653	-20476	-344.29
0.38330	-20487	-355.22
0.40060	-20477	-366.02
0.41844	-20475	-377.20
0.43683	-20466	-388.51
0.45578	-20469	-400.09
0.47530	-20468	-411.88
0.49539	-20463	-423.92
0.51608	-20466	-436.03
0.53735	-20461	-448.35
0.55924	-20464	-460.92
0.58174	-20461	-473.66
0.60487	-20464	-486.68
0.62863	-20455	-499.88
0.65304	-20460	-513.30
0.67811	-20458	-526.87
0.70384	-20457	-540.75
0.73025	-20457	-554.69
0.75734	-20455	-568.92
0.78513	-20442	-583.33
0.81363	-20455	-597.99
0.84284	-20454	-612.82
0.87278	-20455	-627.88
0.90345	-20452	-643.11
0.93488	-20453	-658.60
0.96705	-20448	-674.29
1.0000	-20451	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20534.90660683604
