PathParameter	MaxPathLikelihood	MLContribution
0.0000	-20521	-0.61408
2.1544e-07	-20514	-0.13372
2.1715e-06	-20483	-0.19906
8.3895e-06	-20505	-0.33464
2.1888e-05	-20489	-0.54422
4.6050e-05	-20495	-0.83793
8.4561e-05	-20478	-1.2190
0.00014136	-20480	-1.6814
0.00022061	-20503	-2.2333
0.00032669	-20510	-2.8820
0.00046416	-20473	-3.6271
0.00063774	-20483	-4.4801
0.00085232	-20497	-5.4325
0.0011130	-20496	-6.4886
0.0014248	-20465	-7.6673
0.0017932	-20497	-8.9494
0.0022237	-20474	-10.347
0.0027216	-20504	-11.853
0.0032929	-20478	-13.487
0.0039432	-20456	-15.242
0.0046784	-20467	-17.112
0.0055047	-20463	-19.116
0.0064280	-20479	-21.240
0.0074546	-20468	-23.503
0.0085909	-20451	-25.876
0.0098431	-20451	-28.403
0.011218	-20475	-31.041
0.012722	-20453	-33.817
0.014361	-20451	-36.738
0.016143	-20451	-39.814
0.018075	-20457	-42.990
0.020162	-20448	-46.330
0.022413	-20437	-49.801
0.024834	-20444	-53.426
0.027432	-20442	-57.195
0.030215	-20440	-61.114
0.033190	-20438	-65.185
0.036364	-20424	-69.411
0.039745	-20432	-73.761
0.043339	-20420	-78.285
0.047156	-20418	-82.964
0.051201	-20426	-87.813
0.055484	-20423	-92.795
0.060011	-20423	-97.944
0.064790	-20427	-103.26
0.069830	-20403	-108.72
0.075138	-20421	-114.36
0.080722	-20418	-120.16
0.086591	-20404	-126.12
0.092751	-20412	-132.26
0.099213	-20410	-138.56
0.10598	-20393	-145.02
0.11307	-20413	-151.64
0.12048	-20407	-158.47
0.12823	-20409	-165.45
0.13631	-20384	-172.57
0.14475	-20395	-179.92
0.15355	-20396	-187.41
0.16271	-20396	-195.06
0.17226	-20387	-202.89
0.18218	-20362	-210.86
0.19250	-20368	-219.09
0.20322	-20384	-227.48
0.21436	-20372	-236.00
0.22591	-20366	-244.67
0.23789	-20356	-253.57
0.25031	-20350	-262.65
0.26318	-20352	-271.94
0.27650	-20350	-281.37
0.29029	-20339	-290.83
0.30455	-20343	-300.77
0.31930	-20330	-310.63
0.33454	-20329	-320.80
0.35028	-20310	-331.05
0.36653	-20318	-341.64
0.38330	-20310	-352.31
0.40060	-20312	-363.07
0.41844	-20312	-374.22
0.43683	-20294	-385.35
0.45578	-20300	-396.84
0.47530	-20297	-408.57
0.49539	-20293	-420.37
0.51608	-20289	-432.37
0.53735	-20291	-444.67
0.55924	-20278	-457.05
0.58174	-20288	-469.72
0.60487	-20285	-482.55
0.62863	-20283	-495.64
0.65304	-20275	-508.96
0.67811	-20282	-522.42
0.70384	-20281	-536.10
0.73025	-20266	-549.88
0.75734	-20274	-564.07
0.78513	-20273	-578.35
0.81363	-20265	-592.80
0.84284	-20257	-607.45
0.87278	-20264	-622.38
0.90345	-20252	-637.37
0.93488	-20251	-652.78
0.96705	-20210	-667.47
1.0000	-20167	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20361.91706989181
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-20500	-0.51618
2.1544e-07	-20496	-0.12484
2.1715e-06	-20478	-0.18548
8.3895e-06	-20509	-0.32861
2.1888e-05	-20473	-0.54150
4.6050e-05	-20503	-0.83496
8.4561e-05	-20496	-1.2101
0.00014136	-20473	-1.6759
0.00022061	-20479	-2.2391
0.00032669	-20494	-2.8833
0.00046416	-20501	-3.6315
0.00063774	-20508	-4.4834
0.00085232	-20496	-5.4365
0.0011130	-20508	-6.4995
0.0014248	-20435	-7.6726
0.0017932	-20483	-8.9532
0.0022237	-20456	-10.341
0.0027216	-20459	-11.864
0.0032929	-20489	-13.492
0.0039432	-20477	-15.243
0.0046784	-20467	-17.125
0.0055047	-20468	-19.121
0.0064280	-20450	-21.232
0.0074546	-20475	-23.497
0.0085909	-20458	-25.879
0.0098431	-20454	-28.401
0.011218	-20453	-31.040
0.012722	-20447	-33.829
0.014361	-20450	-36.749
0.016143	-20441	-39.796
0.018075	-20449	-42.991
0.020162	-20438	-46.328
0.022413	-20436	-49.795
0.024834	-20445	-53.451
0.027432	-20441	-57.201
0.030215	-20442	-61.120
0.033190	-20444	-65.175
0.036364	-20429	-69.390
0.039745	-20420	-73.761
0.043339	-20423	-78.274
0.047156	-20429	-82.958
0.051201	-20431	-87.787
0.055484	-20426	-92.801
0.060011	-20424	-97.934
0.064790	-20429	-103.24
0.069830	-20427	-108.73
0.075138	-20422	-114.35
0.080722	-20407	-120.16
0.086591	-20403	-126.12
0.092751	-20414	-132.25
0.099213	-20404	-138.55
0.10598	-20400	-145.02
0.11307	-20393	-151.64
0.12048	-20402	-158.44
0.12823	-20402	-165.42
0.13631	-20395	-172.57
0.14475	-20390	-179.89
0.15355	-20403	-187.37
0.16271	-20376	-195.05
0.17226	-20388	-202.88
0.18218	-20369	-210.91
0.19250	-20358	-219.06
0.20322	-20379	-227.45
0.21436	-20363	-236.00
0.22591	-20364	-244.68
0.23789	-20357	-253.53
0.25031	-20356	-262.62
0.26318	-20350	-271.82
0.27650	-20339	-281.33
0.29029	-20335	-290.86
0.30455	-20333	-300.68
0.31930	-20323	-310.59
0.33454	-20342	-320.87
0.35028	-20317	-331.14
0.36653	-20326	-341.70
0.38330	-20300	-352.19
0.40060	-20296	-363.05
0.41844	-20308	-374.36
0.43683	-20299	-385.44
0.45578	-20287	-396.82
0.47530	-20294	-408.53
0.49539	-20290	-420.34
0.51608	-20290	-432.40
0.53735	-20290	-444.66
0.55924	-20284	-456.99
0.58174	-20285	-469.67
0.60487	-20280	-482.58
0.62863	-20275	-495.60
0.65304	-20280	-508.89
0.67811	-20278	-522.39
0.70384	-20278	-536.04
0.73025	-20276	-549.89
0.75734	-20272	-564.03
0.78513	-20263	-578.29
0.81363	-20250	-592.76
0.84284	-20271	-607.52
0.87278	-20261	-622.41
0.90345	-20260	-637.47
0.93488	-20232	-652.34
0.96705	-20217	-668.01
1.0000	-20211	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20361.384017525077
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-20462	-0.40947
2.1544e-07	-20500	-0.13113
2.1715e-06	-20502	-0.18744
8.3895e-06	-20496	-0.32466
2.1888e-05	-20496	-0.53601
4.6050e-05	-20488	-0.83104
8.4561e-05	-20513	-1.2118
0.00014136	-20481	-1.6776
0.00022061	-20500	-2.2286
0.00032669	-20527	-2.8807
0.00046416	-20450	-3.6310
0.00063774	-20487	-4.4782
0.00085232	-20475	-5.4360
0.0011130	-20491	-6.5019
0.0014248	-20493	-7.6649
0.0017932	-20467	-8.9525
0.0022237	-20494	-10.348
0.0027216	-20453	-11.866
0.0032929	-20472	-13.499
0.0039432	-20493	-15.247
0.0046784	-20467	-17.126
0.0055047	-20463	-19.133
0.0064280	-20455	-21.252
0.0074546	-20450	-23.504
0.0085909	-20460	-25.891
0.0098431	-20453	-28.410
0.011218	-20459	-31.051
0.012722	-20460	-33.831
0.014361	-20461	-36.754
0.016143	-20466	-39.814
0.018075	-20445	-43.006
0.020162	-20449	-46.330
0.022413	-20450	-49.819
0.024834	-20442	-53.425
0.027432	-20441	-57.215
0.030215	-20438	-61.127
0.033190	-20421	-65.181
0.036364	-20437	-69.403
0.039745	-20428	-73.777
0.043339	-20429	-78.304
0.047156	-20423	-82.971
0.051201	-20438	-87.804
0.055484	-20429	-92.791
0.060011	-20429	-97.942
0.064790	-20414	-103.25
0.069830	-20424	-108.73
0.075138	-20422	-114.36
0.080722	-20417	-120.16
0.086591	-20410	-126.13
