PathParameter	MaxPathLikelihood	MLContribution
0.0000	-35255	-0.0089951
2.1544e-07	-35071	-0.081515
2.1715e-06	-34943	-0.26137
8.3895e-06	-36048	-0.56678
2.1888e-05	-34710	-1.0063
4.6050e-05	-35220	-1.5930
8.4561e-05	-34791	-2.3199
0.00014136	-34509	-3.2114
0.00022061	-34844	-4.2372
0.00032669	-33880	-5.4174
0.00046416	-33074	-6.6249
0.00063774	-33512	-8.0561
0.00085232	-33371	-9.6106
0.0011130	-33291	-11.294
0.0014248	-33045	-13.015
0.0017932	-33186	-15.129
0.0022237	-33066	-17.380
0.0027216	-32802	-19.637
0.0032929	-33044	-22.058
0.0039432	-32817	-24.857
0.0046784	-32905	-27.704
0.0055047	-32768	-30.924
0.0064280	-32700	-34.299
0.0074546	-32621	-37.935
0.0085909	-32592	-41.639
0.0098431	-32632	-45.710
0.011218	-32488	-49.826
0.012722	-32488	-54.296
0.014361	-32393	-58.799
0.016143	-32395	-63.541
0.018075	-32369	-68.572
0.020162	-32364	-73.719
0.022413	-32252	-78.908
0.024834	-32270	-84.684
0.027432	-32226	-90.534
0.030215	-32261	-96.685
0.033190	-32254	-103.04
0.036364	-32175	-109.56
0.039745	-32156	-116.41
0.043339	-32161	-123.56
0.047156	-32183	-130.89
0.051201	-32115	-138.41
0.055484	-32132	-146.31
0.060011	-32079	-154.26
0.064790	-32044	-162.60
0.069830	-32039	-171.11
0.075138	-32063	-179.94
0.080722	-31998	-188.83
0.086591	-31978	-198.13
0.092751	-31994	-207.68
0.099213	-31972	-217.48
0.10598	-31946	-227.45
0.11307	-31913	-237.78
0.12048	-31897	-248.19
0.12823	-31907	-259.01
0.13631	-31877	-270.05
0.14475	-31839	-281.35
0.15355	-31835	-292.81
0.16271	-31797	-304.62
0.17226	-31802	-316.83
0.18218	-31762	-328.86
0.19250	-31768	-341.64
0.20322	-31736	-354.39
0.21436	-31720	-367.66
0.22591	-31699	-381.00
0.23789	-31688	-394.66
0.25031	-31681	-408.78
0.26318	-31659	-423.06
0.27650	-31624	-437.44
0.29029	-31619	-452.24
0.30455	-31636	-467.52
0.31930	-31633	-483.00
0.33454	-31599	-498.66
0.35028	-31583	-514.38
0.36653	-31599	-530.97
0.38330	-31588	-547.56
0.40060	-31572	-564.41
0.41844	-31571	-581.53
0.43683	-31563	-599.08
0.45578	-31544	-616.70
0.47530	-31552	-634.75
0.49539	-31543	-653.30
0.51608	-31547	-672.11
0.53735	-31535	-691.08
0.55924	-31534	-710.46
0.58174	-31527	-729.96
0.60487	-31524	-749.99
0.62863	-31514	-770.31
0.65304	-31524	-790.82
0.67811	-31517	-811.76
0.70384	-31517	-833.02
0.73025	-31513	-854.63
0.75734	-31505	-876.43
0.78513	-31501	-898.51
0.81363	-31504	-921.08
0.84284	-31506	-943.98
0.87278	-31503	-967.04
0.90345	-31503	-990.52
0.93488	-31500	-1014.3
0.96705	-31497	-1038.4
1.0000	-31498	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31736.307312326848
