PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34336	-0.0083038
2.1544e-07	-34368	-0.075763
2.1715e-06	-34217	-0.23886
8.3895e-06	-33326	-0.51904
2.1888e-05	-34201	-0.93510
4.6050e-05	-34616	-1.4936
8.4561e-05	-33672	-2.1752
0.00014136	-33505	-2.9944
0.00022061	-34369	-3.9914
0.00032669	-34209	-5.1893
0.00046416	-33445	-6.3439
0.00063774	-33504	-7.6776
0.00085232	-33419	-9.2824
0.0011130	-33163	-11.039
0.0014248	-33063	-12.933
0.0017932	-33312	-15.054
0.0022237	-32939	-17.331
0.0027216	-32938	-19.657
0.0032929	-33035	-22.265
0.0039432	-32711	-25.001
0.0046784	-32838	-27.941
0.0055047	-32784	-31.024
0.0064280	-32763	-34.273
0.0074546	-32693	-37.793
0.0085909	-32639	-41.606
0.0098431	-32508	-45.599
0.011218	-32524	-49.784
0.012722	-32458	-54.140
0.014361	-32302	-58.738
0.016143	-32359	-63.547
0.018075	-32342	-68.512
0.020162	-32325	-73.575
0.022413	-32262	-79.225
0.024834	-32214	-84.697
0.027432	-32285	-90.503
0.030215	-32243	-96.730
0.033190	-32238	-103.03
0.036364	-32192	-109.73
0.039745	-32191	-116.48
0.043339	-32206	-123.59
0.047156	-32150	-130.91
0.051201	-32141	-138.44
0.055484	-32142	-146.25
0.060011	-32117	-154.44
0.064790	-32090	-162.66
0.069830	-32057	-171.11
0.075138	-32020	-179.90
0.080722	-32021	-189.03
0.086591	-32021	-198.21
0.092751	-31979	-207.71
0.099213	-31963	-217.48
0.10598	-31948	-227.49
0.11307	-31916	-237.66
0.12048	-31881	-248.17
0.12823	-31886	-258.94
0.13631	-31861	-269.93
0.14475	-31839	-281.18
0.15355	-31841	-292.86
0.16271	-31778	-304.67
0.17226	-31785	-316.81
0.18218	-31782	-329.16
0.19250	-31761	-341.70
0.20322	-31734	-354.50
0.21436	-31739	-367.67
0.22591	-31693	-381.22
0.23789	-31682	-394.75
0.25031	-31669	-408.72
0.26318	-31653	-422.94
0.27650	-31658	-437.64
0.29029	-31615	-452.36
0.30455	-31638	-467.79
0.31930	-31603	-482.85
0.33454	-31584	-498.69
0.35028	-31586	-514.51
0.36653	-31579	-530.87
0.38330	-31566	-547.35
0.40060	-31566	-564.28
0.41844	-31562	-581.53
0.43683	-31551	-599.01
0.45578	-31539	-616.81
0.47530	-31534	-634.83
0.49539	-31519	-653.13
0.51608	-31519	-671.75
0.53735	-31526	-690.94
0.55924	-31512	-710.00
0.58174	-31512	-729.85
0.60487	-31496	-749.49
0.62863	-31500	-769.78
0.65304	-31512	-790.73
0.67811	-31501	-811.42
0.70384	-31491	-832.45
0.73025	-31484	-853.84
0.75734	-31489	-875.82
0.78513	-31474	-897.85
0.81363	-31484	-920.49
0.84284	-31476	-943.10
0.87278	-31478	-966.24
0.90345	-31466	-989.79
0.93488	-31464	-1013.5
0.96705	-31466	-1037.6
1.0000	-31453	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31725.55535682954
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-33781	-0.0083907
2.1544e-07	-34250	-0.076003
2.1715e-06	-34418	-0.24251
8.3895e-06	-33710	-0.52296
2.1888e-05	-34271	-0.93058
4.6050e-05	-34182	-1.4825
8.4561e-05	-33663	-2.1832
0.00014136	-33953	-3.0025
0.00022061	-34235	-4.0315
0.00032669	-33191	-5.1183
0.00046416	-34078	-6.3904
0.00063774	-33675	-7.8247
0.00085232	-33612	-9.3903
0.0011130	-33468	-11.083
0.0014248	-33128	-12.966
0.0017932	-33375	-15.063
0.0022237	-33250	-17.332
0.0027216	-33019	-19.770
0.0032929	-32918	-22.235
0.0039432	-32820	-25.050
0.0046784	-32830	-27.883
0.0055047	-32718	-30.926
0.0064280	-32762	-34.284
0.0074546	-32635	-37.878
0.0085909	-32767	-41.672
0.0098431	-32553	-45.589
0.011218	-32626	-49.773
0.012722	-32492	-54.125
0.014361	-32424	-58.617
0.016143	-32486	-63.641
0.018075	-32360	-68.493
0.020162	-32387	-73.654
0.022413	-32351	-79.255
0.024834	-32255	-84.929
0.027432	-32290	-90.608
0.030215	-32228	-96.698
0.033190	-32172	-103.10
0.036364	-32139	-109.66
0.039745	-32204	-116.47
0.043339	-32186	-123.58
0.047156	-32133	-130.85
0.051201	-32079	-138.52
0.055484	-32142	-146.32
0.060011	-32067	-154.40
0.064790	-32055	-162.59
0.069830	-32047	-171.18
0.075138	-32070	-179.91
0.080722	-32029	-188.98
0.086591	-32029	-198.27
0.092751	-31967	-207.78
0.099213	-31981	-217.57
0.10598	-31927	-227.56
0.11307	-31958	-237.84
0.12048	-31919	-248.26
0.12823	-31888	-259.09
0.13631	-31816	-270.02
0.14475	-31872	-281.43
0.15355	-31831	-292.93
0.16271	-31804	-304.66
0.17226	-31787	-316.78
0.18218	-31766	-329.02
0.19250	-31749	-341.85
0.20322	-31748	-354.73
0.21436	-31703	-367.63
0.22591	-31700	-381.18
0.23789	-31673	-394.82
0.25031	-31686	-408.84
0.26318	-31662	-423.09
0.27650	-31652	-437.51
0.29029	-31633	-452.37
0.30455	-31632	-467.62
0.31930	-31614	-482.85
0.33454	-31588	-498.50
0.35028	-31591	-514.59
0.36653	-31594	-530.86
0.38330	-31546	-547.14
0.40060	-31570	-564.32
0.41844	-31552	-581.52
0.43683	-31541	-598.94
0.45578	-31540	-616.68
0.47530	-31538	-634.76
0.49539	-31532	-653.11
0.51608	-31522	-672.01
0.53735	-31522	-690.90
0.55924	-31518	-710.06
0.58174	-31504	-729.70
0.60487	-31495	-749.49
0.62863	-31503	-769.76
0.65304	-31485	-790.31
0.67811	-31492	-811.23
0.70384	-31492	-832.46
0.73025	-31488	-853.95
0.75734	-31482	-875.83
0.78513	-31487	-897.88
0.81363	-31479	-920.27
0.84284	-31479	-943.11
0.87278	-31475	-966.24
0.90345	-31476	-989.70
0.93488	-31465	-1013.5
0.96705	-31456	-1037.5
1.0000	-31472	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31726.32545559215
