PathParameter	MaxPathLikelihood	MLContribution
0.0000	-20469	-1.5050
2.1544e-07	-20436	-0.12948
2.1715e-06	-20443	-0.17737
8.3895e-06	-20439	-0.32532
2.1888e-05	-20436	-0.53373
4.6050e-05	-20451	-0.83174
8.4561e-05	-20432	-1.2021
0.00014136	-20452	-1.6651
0.00022061	-20442	-2.2201
0.00032669	-20422	-2.8668
0.00046416	-20440	-3.6160
0.00063774	-20444	-4.4622
0.00085232	-20439	-5.4186
0.0011130	-20441	-6.4739
0.0014248	-20425	-7.6401
0.0017932	-20444	-8.9169
0.0022237	-20435	-10.313
0.0027216	-20428	-11.810
0.0032929	-20435	-13.429
0.0039432	-20439	-15.178
0.0046784	-20442	-17.041
0.0055047	-20433	-19.028
0.0064280	-20426	-21.141
0.0074546	-20435	-23.387
0.0085909	-20416	-25.755
0.0098431	-20418	-28.266
0.011218	-20422	-30.903
0.012722	-20424	-33.677
0.014361	-20424	-36.585
0.016143	-20426	-39.641
0.018075	-20421	-42.827
0.020162	-20402	-46.165
0.022413	-20414	-49.643
0.024834	-20416	-53.267
0.027432	-20423	-57.034
0.030215	-20417	-60.947
0.033190	-20408	-65.015
0.036364	-20415	-69.241
0.039745	-20401	-73.605
0.043339	-20409	-78.135
0.047156	-20408	-82.814
0.051201	-20396	-87.650
0.055484	-20405	-92.647
0.060011	-20403	-97.798
0.064790	-20404	-103.12
0.069830	-20411	-108.60
0.075138	-20393	-114.23
0.080722	-20400	-120.04
0.086591	-20390	-126.01
0.092751	-20382	-132.13
0.099213	-20390	-138.43
0.10598	-20377	-144.89
0.11307	-20394	-151.52
0.12048	-20371	-158.33
0.12823	-20393	-165.30
0.13631	-20374	-172.46
0.14475	-20377	-179.76
0.15355	-20371	-187.23
0.16271	-20379	-194.91
0.17226	-20367	-202.76
0.18218	-20362	-210.73
0.19250	-20368	-218.95
0.20322	-20360	-227.31
0.21436	-20350	-235.83
0.22591	-20353	-244.49
0.23789	-20349	-253.41
0.25031	-20342	-262.50
0.26318	-20332	-271.72
0.27650	-20329	-281.14
0.29029	-20324	-290.64
0.30455	-20317	-300.49
0.31930	-20319	-310.48
0.33454	-20296	-320.51
0.35028	-20316	-330.88
0.36653	-20308	-341.42
0.38330	-20296	-351.97
0.40060	-20289	-362.88
0.41844	-20282	-373.96
0.43683	-20294	-385.27
0.45578	-20282	-396.60
0.47530	-20282	-408.13
0.49539	-20277	-419.97
0.51608	-20279	-432.06
0.53735	-20274	-444.25
0.55924	-20277	-456.86
0.58174	-20273	-469.39
0.60487	-20271	-482.26
0.62863	-20268	-495.30
0.65304	-20270	-508.53
0.67811	-20264	-522.06
0.70384	-20267	-535.70
0.73025	-20264	-549.60
0.75734	-20258	-563.69
0.78513	-20266	-578.03
0.81363	-20262	-592.45
0.84284	-20257	-607.18
0.87278	-20246	-622.02
0.90345	-20251	-637.14
0.93488	-20246	-652.37
0.96705	-20172	-666.38
1.0000	-20191	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20345.18032705541
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-20447	-0.71567
2.1544e-07	-20437	-0.10786
2.1715e-06	-20442	-0.18154
8.3895e-06	-20434	-0.32398
2.1888e-05	-20447	-0.53811
4.6050e-05	-20429	-0.82047
8.4561e-05	-20442	-1.2004
0.00014136	-20439	-1.6672
0.00022061	-20429	-2.2079
0.00032669	-20443	-2.8510
0.00046416	-20439	-3.5947
0.00063774	-20429	-4.4462
0.00085232	-20432	-5.3881
0.0011130	-20429	-6.4460
0.0014248	-20439	-7.6061
